CODIGO;DETERMINACIONES;Frecuencia
662751;ANTIGENOS VIRALES - PANEL de RESPIRATORIOS  - PCR EXTENDIDO ;PE
662769;ANTIMICOGRAMA LEVADURAS, Screening;PE
662780;ANTIMONIO - sérico;PE
662782;ANTIMONIO - urinario;PE
662790;ANTIMULLERIANA, HORMONA (HAM);PE
662803;ANTITROMBINA III FUNCIONAL;PE
662810;APOLIPOPROTEINA A (ApoA);PE
662811;APOLIPOPROTEINA B (ApoB);PE
662815;APOLIPOPROTEINA E, GENOTIPO (Apo E);PE
662820;ARILSULTASA A - en leucocitos;PE
662822;ARILSULTASA A - sérica;PE
662834;ARSÉNICO - pelo;PE
662837;ARSÉNICO - uña;PE
662846;ASPERGILLIUS, Ac. Anti-;PE
662850;ATRAZINA;PE
662852;AUTOHEMÓLISIS, PRUEBA DE;PE
662854;BACILUS ANTHRACIS, Cultivo y Tipificación;PE
662858;BACTERIAS RESISTENTES A CARBAPENEMES - PCR o similar;PE
662863;BANDAS OLIGOCLONALES, en L.C.R. / Suero;PE
662888;BARBITURATOS, Confirmatorio.;PE
662896;BARIO - sérico.;PE
662897;BARIO - urinario;PE
662912;BARTONELLA HENSELAE, Ac. IgG Anti-;PE
662914;BARTONELLA HENSELAE, Ac. IgM Anti-;PE
662931;BENCENO-ETILBENCENO-TOLUENO-XILENO (BETX);PE
662945;BENZODIAZEPINAS, Confirmatorio.;PE
662963;BERILIO - sérico;PE
662965;BERILIO - urinario;PE
662980;Beta 2 GLICOPROTEÍNA, Ac. IgA Anti-;PE
662982;Beta 2 GLICOPROTEÍNA, Ac. IgG Anti-;PE
662984;Beta 2 GLICOPROTEÍNA, Ac. IgM Anti-;PE
663016;Beta-BHC (?-HCH) - beta-HEXACLORURO de BENCENO -  beta-HEXACLORAN - beta-LINDANO - beta-1,2,3,4,5,6-HEXACLOROCICLOHEXANO.;PE
663025;Beta CROSS LAPS - CTX-C - TELOPÉPTIDO DE COLÁGENO TIPO I;PE
663034;Beta GALACTOSIDASA;PE
663042;Beta GLUCOCEREBROSIDASA ;PE
663051;Beta LACTAMASA;PE
663056;Beta Libre hCG;PE
663062;Beta MANOSIDASA;PE
663065;BICARBONATO, en orina;PE
663067;BIOTINA ;PE
663068;BIOTINIDAZA, CONFIRMATORIO.;PE
663076;BLADER TEST ANTÍGENO - NMP22 (B.T.A.);PE
663085;BLASTOMYCES DERMATITIDIS, Ac (Fase Lev);PE
663093;BNP (FACTOR NATRIURÉTICO);PE
663102;BORDETELLA PERTUSIS, Ac. IgG Anti-;PE
663110;BORDETELLA PERTUSIS, Ac. IgM Anti-;PE
663119;BORDETELLA PERTUSIS, Ag.;PE
663120;BORDETELLA PERTUSIS -  PCR;PE
663128;BORRELLIA BUGDORFERI, Ac. IgG Anti-;PE
663136;BORRELLIA BUGDORFERI, Ac. IgM Anti-;PE
663141;BRCA 1 BRCA 2, GRANDES DELECCIONES Y DUPLICACIONES (MLPA);PE
663143;BRCA 1 BRCA 2, SECUENCIACIÓN COMPLETA ;PE
663145;BRCA 1-2, PANEL ASHKENAZI;PE
663147;BRCA 1-2, PANEL ASHKENAZI - SEFARADI;PE
663153;BROMURO - sérico;PE
663158;BRUCELLAS, TEST DE WRIGHT;PE
663159;BRUCELLAS, TEST DE WRIGHT, con 2-Mercaptoetanol (W-2ME);PE
663162;BRUCELOSIS (IFI);PE
663170;BRUCELOSIS (Fijación de Complemento);PE
663179;BRUCELOSIS, Ac. IgG ó Totales Anti-;PE
663187;BRUCELOSIS, Ac. IgM Anti-;PE
663190;BRUCELOSIS, Ac. Incompletos Anti-;PE
663230;C1 INHIBIDOR (C1 INHIBIDOR INMUNOLÓGICO);PE
663239;CA 21-1 (MARCADOR TUMORAL de PULMÓN) - CYFRA 21-1;PE
663247;CA 72-4 (MARCADOR TUMORAL GÁSTRICO);PE
663254;CADENA LIVIANA KAPPA LIBRE  - sérica (Nefelometría);PE
663257;CADENA LIVIANA LAMBDA, LIBRE - urinario (Nefelometría);PE
663259;CADENAS PESADAS EN SANGRE Y ORINA C/U;PE
663262;CADMIO (Cd) - pelo;PE
663264;CADMIO (Cd) - sanguíneo;PE
663273;CALCIDIOIDEMICOSIS - Inmunodif.;PE
663290;CALCIO (Ca) - pelo;PE
663292;CALCIO (Ca) - saliva;PE
663307;CÁLCULO - biliar, salival, urinario - Estudio Cristalográfico (C/U);PE
663310;CALPROTECTINA (CPMF);PE
663316;CAMPYLOBACTER SPP, Cultivo;PE
663318;CAMPYLOBACTER SPP, Directo (ELISA);PE
663320;CAMPYLOBACTER SPP, Directo (Microscopía);PE
663324;CANDIDA ALBICANS, Ac. Totales;PE
663333;CANDIDA, ELECTROFORESIS DE CAMP;PE
663350;CANNABINOIDES, CONFIRMATORIO (MARIHUANA - CONFIRMATORIO - GC-MS);PE
663375;CARBOXIHEMOGLOBINA;PE
663384;CARDIOLIPINAS, Ac. IgA Anti-;PE
663392;CARDIOLIPINAS, Ac. IgG Anti-;PE
663401;CARDIOLIPINAS, Ac. IgM Anti-;PE
663427;CARIOTIPO con BANDEO - Alta Resolución (Alta Sensibilidad);PE
663430;CARIOTIPO, con BANDEO;PE
663435;CARIOTIPO - líquido anmiótico;PE
663440;CARIOTIPO - material de aborto;PE
663443;CARIOTIPO - médula ósea (Citogenético de MO);PE
663446;CARIOTIPO - vellosidades coriónicas;PE
663461;CARNITINA, Libre y Total - suero;PE
663463;CARNITINA, Libre y Total - urinario;PE
663478;CATECOLAMINAS - LCR;PE
663495;CD34 POSITIVAS - Citometría de Flujo;PE
663504;CD10/CD19 - Citom. de Flujo;PE
663512;CD3/CD16+56, CÉLULAS NATURAL KILLER (NK) - Citom. de Flujo;PE
663521;CD25 RECEPTOR SOLUBLE DE INTERLUKINA 2 - Citom. de Flujo;PE
663529;CD69/CD56;PE
663538;CD, SUBPOBLACION LINFOCITARIA - Citometría de Flujo (C/U);PE
663543;CELULARIDAD en lágrimas;PE
663546;CELULAS LE;PE
663563;CENTROMERO, Ac. Anti-;PE
663571;CHAGAS, Ac. IgM Anti- (ELISA);PE
663572;CHAGAS, Ac. IgM Anti- (IFI);PE
663576;CHAGAS, (PCR);PE
663582;CHIKUNGUNYA , virus (PCR);PE
663585;CHITOTRIOSIDASA - sanguínea.;PE
663586;CHITOTRIOSIDASA - sanguínea/soporte-papel (Fluorométrico);PE
663589;CHLAMYDIA PNEUMONIAE, Ac. IgM Anti-;PE
663591;CHLAMYDIA PNEUMONIAE - PCR;PE
663598;CHLAMYDIA PSITACCI, Ac. IgG Anti-;PE
663606;CHLAMYDIA PSITACCI, Ac. IgM Anti-;PE
663609;CHLAMYDIA PSITACCI - PCR;PE
663623;CHLAMYDIA TRACHOMATIS, Ac. IgG Anti-;PE
663632;CHLAMYDIA TRACHOMATIS, Ac. IgM Anti-;PE
663640;CHLAMYDIA TRACHOMATIS, Ag.;PE
663649;CHLAMYDIA TRACHOMATIS, Ag. PCR;PE
663650;CHLAMYDIA TRACHOMATIS, cultivo celular;PE
663651;CHLAMYDIA TRACHOMATIS - LCR;PE
663657;CHOLERAE VIBRIO, CULTIVO;PE
663666;CIANUROS;PE
663674;CICLOSPORINA A - sérica;PE
663683;CISTINA;PE
663717;CITOMEGALOVIRUS, ANTIGENEMIA (CMV - PP65);PE
663720;CITOMEGALOVIRUS, detección cuantitativa - PCR;PE
663722;CITOMEGALOVIRUS, detección cualitativa - PCR;PE
663734;CITOPLASMA DE NEUTROFILO, Ac. Anti- c/u (ANCA C, P - c/u);PE
663751;CLEMENTS, Prueba de;PE
663756;CLORPIRIFOS ETIL;PE
663760;CLOSTRIDIUM DIFFICILE, Toxina A - materia fecal.;PE
663762;CLOSTRIDIUM DIFFICILE, Toxinas (A + B) - Materia Fecal (Inmunocromatografía);PE
663786;COBALTO - plasmático;PE
663788;COBALTO - urinario;PE
663814;COBRE - eritrocitario;PE
663820;COBRE - urinario;PE
663828;COCAÍNA, GC-MS - Confirmatorio.;PE
663837;COCCIDIOIDES INMITIS, Ac. Anti- BANDA F;PE
663845;COCCIDIOIDES INMITIS, Ac. Anti- BANDA TP;PE
663854;COCCIDIOIDES INMITIS, Ac. Anti- CIE;PE
663860;COCCIDIOIDES INMITIS, Ac. Ig Totales Anti-;PE
663862;COCCIDIOIDES INMITIS, Ac. IgG Anti-;PE
663871;COCCIDIOIDES INMITIS, Ac. IgM Anti-;PE
663880;COCLEARES, Ac. Anti- (Anti- P68 KDA) (Western Blot);PE
663888;CODEÍNA - sérica;PE
663890;CODEÍNA - urinaria;PE
663905;COFACTOR DE RISTOCETINA;PE
663910;COLESTEROL NO HDL;PE
663922;COMPLEMENTO C1Q (PROTEINA 11S);PE
663926;COMPLEMENTO C2;PE
663939;CONCENTRACIÓN BACTERICIDA MÍNIMA (CBM);PE
663948;CONCENTRACION INHIBITORIA MINIMA (CIM);PE
663953;CONEXINA 26 -  MUTACIONES 35delG (GJB2) o Cx26 - PCR Para sordera hereditaria no sindrómica;PE
663955;CONEXINA 26 - SECUENCIACIÓN - PCR;PE
663960;COPROPORFIRINAS - eritrocitarias;PE
663974;COREA DE HUNTINGTON - PCR;PE
663982;CORPÚSCULOS METACROMÁTICOS - urinario;PE
663994;CORRECCIÓN C/PLASMA NORMAL - aPTT;PE
663996;CORRECCIÓN C/PLASMA NORMAL - TP;PE
664002;CORTEX ADRENAL, Ac. ANTI- (A.A.C.A) ;PE
664008;CORTISOL LIBRE - urinario (CLU);PE
664012;CORTISOL - salival;PE
664033;COTININA - sérica;PE
664035;COTININA - urinaria;PE
664050;COXIELLA BURNETTI, Ac. IgG Anti-;PE
664059;COXIELLA BURNETTI, Ac. IgM Anti-;PE
664068;COXSACKIE VIRUS A, 2-7-9, Ac. Anti- (c/u);PE
664076;COXSACKIE VIRUS B, 1-2-3-4-5-6, Ag. (c/u);PE
664085;COXSACKIE VIRUS B, 1-2-3-4-5-6, Ac. Anti- (pool);PE
664093;COXSACKIE VIRUS B, 1-2-3-4-5-6, Ac. Anti- (c/u);PE
664102;COXSACKIE VIRUS B, 1-2-3-4-5-6, Ac. IgM Anti- (c/u);PE
664105;CREATINA - sérica;PE
664106;CREATINA - urinaria;PE
664110;CRIOCRITO;PE
664119;CRIOFIBRINÓGENO;PE
664125;CRISTALIZACIÓN en lágrimas ;PE
664132;CROMO (Cr)- pelo;PE
664134;CROMO (Cr) - sérico;PE
664136;CROMO (Cr) - urinario;PE
664141;CROMOGRANINA A;PE
664143;CROMOSOMA, ALTERACIONES del (c/u) Delección Cromosoma 13 (FISH);PE
664144;CROMOSOMA, ALTERACIONES del (c/u) - Delección 17 P53 - (FISH);PE
664145;CROMOSOMA, ALTERACIONES del (c/u) Delección cromosoma 6 MYB (FISH);PE
664146;CROMOSOMA, ALTERACIONES del (c/u) Delección C11 ATM-5q-7q - gen ATM (FISH);PE
664147;CROMOSOMA, ALTERACIONES del (c/u) TRISOMÍA 12 - CENTRÓMERO 12 (FISH);PE
664150;CROMOSOMA FILADELFIA - PCR - LMC -;PE
664155;CROMOSOMA X, FRAGILIDAD - PCR;PE
664160;CROMOSOMA X, FISH;PE
664165;CROMOSOMA Y, DELECCIONES del;PE
664187;CROSS MATCH, AUTÓLOGO - Citom. de Flujo;PE
664190;CROSS MATCH, AUTÓLOGO - Linfotoxicidad.;PE
664196;CROSS MATCH, CONTRA PANEL;PE
664204;CROSS MATCH, DONANTE - Citom. de Flujo;PE
664213;CROSS MATCH, DONANTE - Linfotoxicidad.;PE
664221;CROSS MATCH, DTT;PE
664230;CROSS MATCH, MATRIMONIAL - Citometría de Flujo;PE
664240;CROSS MATCH, PACIENTE HIPERSENSIBILIZADO;PE
664256;CRYPTOSPORIDIUM Sp,;PE
664264;CRYPTOCOCCUS NEOFORMANS, Ag.;PE
664266;CRYPTOCOCCUS NEOFORMANS, Ag. (Microscopía - Tinta china);PE
664290;CUERPOS REDUCTORES;PE
664307;4,4' -DDD (p,p' -DDD) - 4,4'-DICLORODIFENILDICLOROETANO;PE
664315;4,4' -DDE (p,p' - DDE) - 4,4'-DICLORODIFENILDICLOROETILENO;PE
664324;4,4' -DDT (p,p' -DDT) - 4,4'-DICLORODIFENILTRICLOROETANO;PE
664333;DEGRANULACIÓN DE BASÓFILOS - TEST DE ACTIVACIÓN DE BASÓFILOS;PE
664340;DEHIDROEPIANDROSTERONA;PE
664350;Delta-BHC (?-HCH) - delta-HEXACLORURO de BENCENO - delta-HEXACLORAN - delta-LINDANO - delta-1,2,3,4,5,6-HEXACLOROCICLOHEXANO.;PE
664361;DENGUE, Ac. Anti- IgG;PE
664363;DENGUE, Ac. Anti- IgM;PE
664365;DENGUE, Acs. Anti- IgG e IgM (Cualitativo);PE
664367;DENGUE, Ag. - ELISA;PE
664369;DENGUE - PCR;PE
664370;DENGUE - SEROTIPIFICACIÓN;PE
664375;DEOXIPIRIDINOLINAS (DPD);PE
664384;DESIPRAMINA;PE
664387;DESMOGLEINA, Ac. Anti- Ag. 1 y 3 IgG;PE
664388;DIAZINÓN;PE
664392;DIELDRIN;PE
664418;DIMERO-D;PE
664435;DIMETOATO;PE
664444;DIMETOXIFENILETILAMINA, 3,4- (DMFA);PE
664452;DISULFOTÓN;PE
664461;DNA, SS - CADENA SIMPLE (DNAss);PE
664469;DNA, DESNATURALIZADO, Ac. Anti -;PE
664478;DNA, Muestra Forense;PE
664503;DOPAMINA, TOTAL - sérica;PE
664512;DOPAMINA LIBRE - urinaria;PE
664521;DOXEPINA;PE
664546;ECHINOCOCCUS GRANULOSOS, Ac. IgG Anti-;PE
664549;ECHINOCOCCUS GRANULOSOS, Ac. IgM Anti-;PE
664563;ECHO COXSACKIE, 1-6 Ac. IgG Anti-;PE
664566;ECHO COXSACKIE, 1-6 IgM;PE
664580;ECHOVIRUS, Ac. IgG Anti-;PE
664583;ECHOVIRUS, Ac. IgM Anti-;PE
664590;ECTOPARÁSITOS, Búsqueda e identificación.;PE
664600;ELASTASA PANCREÁTICA;PE
664615;EMBRIOTOXICIDAD, BIOENSAYO.;PE
664623;ENA, Ac. Anti- (ANTÍGENOS NUCLEARES EXTRAÍDOS, Ac. Anti- ) - (SSA, SSB, Sm, RNP o U1RNP);PE
664632;ENDOMISIO, Ac. IgA Anti- (EMA IgA);PE
664640;ENDOMISIO, Ac. IgG Anti- (EMA IgG);PE
664648;ENDOSULFAN I;PE
664649;ENDOSULFAN II;PE
664652;ENDOSULFAN SULFATO;PE
664666;ENDRIN;PE
664668;ENDRIN ALDEHIDO;PE
664674;ENTAMOEBA HISTOLYTICA, Ac. IgG Anti-;PE
664677;ENTAMOEBA HISTOLYTICA, Ac. IgM Anti-;PE
664682;ENTEROCOCOS VANCOMICINA RESISTENTE - PCR;PE
664691;ENTEROVIRUS - PCR;PE
664700;ENZIMA CONVERTIDORA de ANGIOTENSINA (ECA);PE
664709;EPSTEIN BARR, Anti- EBNA (Epstein Barr Nuclear Associated Antigen);PE
664717;EPSTEIN BARR, detección cuantitativa - PCR;PE
664726;EPSTEIN BARR, Early Antig. Ac.;PE
664728;EPSTEIN BARR, detección cualitativa - PCR;PE
664734;ERITROPOYETINA (EPO);PE
664738;ESCHERICHIA COLI - ENTEROPATÓGENA - PCR;PE
664749;ESPERMA, Ac. Anti- ESPERMATOZOIDES (DIRECTO);PE
664755;ESPERMA, Ac. Anti- ESPERMATOZOIDES (INDIRECTO);PE
664775;ESPERMA, CÉLULAS REDONDAS CON DIFERENCIACIÓN DE PEROXIDASAS;PE
664778;ESPERMA, CÉLULAS REDONDAS TOTALES EN SEMEN;PE
664793;ESPERMA, CONDENSACIÓN NUCLEAR DE LA CROMATINA (Azul Anilina, Tinción);PE
664811;ESPERMA, DIGESTIÓN EN GELATINA ACROSÓMICA;PE
664823;ESPERMA, ESPERMATOZOIDES EN ORINA, ESTUDIO DE  RETROEYACULACIÓN;PE
664825;ESPERMA, ESPERMATOZOIDES DE ORINA, RECUPERACIÓN PARA SELECCIÓN  DIAGNÓSTICA;PE
664827;ESPERMA, ESPERMATOZOIDES DE ORINA, RECUPERACIÓN PARA SELECCIÓN  EN INSEMINACIÓN;PE
664838;ESPERMA, HETEROGENEIDAD CROMATÍNICA (NARANJA DE ACRIDINA);PE
664846;ESPERMA, INDICE DE TERATOZOOSPERMIA;PE
664858;ESPERMA - MODULO I (ESPERMOGRAMA COMPLETO);PE
664860;ESPERMA - MODULO II;PE
664868;ESPERMA, MORFOLOGÍA CRITERIO ESTRICTO (OMS 2010 - MORFOLOGÍA KRUGER);PE
664878;ESPERMA, PRUEBA DE SOBREVIDA ESPERMÁTICA;PE
664889;ESPERMA, RECUENTO DE ESPERMATOZOIDES;PE
664923;ESPERMA, SELECCIÓN DE GRADIENTES (DIAGNÓSTICO);PE
664930;ESPERMA, SELECCIÓN DE GRADIENTES (INSEMINACIÓN);PE
664941;ESPERMA, SWIM UP (DIAGNÓSTICO);PE
664949;ESPERMA, SWIM UP (INSEMINACIÓN);PE
664964;ESPERMA, TEST DE FRAGMENTACIÓN DE ADN ESPERMÁTICO;PE
664971;ESPERMA, TEST DE HIPERACTIVACIÓN;PE
664978;ESPERMA, TEST DE MOST;PE
664985;ESPERMA, TEST HIPOSMÓTICO;PE
664999;ESTEATOCRITO (Grasas - materia fecal);PE
665008;ESTIRENO;PE
665016;ESTRADIOL BIODISPONIBLE (E2 Biodisponible);PE
665033;ESTRIOL LIBRE - sérico.;PE
665043;ETIÓN;PE
665050;EUGLOBULINAS, LISIS de (pre y post-isquemia);PE
665053;EVEROLIMUS;PE
665055;EXTASIS - MDMA (Inmunoensayo);PE
665059;FACTOR de COAGULACIÓN II;PE
665067;FACTOR de COAGULACIÓN XI;PE
665076;FACTOR de COAGULACIÓN XII;PE
665077;FACTOR de COAGULACIÓN XIII;PE
665085;FACTOR INTRÍNSECO, Ac. Anti-;PE
665093;FACTOR REUMATOIDEO (Nefelometría);PE
665102;FACTOR V LEIDEN - PCR;PE
665116;FACTOR VON WILLEBRAND, Funcional;PE
665119;FACTOR VON WILLEBRAND (Inmunológico);PE
665127;FAMPHUR (FAMFUR);PE
665132;FELBAMATO;PE
665136;FENCICLIDINA - FENILCICLOHEXILPIPERIDINA -PCP (IFP);PE
665144;FENETILAMINA - F.E.A.;PE
665204;FENITOTRIÓN;PE
665213;FENOLES - urinarios;PE
665222;FENTANILO - urinario;PE
665230;FERRITINA;PE
665238;FIBRINÓGENO, PRODUCTOS DE DEGRADACIÓN (P.D.F.) - urinario;PE
665247;FIBROSIS QUÍSTICA, 19 MUTACIONES - PCR;PE
665255;FIBROSIS QUÍSTICA, 29 MUTACIONES - PCR;PE
665258;FIBROSIS QUÍSTICA, 32 MUTACIONES - PCR;PE
665265;FIBROSIS QUISTICA, DF508;PE
665273;FILIACIÓN ESTUDIO DNA EXTRA (por cada uno agregado);PE
665281;FILIACIÓN ESTUDIO DNA HASTA 3;PE
665290;FISH WILLIAMS;PE
665298;FK - 506 - Tacrolimus;PE
665300;FLAVIVIRUS;PE
665307;FORATO;PE
665319;FOSFATASA ÁCIDA LEUCOCITARIA;PE
665324;FOSFATASA ACIDA PROSTATICA (RIA);PE
665332;FOSFATASA ÁCIDA TARTRATO RESISTENTE;PE
665335;FOSFATASA ÁCIDA TARTRATO RESISTENTE LEUC.;PE
665349;FOSFATASA ALCALINA OSEA (RIA);PE
665375;FOSFATIDIL COLINA, Ac. IgG Anti-;PE
665378;FOSFATIDIL COLINA, Ac. IgM Anti-;PE
665392;FOSFATIDIL GLICEROL, Ac. IgG Anti-;PE
665409;FOSFATIDIL INOSITOL, Ac. IgG Anti-;PE
665412;FOSFATIDIL INOSITOL, Ac. IgM Anti-;PE
665424;FOSFATIDIL SERINA, Ac. IgA Anti-;PE
665426;FOSFATIDIL SERINA, Ac. IgG ó Ac. Totales Anti-;PE
665428;FOSFATIDIL SERINA, Ac. IgM Anti-;PE
665443;FOSFOHEXOSA ISOMERASA, Sérica - PHI;PE
665452;FOSFOLIPIDOS, Ac. IgG Anti-;PE
665461;FOSFOLIPIDOS, Ac. IgM Anti-;PE
665465;FOSFOLIPIDOS, Ac. Totales Anti- (IgA, IgG, IgM);PE
665469;FREE ANDROGEN INDEX-FAI;PE
665472;FRIEDRICH, ATAXIA DE;PE
665478;FRUCTOSA, líquido seminal o sérica o urinaria;PE
665486;FSH, Urinaria (HORMONA FOLÍCULO ESTIMULANTE - Urinaria);PE
665494;GABAPENTINA;PE
665503;GAD, Ac. Anti- Glutamico Acid Decarboxilase (ÁCIDO GLUTÁMICO DESCARBOXILASA, Ac. Anti-);PE
665508;GALACTOMANANO de ASPERGILLUS, Ag.;PE
665512;GALACTOSA 1-URIDIL FOSFOTRANSFERASA;PE
665520;Gamma-BHC (?-HCH) - gamma-HEXACLORURO de BENCENO - gamma-HEXACLORAN - gamma-LINDANO - gamma-1,2,3,4,5,6-HEXACLOROCICLOHEXANO;PE
665529;GANGLIOSIDO ASIALO GM1, Ac. Anti-;PE
665533;GANGLIOSIDO GD 1B, Ac. Anti-;PE
665537;GANGLIOSIDO GM1, Ac. (IgG + IgM) Anti-;PE
665541;GANGLIOSIDO QUADROSIALO, GQ1b Ac. IgG;PE
665546;GANGLIOSIDOS PANEL, Ac. (IgG + IgM) GM1 Asialo, GM2, GD1A, GD1b, GQ1b;PE
665555;GENOTIPO de Rho (c/u);PE
665563;GENTAMICINA;PE
665576;GLIADINA, Ac. IgA Anti- PÉPTIDO DEAMIDADO de (DGP-IgA Anti-);PE
665583;GLIADINA, Ac. IgG Anti- PÉPTIDO DEAMIDADO de (DGP-IgG Anti-);PE
665589;GLICEROL, sérico.;PE
665597;GLICINA (HPLC);PE
665606;GLICOFORINA, Citometría de Flujo;PE
665621;GLICOSAMINOGLICANOS, cuantitativo;PE
665632;GLOBULINA LIGADORA DE ANDROGENOS Y ESTROGENOS (GLAE / SHBG);PE
665640;GLOBULINA LIGADORA DE CORTICOIDES (CBG);PE
665644;GLOBULINA TRANSPORTADORA DE TIROXINA (TBG);PE
665649;GLUCOCEREBROSIDASA;PE
665666;GLUTATIÓN PEROXIDASA (GPO);PE
665685;HAEMOPHILUS INFLUENZA, Ac. IgG Anti-;PE
665687;HAEMOPHILUS INFLUENZA, Ac. IgM Anti-;PE
665691;HAEMOPHILUS INFLUENZAE B, Ag. - plasmático;PE
665694;HAEMOPHILUS INFLUENZAE B, Ag. - urinario;PE
665708;HALOPERIDOL;PE
665715;HAM, PRUEBA DE;PE
665724;HANTAVIRUS, Ac. IgG Anti-;PE
665726;HANTAVIRUS, Ac. IgM Anti-;PE
665743;HELICOBACTER PYLORI, Ac. IgA Anti-;PE
665751;HELICOBACTER PYLORI, Ac. IgG Anti-;PE
665760;HELICOBACTER PYLORI, Ac. IgM Anti-;PE
665768;HELICOBACTER PYLORI, Aire espirado;PE
665777;HELICOBACTER PYLORI (Cultivo - Tipificación).;PE
665780;HEMATÍES, PRUEBA ELUSIÓN ÁCIDA DE;PE
665785;HEMOCROMATOSIS, Gen HH - PCR (HEMOCROMATOSIS HEREDITARIA HH - Gen HFE-CROMOSOMA 6);PE
665787;HEMOCROMATOSIS, MUTACIÓN Gen C282Y - PCR;PE
665789;HEMOCROMATOSIS, MUTACIÓN Gen H63D - PCR;PE
665791;HEMOCROMATOSIS, MUTACIÓN Gen S65C - PCR;PE
665797;HEMOCULTIVO AEROBIOS AUTOMATIZADO (c/u);PE
665802;HEMOGLOBINA A1 (Hb-A1) Electroforesis;PE
665811;HEMOGLOBINA A2 (HbA2) (Cromatografía/Intercambio Iónico);PE
665820;HEMOGLOBINA FETAL;PE
665828;HEMOGLOBINA S;PE
665837;HEMOGLOBINURIA PAROXÍSTICA NOCTURNA, DETECCIÓN de -  por Citometría de Flujo;PE
665845;HEMOPEXINA;PE
665854;HEMOSIDERINURIA;PE
665868;HEPARINA, Ac. Anti- (PFA4);PE
665871;HEPARINA, ACTIVIDAD ANTI XA de la (LMWH) - HEPARINA de BAJO PESO MOLECULAR (HBPM).;PE
665879;HEPÁTICOS, AUTOANTICUERPOS (panel);PE
665888;HEPATITIS A, Ac. Anti- IgG (HVA IgG) o Ac. Totales (RIA o ELISA);PE
665896;"HEPATITIS B, Ac. Anti- ""e"" (HBe Ac)";PE
665905;"HEPATITIS B, Ac. Anti- ""Core"" IgM (HBcM) - (RIA o ELISA)";PE
665914;HEPATITIS B, Carga viral;PE
665931;HEPATITIS B, DNA viral (HBV-DNA) (PCR - Cualitativo);PE
665939;HEPATITIS C, Ac. Anti- IgM;PE
665945;HEPATITIS C, Antígeno ;PE
665956;HEPATITIS C, Carga viral (PCR);PE
665965;HEPATITIS C, Genotipificación (PCR);PE
665973;HEPATITIS C, LIA;PE
665982;HEPATITIS C, RNA Cualitativo - PCR;PE
665990;HEPATITIS DELTA, Ac. IgG ó Totales Anti-;PE
665993;HEPATITIS DELTA, Ac. IgM Anti-;PE
666008;HEPATITIS E, Ac. IgG Anti-;PE
666011;HEPATITIS E - PCR;PE
666016;HEPTACLORO;PE
666019;HEPTACLORO HEPOXIDE;PE
666028;HER 2 / neu - ErbB2;PE
666034;HERPES SIMPLEX, 1 / 2 - Antic. Totales (IFI);PE
666037;HERPES SIMPLEX, 1 / 2 - PCR;PE
666038;HERPES SIMPLEX, 1 / 2 - TIPIFICACIÓN - PCR;PE
666040;HERPES SIMPLEX 1, Ac. IgA Anti-;PE
666042;HERPES SIMPLEX 1, Ac. IgG ó Totales Anti-;PE
666050;HERPES SIMPLEX 1, Ac. IgM Anti-;PE
666059;HERPES SIMPLEX 2, Ac. IgA Anti-;PE
666067;HERPES SIMPLEX 2, Ac. IgG ó Totales Anti-;PE
666076;HERPES SIMPLEX 2, Ac. IgM Anti-;PE
666084;HERPES SIMPLEX, Ag.;PE
666093;HERPES VIRUS 6 HUMAN, Ac. IgG (HHV6-IgG) Anti-;PE
666096;HERPES VIRUS 6 HUMAN, Ac. IgM (HHV6-IgM) Anti-;PE
666098;HERPES VIRUS 6 HUMAN - PCR;PE
666100;HERPES VIRUS 6 HUMAN - Carga Viral;PE
666110;HERPES VIRUS 7, Ac. IgG Anti- HHV;PE
666113;HERPES VIRUS 7, Ac. IgM Anti- HHV;PE
666117;HERPES VIRUS 8 - Ac. IgG Anti- HHV;PE
666118;HERPES VIRUS 8 - Ac. IgM Anti- HHV;PE
666120;HERPES VIRUS 8 - PCR;PE
666136;HEXANO;PE
666144;HEXANODIONA, (2,5-);PE
666153;HEXOSAMINIDASA TOTAL, A y B;PE
666170;HIDATIDOSIS, Ac. IgM Anti- (ELISA);PE
666173;HIDATIDOSIS, Ac. IgM Anti- (IFI);PE
666183;HIDROCARBUROS ALIFÁTICOS;PE
666187;HIDROCARBUROS AROMÁTICOS;PE
666196;HIDROLASAS ÁCIDAS EN LEUCOCITOS;PE
666204;HIDROXIPIRENO;PE
666209;HIERRO, Médula Osea (MO) - TINCIÓN DE PERLS.;PE
666211;HIERRO, TINCIÓN DE;PE
666213;HIERRO - Urinario;PE
666222;HISTAMINA - Plasmática;PE
666225;HISTAMINA - Urinaria;PE
666238;HISTONA, Ac. Anti-;PE
666247;HISTOPLASMA CAPSULATUM, Ac. IgG Anti-;PE
666255;HISTOPLASMA CAPSULATUM, Ac. IgM Anti-;PE
666264;HIV - PCR Cualitativo;PE
666272;HIV 1 ANTI-P-24 (core);PE
666275;HIV - P-24 (Antigenemia);PE
666278;HIV - P-24 - HIV 1 y 2 (Combo);PE
666281;HIV - RESISTENCIA A ANTIRETROVIRALES;PE
666284;HIV - RESISTENCIA A  INHIBIDORES DE INTEGRASA ;PE
666300;HLA A, Molecular;PE
666303;HLA B, Molecular;PE
666332;HLA B 27 Molecular;PE
666337;HLA-B 5701 GENOTIPO, ABACAVIR HIPERSENSIBILIDAD, sangre;PE
