CODIGO;DETERMINACIONES;Frecuencia
660273;DOMICILIO A MAS DE DOS (2) Kms. - ADICIONAL por c/Km.;PMO
660293;EMBARAZO, REACCIÓN INMUNOLÓGICA PARA;PMO
660295;EOSINÓFILOS, RECUENTO de (en moco nasal);PMO
660297;ERITROSEDIMENTACION;PMO
660298;ESPERMOGRAMA BASICO (EIVE);PMO
660299;ESTRICNINA - líquidos biológicos.;PMO
660300;ESTRADIOL (E2) - sérico;PMO
660301;ESTRIOL - urinario.;PMO
660302;ESTRIOL - sérico.;PMO
660305;ESTRONA - sérica.;PMO
660307;ETANOL, ALCOHOL ETÍLICO - urinario. (ALCOLURIA);PMO
660308;EUGLOBULINAS, TEST DE;PMO
660309;EXUDADO NASOFARINGEO, CULTIVO.;PMO
660331;FACTOR DE COAGULACION V.;PMO
660332;FACTOR DE COAGULACION VII.;PMO
660333;FACTOR DE COAGULACION VIII.;PMO
660334;FACTOR DE COAGULACION IX.;PMO
660335;FACTOR DE COAGULACION X.;PMO
660336;FACTOR DE MIGRACION LINFOCITARIA - MIF.;PMO
660337;FENILALANINA CONFIRMATORIO (HPLC);PMO
660338;FENILALANINA, NEONATAL (PKU);PMO
660340;FENILPIRUVICO, ÁCIDO - urinario (cualitativo);PMO
660342;FENOTIAZINAS.;PMO
660343;FERREMIA (Fe);PMO
660344;FIBRINOGENO, PRODUCTOS DE DEGRADACION - PDF - plasmático.;PMO
660345;FIBRINOGENO - sangre.;PMO
660349;FISICO QUIMICO - Examen de Exudados, Trasudados.;PMO
660350;FLUOREMIA (F);PMO
660351;FLUORURIA.;PMO
660352;FOLICO, ÁCIDO.;PMO
660353;FONDO OSCURO.;PMO
660354;FORMULA LEUCOCITARIA.;PMO
660355;FOSFATASA ACIDA PROSTATICA (EFM).;PMO
660356;FOSFATASA ACIDA TOTAL (EFM).;PMO
660357;FOSFATASA ALCALINA (FAL);PMO
660360;FOSFATASA ALCALINA TERMOESTABLE.;PMO
660361;FOSFATASA ALCALINA - ISOENZIMAS.;PMO
660362;FOSFATEMIA (P);PMO
660363;FOSFATURIA (P);PMO
660366;FOSFORO CLEARENCE DEPURACION.;PMO
660370;FSH - HORMONA FOLÍCULO ESTIMULANTE.;PMO
660371;FTA/ ABS (IFI - ELISA) SIFILIS y TPHA.;PMO
660373;FUNCIONAL, EXAMEN DE MATERIA FECAL - básico;PMO
660402;GALACTOSEMIA.;PMO
660404;GASES EN SANGRE, PCO2 y PO2.;PMO
660405;GASTRINA, sérica.;PMO
660408;GLOBULOS BLANCOS, RECUENTO y FORMULA - materia fecal.;PMO
660409;GLOBULOS BLANCOS, RECUENTO DE;PMO
660410;GLOBULOS ROJOS, RECUENTO DE;PMO
660411;GLUCAGON.;PMO
660412;GLUCEMIA (C/U);PMO
660413;GLUCEMIA, PRUEBA de SOBRECARGA (x 2 - dos determinaciones);PMO
660416;GLUCOPROTEINOGRAMA.;PMO
660417;GLUCOSA en orina (C/U);PMO
660418;GLUCOSA 6-FOSFATO ISOMERASA;PMO
660420;GLUTAMIL TRANSPEPTIDASA. Gamma-;PMO
660430;GRAHAM, TEST DE;PMO
660432;GRASAS, CUANTITATIVO (Van de Kamer) - materia fecal;PMO
660433;GRUPO SANGUÍNEO y FACTOR Rho - Du / Dµ;PMO
660463;HAPTOGLOBINA.;PMO
660464;HEINZ, CUERPOS DE (tinción);PMO
660465;HEMATIES, RESISTENCIA GLOBULAR OSMOTICA (CURVA DE FRAGILIDAD OSMOTICA DE ERITROCITOS);PMO
660466;HEMATOCRITO.;PMO
660468;HEMOCULTIVO AEROBIOS (c/u);PMO
660470;HEMOGLOBINA, DOSAJE DE (Hb);PMO
660471;HEMOGLOBINA, ELECTROFORESIS.;PMO
660472;HEMOGLOBINA - plasmática;PMO
660475;HEMOGRAMA.;PMO
660479;HEMOSIDERINA - urinaria;PMO
660480;HEPARINA, RESISTENCIA A LA (In Vitro);PMO
660481;HEPATOGRAMA.;PMO
660483;HIDATIDOSIS (HAI);PMO
660484;HIDATIDOSIS, Ac. IgG ó Totales Anti- (IFI);PMO
660487;HIDROXINDOLACETICO, ÁCIDO.;PMO
660488;HIDROXIPROLINA - urinaria.;PMO
660489;HIPERHEPARINEMIA.;PMO
660494;HUDDLESSON, REACCION DE (Rosa de Bengala - Brucelosis).;PMO
660531;MYCOBACTERIUM, IDENTIFICACION.;PMO
660532;IDENTIFICACION SEROLÓGICA DE GERMENES.;PMO
660535;INMUNOELECTROFORESIS.;PMO
660536;INMUNOELECTROFORESIS LIQUIDOS BIOLOGICOS.;PMO
660537;INMUNOGLOBULINA A (IgA);PMO
660538;INMUNOGLOBULINA D (IgD);PMO
660539;INMUNOGLOBULINA E (IgE);PMO
660540;INMUNOGLOBULINA G (IgG);PMO
660541;INMUNOGLOBULINA M (IgM);PMO
660543;INSULINA.;PMO
660546;IONOGRAMA - sérico.;PMO
660547;IONOGRAMA - urinario.;PMO
660548;ISOCITRICO DEHIDROGENASA.;PMO
660591;LACTAMINICO, ÁCIDO.;PMO
660592;LÁCTICO, ÁCIDO ENZIMATICO.;PMO
660593;LÁCTICO, ÁCIDO - materia fecal.;PMO
660594;LÁCTICO DEHIDROGENASA - LDH;PMO
660596;LÁCTICO DEHIDROGENASA ISOENZIMAS - LDH Isoenzimas.;PMO
660597;LACTOGENO PLACENTARIO / SOMATOMAMOTROFINA;PMO
660598;FACTOR REUMATOIDEO - ARTRITIS REUMATOIDE;PMO
660600;LEPTOSPIRAS, INVESTIGACIÓN DE (fondo oscuro o coloraciones) - urinaria;PMO
660602;TRICHINOSIS, INVESTIGACIÓN DE;PMO
660603;LAZO, PRUEBA DEL;PMO
660606;LEUCINAMINOPEPTIDASA (LAP);PMO
660610;LEVULINICO, ÁCIDO DELTA-AMINO;PMO
660611;LEVULINICO, DELTA DEHIDRATASA;PMO
660612;LH - HORMONA LUTEINIZANTE;PMO
660613;LIPASA, sérica.;PMO
660615;LIPIDOGRAMA (Electroforético).;PMO
660619;LIQUIDO CEFALORRAQUIDEO, Fco-Qco - Citológico.;PMO
660620;LIQUIDO DE PUNCION, Examen Fco-Qco - Citológico.;PMO
660622;LISTERIAS, Ac. Anti - (IFI - ELISA);PMO
660623;LITIO (Li) (ISE - Ión selectivo - Fotometría de llama o fotometría de emisión);PMO
660624;LITIO (Li) (por Absorción Atómica - A.A.);PMO
660653;MAGNESIO (Mg) - sérico.;PMO
660654;MAGNESIO (Mg) - urinario.;PMO
660656;MANTOUX, INTRADERMO-REACCION DE (PPD);PMO
660657;MEDULOGRAMA.;PMO
660660;MERCURIO (Hg) - sérico o urinario.;PMO
660662;METANEFRINAS FRACCIONADAS URINARIAS;PMO
660663;METANOL - urinario.;PMO
660664;MICOLOGIA (Directo - Coloración).;PMO
660665;MICOLOGIA (Cultivo e Identificación).;PMO
660667;MOCO CERVICAL, CRISTALIZACION;PMO
660668;MOCO NASAL, PH - CITOLOGICO.;PMO
660669;MONONUCLEOSIS (Aglutinación - Test de Látex o Monotest).;PMO
660670;MONONUCLEOSIS HEMOAGLUTINACION (Paul Bunnell);PMO
660671;MONONUCLEOSIS.;PMO
660672;MONÓXIDO de CARBONO.;PMO
660673;MORFINA OPIACEOS, DERIVADOS - líquidos biológicos.;PMO
660684;MULTIRRESISTENCIA, VIGILANCIA DE BACTERIAS RESISTENTES;PMO
660695;NORADRENALINA, sérica - CATECOLAMINA ;PMO
660696;NORADRENALINA, urinaria  - CATECOLAMINA;PMO
660702;NUCLEOTIDASA - 5' N;PMO
660711;ORINA COMPLETA.;PMO
660714;OSMOLARIDAD - CLEARENCE (sangre - orina);PMO
660715;OSMOLARIDAD - suero.;PMO
660716;OXIGENO, PO2 - sangre arterial.;PMO
660732;PAPANICOLAOU ENDOCERVICAL;PMO
660734;PAPANICOLAOU EXOCERVICAL;PMO
660736;PARASITOLOGICO en MATERIA FECAL.;PMO
660737;PARASITOS HEMATICOS.;PMO
660738;PARASITOS SUPERIORES.;PMO
660739;PARATHORMONA - PTH;PMO
660740;PEROXIDASAS, TINCION;PMO
660741;PH - líquidos biológicos.;PMO
660742;PH - sanguíneo;PMO
660743;PIRUVATO- QUINASA;PMO
660744;PIRUVICO, ÁCIDO ENZIMATICO;PMO
660745;PLAQUETARIOS, FACTORES;PMO
660746;PLAQUETAS, RECUENTO DE;PMO
660747;PLASMA RECALCIFICADO, TIEMPO DE;PMO
660748;PLASMINOGENO (IDR);PMO
660749;PLOMO (Pb) - sérico o urinario.;PMO
660751;PORFIRINAS o UROPORFIRINAS - urinarias;PMO
660752;PORFOBILINOGENO (cualitativo) - urinario.;PMO
660753;POTASEMIA.;PMO
660754;POTASURIA.;PMO
660758;PROGESTERONA - Pg.;PMO
660759;PROLACTINA (Prl);PMO
660761;PROTEINA C REACTIVA - PCR;PMO
660763;PROTEINA TOTALES.;PMO
660764;PROTEINOGRAMA ELECTROFORÉTICO, en suero;PMO
660765;PROTEINOGRAMA ELECTROFORÉTICO - LCR;PMO
660766;PROTEINOGRAMA - líquidos biológicos;PMO
660767;PROTEINURIA.;PMO
660768;PROTOPORFIRINAS - eritrocitaria;PMO
660769;PROTROMBINA, CONSUMO DE;PMO
660770;PROTROMBINA, RIN;PMO
660771;PROTROMBINA, TIEMPO DE (TP);PMO
660772;PSEUDOCOLINESTERASA (CHE) o BUTIRILCOLINESTERASA.;PMO
660801;QUIMIOTRIPSINA.;PMO
660812;RENINA - ANGIOTESINA.;PMO
660813;Rho FACTOR - GRUPO SANGUINEO.;PMO
660814;Rho FACTOR C GRANDE;PMO
660815;Rho FACTOR c CHICA;PMO
660816;Rho FACTOR E GRANDE;PMO
660817;Rho FACTOR e CHICA;PMO
660818;RETICULOCITOS, RECUENTO DE;PMO
660820;ROSSE RAGAN, PRUEBA DE (RR);PMO
660831;SALICILATOS.;PMO
660832;SALMONELLA, ANTICUERPOS (IFI - ELISA);PMO
660833;SANGRE OCULTA - materia fecal (SOMF) - inmunológico;PMO
660835;SEROTONINA - sérica.;PMO
660837;SIDEROFILINA, CAPACIDAD de SATURACIÓN.;PMO
660838;SIMS - HUHNER, TEST DE;PMO
660839;SODIO - sérico o urinario.;PMO
660841;SOMATOTROFINA (STH);PMO
660846;SUBTIPO HEMOGLOBINA A2, DETERMINACION DE (electroforesis);PMO
660847;SUDOR, TEST DE;PMO
660862;TALIO (Tl) - urinario.;PMO
660863;TESTOSTERONA - To;PMO
660864;THORN, PRUEBA DE;PMO
660865;TIROTROFINA - TSH;PMO
660866;TIROXINA TOTAL - T4;PMO
660867;TIROXINA EFECTIVA - LIBRE (FT4 / T4L);PMO
660870;TOXOPLASMOSIS (HA);PMO
660871;TOXOPLASMOSIS (IFI);PMO
660873;TRANSAMINASA, GLUTAMICO OXALACETICA (GOT / AST);PMO
660874;TRANSAMINASA, GLUTAMICO PIRUVICA (GPT / AGT);PMO
660875;TRANSFERRINA;PMO
660876;TRIGLICERIDOS (Tg);PMO
660878;TRIIODOTIRONINA TOTAL - T3;PMO
660879;TROMBINA, PRUEBA DE GENERACIÓN DE LA;PMO
660880;TROMBINA, TIEMPO DE;PMO
660887;TROMBOPLASTINA, TIEMPO DE (KPTT / TTPC / KT);PMO
660901;UREA, CLEARENCE DE;PMO
660902;UREA, sérica.;PMO
660903;URETRAL, EXUDADO (Directo y Cultivo).;PMO
660904;ÚRICO, ÁCIDO - sérico.;PMO
660905;ÚRICO, ÁCIDO - urinario.;PMO
660907;UROCITOGRAMA;PMO
660911;UROCULTIVO (MODULO);PMO
660923;UROPROTEINOGRAMA;PMO
660931;VAGINAL, EXUDADO o FLUJO (Directo y Cultivo).;PMO
660932;VAINILLIN MANDELICO, ÁCIDO - urinario (AVM) (HPLC);PMO
660933;V D R L / USR;PMO
660935;VARIANTE BACTERIANA.;PMO
660936;VERONAL, PRUEBA DEL;PMO
660937;VITAMINA A.;PMO
660938;VITAMINA B12.;PMO
660939;VITAMINA E.;PMO
660940;VOLEMIA RADIOQUÍMICO.;PMO
660953;WIDAL, REACCION DE;PMO
660981;ZINC ERITROCITARIO - PROTOPORFIRINA.;PMO
660982;ZINC (Zn) - sérico.;PMO
661000;ANTIGENO PROSTATICO ESPECÍFICO TOTAL - PSA-t;PMO
661001;ACTO BIOQUÍMICO DE INTERNACION - (ABI);PMO
661011;CD4 - SUB POBLACIÓN LINFOCITARIA por Citom. de flujo;PMO
661015;CD8 - SUB POBLACIÓN LINFOCITARIA por Citom. de flujo;PMO
661020;CHLAMYDIAS PNEUMONIAE, Ac. Anti- IgG;PMO
661025;CITOMEGALOVIRUS, Ac. IgG Anti- (CMV-IgG);PMO
661030;CITOMEGALOVIRUS, Ac. IgM Anti- (CMV-IgM);PMO
661035;COLESTEROL HDL (HDL-C);PMO
661040;COLESTEROL LDL (LDL-C);PMO
661045;CREATINFOSFOQUINASA, ISOENZIMA MB (CKMB / CPKMB);PMO
661050;DROGAS de ABUSO SCREENING (c/u);PMO
661055;EPSTEIN BARR, Ac. IgG/Totales Anti- (VEB / VCA IgG);PMO
661060;EPSTEIN BARR, Ac. IgM Anti- (VEB / VCA IgM);PMO
661065;FRUCTOSAMINA.;PMO
661070;HEMOGLOBINA GLICOSILADA (Hb A1C);PMO
661075;HEPATITIS A, Ac. IgM Anti- (HAV IgM);PMO
661080;"HEPATITIS B, Ac. Anti- ""Core"" IgG (HBc -IgG )";PMO
661085;HEPATITIS B, Antígeno e (Ag.HBe);PMO
661086;HEPATITIS B, Antígeno de Superficie (Ag.HBs );PMO
661090;HEPATITIS B, Ac. de Superficie Anti- (HBsAc);PMO
661095;HEPATITIS C, Ac. IgG Anti- (HCV Ac IgG);PMO
661100;HIDATIDOSIS, Ac. IgG ó Totales Anti- (IFI);PMO
661105;HIV, CARGA VIRAL.;PMO
661110;HIV, WESTERN- BLOT;PMO
661115;MARCADOR TUMORAL de OVARIO (CA 125);PMO
661120;MARCADOR TUMORAL de MAMA (CA 15. 3);PMO
661125;MARCADOR TUMORAL de COLON (CA 19. 9);PMO
661130;MICROALBUMINURIA / ALBUMINA URINARIA;PMO
661135;MONITOREO de FARMACOS para ENF. CRONICAS I (Anticonvulsivantes I);PMO
661136;MONITOREO de FARMACOS para ENF. CRONICAS II (Anticonvulsivantes II);PMO
661137;MONITOREO de FARMACOS para ENF. CRONICAS III (Anticonvulsivantes III);PMO
661140;MYCOPLASMA PNEUMONIAE Ac Anti-IgG;PMO
661142;PREPARACIÓN DE SANGRE A TRANSFUNDIR (MÓDULO TRANSFUSIONAL);PMO
661145;RUBEOLA, Ac. IgG Anti-;PMO
661150;RUBEOLA, Ac. IgM Anti-;PMO
661160;TORCH (Toxoplasmosis , Rubeola, Citomegalovirus y Herpes 1 y 2 );PMO
661170;SUBUNIDAD BETA de GONADOTROFINA CORIONICA (cualitativa) - HCG o ?-HCG - Sub ?;PMO
661175;SUBUNIDAD BETA de GONADOTROFINA CORIONICA (cuantitativa) -  HCG o ?-HCG - Sub ?;PMO
661180;"TEST RAPIDO en FAUCES para STREPTOCOCCUS ?-HEMOLÍTICO Grupo ""A""";PMO
661185;TESTOSTERONA BIODISPONIBLE;PMO
661196;SCREENING NEONATAL x 6 (TSH, FENIL ALANINA y TIR -BIOTINIDASA, GALACTOSEMIA y 17-HO-PROGESTERONA - Neonatales);PMO
661200;URGENCIAS.-;PMO
662001;ABC - ACTO BIOQUÍMICO COMPLEMENTARIO;PE
662008;ACANTHAMOEBA SPP.;PE
662009;ACANTHAMOEBA - PCR;PE
