;Practicas;MODULOS2;CODIGOS;NOMENCLADORES;cuit;nombre;nomenclador;codigo;copago_especial
345612;Mamografia unilateral con tecnica de Eklund ( incluye prolongaicon axilar); 68.191,09 ;346016;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346016;68191,09
345613;Mamografia bilateral con tecnica de Eklund ( incluye prolongaicon axilar); 136.380,20 ;346011;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346011;136380,20
340603;Galactografía por lado; 39.340,94 ;340603;NN;30714521817;SANATORIO DEL OESTE;2;340603;39340,94
360108;Uroflujometria; 106.218,95 ;365004;N OSMISS;30714521817;SANATORIO DEL OESTE;4;365004;106218,95
360110;Perfil uretral; 106.218,95 ;365010;N OSMISS;30714521817;SANATORIO DEL OESTE;4;365010;106218,95
360111;Urodinamia completa, flujometria,cistotonometría,con presiones sincroniz. Flujo-presión vesical e índice resist.uretral; 236.566,91 ;365002;N OSMISS;30714521817;SANATORIO DEL OESTE;4;365002;236566,91
360112;Penescopía; 21.244,19 ;365006;N OSMISS;30714521817;SANATORIO DEL OESTE;4;365006;21244,19
360113;Monitoreo nocturno de tumescencia peneana; 514.834,34 ;365007;N OSMISS;30714521817;SANATORIO DEL OESTE;4;365007;514834,34
360115;Electroestiulación .intravesical y perineal ( 6 sesiones); 411.762,82 ;365011;N OSMISS;30714521817;SANATORIO DEL OESTE;4;365011;411762,82
365001;Uretrocistofibroscopia Flexible ; 117.700,32 ;360102;NN;30714521817;SANATORIO DEL OESTE;2;360102;117700,32
342001;RMN de Cerebro ; 181.196,71 ;346200;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346200;181196,71
342002;RMN de Cerebro con gadolinio  ; 181.196,71 ;346200;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346200;181196,71
342005;RMN de Tiroides  ; 181.196,71 ;346201;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346201;181196,71
342008;RMN de completa de Abdomen  ; 181.196,71 ;346202;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346202;181196,71
342009;RMN Hepatobiliar Esplénica Pancreática ; 181.196,71 ;346203;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346203;181196,71
342010;RMN de Tórax ; 181.196,71 ;346204;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346204;181196,71
342011;RMN Vejiga y Próstata   ; 181.196,71 ;346205;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346205;181196,71
342012;RMN Otras regiones Encefálicas  ; 181.196,71 ;346206;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346206;181196,71
342013;RMN de Columna cervical    ; 181.196,71 ;346207;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346207;181196,71
342014;RMN de Articulaciones ; 181.196,71 ;346208;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346208;181196,71
342015;RMN de Columna dorsal   ; 181.196,71 ;346207;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346207;181196,71
342016;RMN de Columna lumbar ; 181.196,71 ;340207;N OSMISS;30714521817;SANATORIO DEL OESTE;4;340207;181196,71
342017;RMN Exposicion subsiguiente; 150.997,26 ;346256;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346256;150997,26
030562;Módulo videoendoscopía diagnóstica de senos paranasales, microsinusotomía endonasal sinusoscopía; 278.618,90 ;038003;N OSMISS;30714521817;SANATORIO DEL OESTE;4;038003;278618,90
030565;Módulo de cirugía endoscópica de fosas nasales,paranasales y cavun unilateral; 1.393.548,65 ;038001;N OSMISS;30714521817;SANATORIO DEL OESTE;4;038001;1393548,65
035565;Módulo de cirugía endoscópica de fosas nasales, paranasales y cavun bilateral; 1.999.380,13 ;038002;N OSMISS;30714521817;SANATORIO DEL OESTE;4;038002;1999380,13
030566;Módulo cirugía videoendoscopica radical de parasinusitis, senos paranasales con septumplastía unilateral; 1.582.473,61 ;038004;N OSMISS;30714521817;SANATORIO DEL OESTE;4;038004;1582473,61
035566;Módulo cirugía videoendoscopica radical de parasinusitis,senos paranasales con septumplastía bilateral; 1.968.952,31 ;038005;N OSMISS;30714521817;SANATORIO DEL OESTE;4;038005;1968952,31
070617;TRATAMIENTO ESCLEROSANTE p/sesión; 18.381,25 ;070681;N OSMISS;30714521817;SANATORIO DEL OESTE;4;070681;18381,25
070618;TRATAMIENTO ESCLEROSANTE CON ESPUMA (ECODIRIGIDA) p/sesión; 22.190,86 ;205045;N OSMISS;30714521817;SANATORIO DEL OESTE;4;205045;22190,86
205122;Módulo videoendoscopía digestiva alta diagnóstica; 192.558,13 ;205024;N OSMISS;30714521817;SANATORIO DEL OESTE;4;205024;192558,13
205123;Módulo videoendoscopía digestiva alta terapéutica; 278.618,90 ;205025;N OSMISS;30714521817;SANATORIO DEL OESTE;4;205025;278618,90
205124;Módulo videoendoscopía colónica diagnóstica; 278.609,03 ;205026;N OSMISS;30714521817;SANATORIO DEL OESTE;4;205026;278609,03
205125;Módulo videoendoscopía colónica terapéutica; 363.544,30 ;205027;N OSMISS;30714521817;SANATORIO DEL OESTE;4;205027;363544,30
205126;Módulo tratamiento endoscópico ambulatorio de las hemorroides grado I - II con fotocoagulación y/o colocación de bandas elásticas como único tratamiento.; 363.544,30 ;205061;N OSMISS;30714521817;SANATORIO DEL OESTE;4;205061;363544,30
200137;Módulo de mucosectomia; 469.360,45 ;205020;N OSMISS;30714521817;SANATORIO DEL OESTE;4;205020;469360,45
200138;Módulo para el tratamiento de lesiones gastroenterológicas con equipo de argón plasma; 1.272.064,45 ;205022;N OSMISS;30714521817;SANATORIO DEL OESTE;4;205022;1272064,45
200143;Módulo colangiografía endoscópica retrógrada; 1.027.052,39 ;205001;N OSMISS;30714521817;SANATORIO DEL OESTE;4;205001;1027052,39
205143;Módulo colangiografía transparietohepática ; 1.027.052,39 ;348001;N OSMISS;30714521817;SANATORIO DEL OESTE;4;348001;1027052,39
200144;Módulo gastrostomía endoscópica percutanea. ; 1.090.405,83 ;205037;N OSMISS;30714521817;SANATORIO DEL OESTE;4;205037;1090405,83
205144;Módulo de biopsia hepática por laparoscopía; 1.211.662,96 ;080706;NN;30714521817;SANATORIO DEL OESTE;2;080706;1211662,96
205147;Módulo de biopsia hepática percutanea; 469.360,45 ;080707;NN;30714521817;SANATORIO DEL OESTE;2;080707;469360,45
205146;Módulo recambio de gastrostomía endoscópica percutanea; 666.460,04 ;205038;N OSMISS;30714521817;SANATORIO DEL OESTE;4;205038;666460,04
200302;Módulo colangiografía endoscópica retrógrada c/papilotomia para extracción de cálculos; 1.332.920,08 ;205002;N OSMISS;30714521817;SANATORIO DEL OESTE;4;205002;1332920,08
205302;Módulo colangiografía endoscópica retrógrada c/papilotomia para colocación de stent; 1.726.783,60 ;205039;N OSMISS;30714521817;SANATORIO DEL OESTE;4;205039;1726783,60
200303;Módulo colocación de drenaje biliar por vía percútanea; 1.211.662,96 ;348003;N OSMISS;30714521817;SANATORIO DEL OESTE;4;348003;1211662,96
205303;Módulo colocación de drenaje biliar por vía transparietohepática; 1.832.481,27 ;348002;N OSMISS;30714521817;SANATORIO DEL OESTE;4;348002;1832481,27
075715;Modulo de quimioterapia; 175.754,71 ;355001;N OSMISS;30714521817;SANATORIO DEL OESTE;4;355001;175754,71
070866;Infusion de medicacion endovenosa; 57.511,15 ;070680;N OSMISS;30714521817;SANATORIO DEL OESTE;4;070680;57511,15
070867;Infusion de medicacion endovenosa c/monitoreo cardiologico; 79.886,97 ;070682;N OSMISS;30714521817;SANATORIO DEL OESTE;4;070682;79886,97
