;Practicas;MODULOS2;CODIGOS;NOMENCLADORES;cuit;nombre;nomenclador;codigo;copago_especial
320104;Atención del recién nacido  (dentro modulo de parto); 104.336,52 ;320104;NN;30714521817;SANATORIO DEL OESTE;2;320104;104336,52
340101 al 340822;RADIOLOGIA; -   ;340101 al 340822;NN;30714521817;SANATORIO DEL OESTE;2;340101 al 340822;756,25
;Galeno; 300,13 ;;;30714521817;SANATORIO DEL OESTE;4;0;300,13
;Gasto Radiològico; 456,12 ;;;30714521817;SANATORIO DEL OESTE;4;0;456,12
340901 al 340909;PROCED. RADIOLÒGICOS ESPECIALES - MISCELÀNEAS; -   ;340901 al 340909;NN;30714521817;SANATORIO DEL OESTE;2;340901 al 340909;756,25
;Galeno; 300,13 ;;;30714521817;SANATORIO DEL OESTE;4;0;300,13
;Gasto Radiològico; 456,12 ;;;30714521817;SANATORIO DEL OESTE;4;0;456,12
341001 al 341013;TOMOGRAFIA AXIAL COMPUTADA; -   ;341001 al 341013;NN;30714521817;SANATORIO DEL OESTE;2;341001 al 341013;454,15
;Galeno; 211,28 ;;;30714521817;SANATORIO DEL OESTE;4;0;211,28
;Gasto Radiològico; 242,87 ;;;30714521817;SANATORIO DEL OESTE;4;0;242,87
360101 al 360107;UROLOGIA; -   ;360101 al 360107;NN;30714521817;SANATORIO DEL OESTE;2;360101 al 360107;1166,96
;Galeno; 560,77 ;; ;30714521817;SANATORIO DEL OESTE;4;0;560,77
;Otros Gastos; 606,19 ;;;30714521817;SANATORIO DEL OESTE;4;0;606,19
430201;Curaciones; 11.982,60 ;430201;NN;30714521817;SANATORIO DEL OESTE;2;430201;11982,60
430202;Curaciones Quemados; 38.258,73 ;430202;NN;30714521817;SANATORIO DEL OESTE;2;430202;38258,73
430301;Inyecciones En Consultorio Externo, Cada Aplicacion; 5.595,14 ;430301;NN;30714521817;SANATORIO DEL OESTE;2;430301;5595,14
430401;Con Nebulizador Incluyendo Oxigeno (Nebulización Solo Ambulatoria); 5.739,42 ;430401;NN;30714521817;SANATORIO DEL OESTE;2;430401;5739,42
430402;Con Respirador O Nebulizador Ultrasonico C Oxigeno (Nebulización Solo Ambulatoria); 11.480,06 ;430402;NN;30714521817;SANATORIO DEL OESTE;2;430402;11480,06
431464;Modulo hospital de dia hasta 8 hs.                       ; 90.612,77 ;437007;N OSMISS;30714521817;SANATORIO DEL OESTE;4;437007;90612,77
431465;Modulo hospital de dia hasta 12 hs. ; 121.221,09 ;437006;N OSMISS;30714521817;SANATORIO DEL OESTE;4;437006;121221,09
420101;Consulta Guardia; 26.044,30 ;425020;N OSMISS;30714521817;SANATORIO DEL OESTE;4;425020;26044,30
420101PG;Consulta Guardia Pediátrica; 24.637,10 ;425024;N OSMISS;30714521817;SANATORIO DEL OESTE;4;425024;24637,10
420102;Consulta Especialista; 23.302,79 ;425033;N OSMISS;30714521817;SANATORIO DEL OESTE;4;425033;23302,79
420102CL;Consulta especialista clinico; 22.380,86 ;425042;N OSMISS;30714521817;SANATORIO DEL OESTE;4;425042;22380,86
420102GI;Consulta especialista Ginecologica; 22.380,86 ;425042;N OSMISS;30714521817;SANATORIO DEL OESTE;4;425042;22380,86
420102GOB;Consulta esp. Obstetricia; 22.380,86 ;425042;N OSMISS;30714521817;SANATORIO DEL OESTE;4;425042;22380,86
420102NU;Consulta esp.nutricion; 22.380,86 ;425042;N OSMISS;30714521817;SANATORIO DEL OESTE;4;425042;22380,86
420102OTO;Consulta esp. Otorrino ; 22.380,86 ;425042;N OSMISS;30714521817;SANATORIO DEL OESTE;4;425042;22380,86
420102ONCO;Consulta esp. Oncolgia; 22.380,86 ;425042;N OSMISS;30714521817;SANATORIO DEL OESTE;4;425042;22380,86
420301;At. Médica en internación; 18.794,30 ;420301;NN;30714521817;SANATORIO DEL OESTE;2;420301;18794,30
420303;Interconsulta; 25.178,47 ;420303;NN;30714521817;SANATORIO DEL OESTE;2;420303;25178,47
420102PE;Consulta Especialista Pediátrica; 25.181,43 ;425043;N OSMISS;30714521817;SANATORIO DEL OESTE;4;425043;25181,43
420303PE;Interconsulta Pediátrica; 25.184,38 ;420303;NN;30714521817;SANATORIO DEL OESTE;2;420303;25184,38
Valor NBU;Nomenclador Bioquímico Único; 1.731,84 ;600001 al 660999;NBU;30714521817;SANATORIO DEL OESTE;3;600001 al 660999;1731,84
660001;APB ACTO PROF. BIOQUÍMICO AMBULATORIO - Importe según Col. De Bioq.; 20.000,00 ;660001;NBU;30714521817;SANATORIO DEL OESTE;3;660001;20000,00
661001;APB Internado-ACTO PROF. BIOQ. DE INTERNACION - Importe según Col. De Bioq.; 20.000,00 ;661001;NBU;30714521817;SANATORIO DEL OESTE;3;661001;20000,00
662001;APB Guardia-ACTO PROF. BIOQ. GUARDIA - Importe según Col. De Bioq.; 20.000,00 ;662001;NBU;30714521817;SANATORIO DEL OESTE;3;662001;20000,00
670669; PCR PARA MYCOBACTERIAS  ; 216.294,63 ; ;NBU;30714521817;SANATORIO DEL OESTE;3;0;216294,63
671012;ANTI VIRUS COXSAKIE B1-6 IgG ; 44.111,08 ; ;NBU;30714521817;SANATORIO DEL OESTE;3;0;44111,08
671063;GLIADINA AC ANTIC - IGA ANTI -(AGA-IGA); 38.956,28 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;38956,28
671067;GLIADINA AC IGG ANTI (AGA-IGG); 38.956,28 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;38956,28
671380;HOMOCISTEINA; 51.378,80 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;51378,80
671681;ROTAVIRUS AG EN MATERIA FECAL; 32.859,13 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;32859,13
671914;CPK MASA; 23.878,51 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;23878,51
671930;TEST RAPIDO DE HIV; 10.365,97 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;10365,97
671956;PROTEINA S FUNCIONAL; 57.857,20 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;57857,20
672002;ADENOVIRUS ANTIGENO EN MATERIAL FECAL   ; 30.942,19 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;30942,19
672094;CHLAMYDIA TRACHOMATIS PCR - ORINA ; 93.967,60 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;93967,60
672095;SATURACION DE LA TRANSFERRINA; 15.004,41 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;15004,41
673039; INFLUENZA B ANTIGENO ASPIRADO NASOFARINGEO  ; 21.134,66 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;21134,66
673040;ACIDO METILMALONICO; 79.263,02 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;79263,02
673041;HEMOCULTIVO ANAEROBIOS; 163.570,75 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;163570,75
673042;HEMOCULTIVO HONGOS AUTOMATIZADO; 58.147,15 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;58147,15
673043;INFLUENZA B PCR- HISOPADO NASOFARINGEO; 30.904,60 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;30904,60
673046;PEPTIDO C ORINA 24 HS; 28.923,23 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;28923,23
673052;Ige ESPECIFICA-LACTOALBUNINA  ; 21.988,42 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;21988,42
673055; ANTI CUERPOS ANTI TREPONEMA PALLIDUM (SIFILIS) ; 4.075,51 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;4075,51
673060;ANTIGENEMIA CRIPTOCOCO; 78.497,85 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;78497,85
673065; CIM DE VANCOMICINA  ; 46.371,67 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;46371,67
673066; CIM DE MEROPENEM ; 46.371,67 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;46371,67
673067; CIM DE PENICILINA ; 46.371,67 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;46371,67
673070;PROTEINURIA AL ACECHO ; 2.574,71 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;2574,71
673071;INSULINA 120 ; 45.233,32 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;45233,32
673073;IGE ESPECIFICA ALFA LACTOALBULINA; 5.280,98 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;5280,98
673074;SIFILIS Quimioluminiscencia cuyo valor es de $213; 3.071,40 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;3071,40
673075;LCR ALBUMINA; 10.908,30 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;10908,30
673079;ANTIC. ANTI VIRUS COXSAKIE B1-6 IgM ; 48.084,57 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;48084,57
673081;GEN SRY (Sex-determining Region Y) ; 127.795,94 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;127795,94
673082;PIGF: FACTOR DE CRECIMIENTO PLACENTARIO; 150.348,17 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;150348,17
673083;OSMOLARIDAD - ORINA; 10.443,83 ;;NBU;30714521817;SANATORIO DEL OESTE;3;0;10443,83
130116;Criocirugia de lesion de piel; 65.160,16 ;138004;N OSMISS;30714521817;SANATORIO DEL OESTE;4;138004;65160,16
110262;Histeroscopía diagnóstica; 677.827,99 ;118019;N OSMISS;30714521817;SANATORIO DEL OESTE;4;118019;677827,99
110263;Histeroscopía biopsica y/o terapéutica con anestesia; 1.092.366,77 ;118020;N OSMISS;30714521817;SANATORIO DEL OESTE;4;118020;1092366,77
115215;Criocirugía de cuello uterino ; 333.082,92 ;118017;N OSMISS;30714521817;SANATORIO DEL OESTE;4;118017;333082,92
80769;Punción quiste endometrósico bajo control ecográfico; 243.910,26 ;185031;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185031;243910,26
100407;Biopsia prostática por punción bajo control ecográfico ( o cod. SDO 18,01,24); 282.202,71 ;185038;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185038;282202,71
120410;Puncion de Medula Osea PAMO Incluye Honorarios, Gastos, Medicamentos, anestesicos, material descartable, aguja; -   ;205045;N OSMISS;30714521817;SANATORIO DEL OESTE;4;205045;0,00
185170;Puncion bajo control ecografico de nodulo de mama ; 143.096,75 ;185033;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185033;143096,75
185173;Punción bajo control ecográfico de columna; 282.202,71 ;185030;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185030;282202,71
185174;Punción bajo control ecográfico de cualquier órgano; 242.336,54 ;185047;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185047;242336,54
180184;Drenaje de absesos y colecciones ecodirigidas; 168.428,62 ;185041;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185041;168428,62
180172;Punción biopsica hepática bajo control ecográfico; 363.504,81 ;185036;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185036;363504,81
345606;Punción biopsia aspirativa para estudio citooncológico bajo guia ultrasónica; 301.381,53 ;185116;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185116;301381,53
345607;Biopsia histológica p/punción con aguja gruesa 14 grs con pistola automatizada tipo Brad-Maman o similar bajo guia estereotáxica; 193.817,89 ;185035;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185035;193817,89
341068;Punción biopsica bajo control T.A.C.; 363.504,81 ;346175;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346175;363504,81
341072;Drenaje de abceso y colec. Bajo control T.A.C.; 515.096,95 ;348002;N OSMISS;30714521817;SANATORIO DEL OESTE;4;348002;515096,95
345068;Bloqueo bajo control TAC; 315.928,03 ;018010;N OSMISS;30714521817;SANATORIO DEL OESTE;4;018010;315928,03
150151;Receptores hormonales estrógenos y progest. c/u; 137.245,42 ;155015;N OSMISS;30714521817;SANATORIO DEL OESTE;4;155015;137245,42
150152;Biopsia histoquimica Imunoperoxidasa,inmunomarcación hasta 5 sueros; 158.533,18 ;155031;N OSMISS;30714521817;SANATORIO DEL OESTE;4;155031;158533,18
155152;Biopsia histoquimica Imunoperoxidasa,inmunomarcación más de 5 sueros; 258.806,01 ;155030;N OSMISS;30714521817;SANATORIO DEL OESTE;4;155030;258806,01
150167;Biopsia histoquimica para detección de helicobacter pilori; 35.572,38 ;155052;N OSMISS;30714521817;SANATORIO DEL OESTE;4;155052;35572,38
155008;Receptores hormonales estrógenos c/u; 84.029,19 ;155020;N OSMISS;30714521817;SANATORIO DEL OESTE;4;155020;84029,19
155031;Factores pronósticos de cancer de mama panel: receptores hormonales(estrog.progest.) factor de proliferación Ki 67; 210.070,86 ;155034;N OSMISS;30714521817;SANATORIO DEL OESTE;4;155034;210070,86
155032;HER 2 NEU ( herceptest); 116.238,13 ;155018;N OSMISS;30714521817;SANATORIO DEL OESTE;4;155018;116238,13
155033;Biopsia de lavado bronqial con conteo diferenciado de células; 99.994,48 ;155009;N OSMISS;30714521817;SANATORIO DEL OESTE;4;155009;99994,48
155034;Presencia de patólogo en punciones bajo control de imágenes, incluye todos los estudios en panel; 317.345,75 ;155045;N OSMISS;30714521817;SANATORIO DEL OESTE;4;155045;317345,75
155035;Preparado en consulta, tacos para revisión de casos; 90.469,29 ;155051;N OSMISS;30714521817;SANATORIO DEL OESTE;4;155051;90469,29
175118;Monitoreo de presión arterial (presurometría); 91.794,86 ;175013;N OSMISS;30714521817;SANATORIO DEL OESTE;4;175013;91794,86
175119;Holter de 24 hs. 3 canales; 91.794,86 ;175012;N OSMISS;30714521817;SANATORIO DEL OESTE;4;175012;91794,86
170119;Tilt - Test; 127.200,52 ;175015;N OSMISS;30714521817;SANATORIO DEL OESTE;4;175015;127200,52
170121;Control de marcapasos; 63.469,94 ;175017;N OSMISS;30714521817;SANATORIO DEL OESTE;4;175017;63469,94
170122;Control CDI; 154.214,34 ;175016;N OSMISS;30714521817;SANATORIO DEL OESTE;4;175016;154214,34
170123;Ergometria 12 canales ( incorporada nov 2019); 25.238,79 ;175007;N OSMISS;30714521817;SANATORIO DEL OESTE;4;175007;25238,79
170204;Test de Ajmalina - adenosina; 440.612,97 ;175027;N OSMISS;30714521817;SANATORIO DEL OESTE;4;175027;440612,97
180302;Ecocardiograma Stress con dobutamina / con ejercicio; 181.753,39 ;185006;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185006;181753,39
180502;Ecocardiograma transcraneano; 162.768,27 ;185053;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185053;162768,27
180503;Ecocardiograma transesofógico; 162.768,27 ;185067;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185067;162768,27
185102;Ecodoppler pediátrico/neonatal; 146.944,00 ;185097;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185097;146944,00
185103;Ecodoppler color ; 113.039,05 ;185052;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185052;113039,05
185104;Ecodoppler color otras zonas; 113.039,05 ;185106;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185106;113039,05
185106;Doppler con colocacion de via central b/contro ecografico ; 141.479,90 ;185117;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185117;141479,90
180133;Ecografia Traslucencia nucal TN ; 28.752,14 ;185015;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185015;28752,14
180119;Ecografía pedíatrica Trans-Fontanelar; 39.340,94 ;185002;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185002;39340,94
180120;Ecografía pediátrica de cadera; 39.340,94 ;185022;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185022;39340,94
180122;Ecografía endovaginal; 47.209,52 ;185010;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185010;47209,52
180123;Ecografía prostática transrectal; 47.209,52 ;185021;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185021;47209,52
180124;Ecografia transrectal con biopsia; 282.202,71 ;185037;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185037;282202,71
180125;Ecografía de múscultos y tendones; 39.340,94 ;185024;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185024;39340,94
180126;Ecografía bidimensional peniana; 39.340,94 ;185111;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185111;39340,94
180127;Ecografía de hombro; 39.340,94 ;185113;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185113;39340,94
