codigo_c;PRESTACIONES ;valor;codigo;Nomenclador;Clasificación;Coseguro
133014;MODULO C DE COLOCACION DE MARCAPASOS;1639090;78142;NN;ALTA;0
133015;MODULO D DE COLOCACION DE MARCAPASOS;2458635;78143;N OSMISS;ALTA;0
133016;MODULO E DE COLOCACION DE MARCAPASOS;2048863;78149;N OSMISS;ALTA;0
134011;MODULO DE ESTUDIO ELECTROFISIOLOGICO DIAGNOSTICO;956136;78145;N OSMISS;ALTA;0
134012;MODULO DE ABLACION CON  MAPEO ELECTROANATOMICO POR RADIO FRECUENCIA;7512497;78182;N OSMISS;ALTA;0
134013;MODULO DE CRIOABLACION DE ARRITMIAS EN GENERAL;7512497;78165;N OSMISS;ALTA;0
134014;MODULO DE CRIOABLACION DE FIBRILACION AURICULAR;7512497;78165;N OSMISS;ALTA;0
134015;MODULO DE ABLACION SIMPLE POR RADIOFRECUENCIA;3004999;78101;N OSMISS;ALTA;0
134016;MODULO DE ABLACION POR RADIOFRECUENCIA CON ABORDAJE TRANSEPTAL;3278180;78102;N OSMISS;ALTA;0
340101;RADIOSCOPIA SIMPLE-COMO UNICO ESTUDIO. A;146803;340101;NN;ALTA;20000
340102;RADIOSCOP.C/INTENSIF.IMAG-AGR.COD.CORR.D;146803;340102;NN;ALTA;20000
340103;RADIOSC.C/CIRC.CERR.TV-AGR.COD.CORRESP.D;146803;340103;NN;ALTA;20000
340201;RADIOG.CRANEO,CARA,SEN.PARAN.O CAVUN,P.E;146803;340201;NN;ALTA;20000
340202;POR EXPOSICION SUBSIGUIENTE. B;146803;340202;NN;ALTA;20000
340203;HUESO TEMP.O AGUJ.OPTIC,COMPAR,P/INC. B.;146803;340203;NN;ALTA;20000
340204;ARTIC.TEMPOR,3 POSIC,COMPARATIVAS. B;146803;340204;NN;ALTA;20000
340205;ORTOPANT-RADIOG.PANOR.CRENEO O CARA I.;146803;340205;NN;ALTA;20000
340206;POR EXPOSICION SUBSIGUIENTE I.;146803;340206;NN;ALTA;20000
340207;TELERR.CRANEO Y/O PERF.FAC.C/CEFAL.1A. G;146803;340207;NN;ALTA;20000
340208;POR EXPOSICION SUBSIGUIENTE;146803;340208;NN;ALTA;20000
340209;RADIOG.RAQUIS-COLUMNA-PRIM.EXPOS. B;146803;340209;NN;ALTA;20000
340210;POR EXPOSICION SUBSIGUIENTE. B;146803;340210;NN;ALTA;20000
340211;RADIOG.HOMBRO,HUMERO,PELVIS,CAD.Y FEMUR;146803;340211;NN;ALTA;20000
340212;POR EXPOSICION SUBSIGUIENTE. A;146803;340212;NN;ALTA;20000
340213;RADIOG.CODO,ANTEB,MU#ECA,MANO,DEDOS,ROD.;146803;340213;NN;ALTA;20000
340214;MEDIC.COMPAR.MIEMB.INFER.-ORTORR.P/EST.B;146803;340214;NN;ALTA;20000
340215;RADIOGRAFIA AMPLIADA O MACRORRADIOGRAF.A;146803;340215;NN;ALTA;20000
340216;ARTROGRAFIA -S/HORAR.ESPEC-1A.EXPOSIC. A;146803;340216;NN;ALTA;20000
340217;POR EXPOSICION SUBSIGUIENTE. A;146803;340217;NN;ALTA;20000
340218;UNICA PLACA -APICAL-. A;146803;340218;NN;ALTA;20000
340219;UNA PLACA -OCLUSAL-.A;146803;340219;NN;ALTA;20000
340220;SEMISERIADA HASTA 7 -SIETE- PLACAS. A;146803;340220;NN;ALTA;20000
340221;SERIADA DE 7-SIET-A 14-CATORCE-PLACAS. A;146803;340221;NN;ALTA;20000
340222;ESPINOGRAFIA;146803;340222;NN;ALTA;20000
340301;RAD.O TELER.TORAX.C/S.TRAZ.DIAM.CARDIAC.;146803;340301;NN;ALTA;20000
340302;POR EXPOSICION SUBSIGUIENTE. A;146803;340302;NN;ALTA;20000
340303;BRONCOGRAF-S/ENDOSC,S/ANEST.GRAL,C.PULM.;146803;340303;NN;ALTA;20000
340304;NEUMOMEDIAST..FRENTE Y PERF.-S/HS.ESP. B;146803;340304;NN;ALTA;20000
340401;SIALOG,P/GLAND.LADO.P/EST.C/MIN.3PLAC. B;146803;340401;NN;ALTA;20000
340402;ESOF,EST.RAD.SER-C/MIN.DOS PLAC.CUAT.EXP;146803;340402;NN;ALTA;20000
340403;ESTOM.Y DUOD,EST.SER-MIN.10 EXP.P/EST. C;146803;340403;NN;ALTA;20000
340404;ESTOM.Y DUOD.C/TENC.DOBL.CONTR-MIN.12EXP;146803;340404;NN;ALTA;20000
340405;EST.SER.ESOFAG-MIN.12 EXPOS.-POR ESTUDIO;146803;340405;NN;ALTA;20000
340406;DUODEN.HIPOTON-MIN.4 PLAC.P/EST.INC.SOND;146803;340406;NN;ALTA;20000
340407;TRANS.INTEST.DELG.O COLON-MIN.3 PLAC.P/E;146803;340407;NN;ALTA;20000
340408;ESTUD.RADIOLOG.SER.ILEOCEC-MIN.2 PLACAS;146803;340408;NN;ALTA;20000
340409;COLON P/ENEMA Y EVAC-MIN.3 PLAC.P/ESTUD.;146803;340409;NN;ALTA;20000
340410;COLON P/ENEMA Y EVAC-MIN.5 PLAC.P/ESTUD.;146803;340410;NN;ALTA;20000
340411;COLON P/ENEMA,EVAC,E INSUF,TECN.FISHER;146803;340411;NN;ALTA;20000
340412;COLON P/ENEMA,EVAC.Y DOBLE CONTR.MIN.8PL;146803;340412;NN;ALTA;20000
340413;COLECIST.ORAL,INCL.PRUEBA EVAC-MIN.3PLAC;146803;340413;NN;ALTA;20000
340414;COLECISTOG.ENDOVEN,INCL.PRUEBA EVAC.5PL.;146803;340414;NN;ALTA;20000
340415;COLANGIOG.ENDOV-MIN 5 PLAC-P/ESTUDIO. B;146803;340415;NN;ALTA;20000
340416;COLANGIOGRAFIA OPERATORIA-PRIM.PLACA-A*;146803;340416;NN;ALTA;20000
340417;COLANGIOG.OPERAT,P/CADA PLAC.SUBSIG.A*;146803;340417;NN;ALTA;20000
340418;FISTULOCOLAG,COLANGIOG.POSTOP,MIN.3 PLAC;146803;340418;NN;ALTA;20000
340419;COLANGIOG.RETROG.P/FIBROSC.-MIN.3 PLACAS;146803;340419;NN;ALTA;20000
340420;NEUMOPERITON,RETRONEUM,UNI O BILAT.3 PLC;146803;340420;NN;ALTA;20000
340421;RADIOG.SIMPLE ABDOMEN., PRIM.EXPOSICION;146803;340421;NN;ALTA;20000
340422;POR EXPOSICION SUBSIGUIENTE A*;146803;340422;NN;ALTA;20000
340501;RADIOGRAFIA SIMPLE DE ARBOL URINARIO;146803;340501;NN;ALTA;20000
340502;UROGRAMA EXCR.PIELOG.DESC.MIN.3 PL.P/EST;146803;340502;NN;ALTA;20000
340503;UROGRAMA EXC.C/EST.VESIC,PRE Y POST MICC;146803;340503;NN;ALTA;20000
340504;UROGRAMA MINUT.O P/GOTEO,PIEL.P/PERFUS.;146803;340504;NN;ALTA;20000
340505;PIELOG.ASC-S/HS.ESPEC.-PRIMERA PLACA. B;146803;340505;NN;ALTA;20000
340506;POR EXPOSICION SUBSIGUIENTE. B;146803;340506;NN;ALTA;20000
340507;CISTOURECTROG.MICC.CISTOUR.ASC.MIN.2 PL.;146803;340507;NN;ALTA;20000
340508;CISTOURETROG.P/EST.INCONT.P/DET.REFLUJO;146803;340508;NN;ALTA;20000
340601;MAMOGRAGIA-SENOG-UNIC.C/MAMOG.ORIGINAL;146803;340601;NN;ALTA;20000
340602;MAMOGRAFIA, PROY,AXILAR-UNIC.C/MAM.ORIG.;146803;340602;NN;ALTA;20000
340603;GALACTOGRAF.C/S.MAMOG-P/LAD,2 EXP.P/EST.;146803;340603;NN;ALTA;20000
340604;HISTEROSALPING.C/PRUEBA DE COTTE S/HONOR;146803;340604;NN;ALTA;20000
340605;PELVINEUM,SIN HS.ESPEC,.MIN.3PL.P/ESTUD.;146803;340605;NN;ALTA;20000
340606;GINECOG.S/HS.ESPEC.-MIN.6PLAC-P/ESTUD. C;146803;340606;NN;ALTA;20000
340607;PELVIMETRIA RADIOL-MIN.2 PL-P/ESTUD. B;146803;340607;NN;ALTA;20000
340608;RADIOGRAF.EMBARAZO-DIRECTA DE ABDOMEN-.C;146803;340608;NN;ALTA;20000
340609;TERMOGRAFIA MAMARIA UNI O BILATERAL;146803;340609;NN;ALTA;20000
340610;MARCACION RADIOQUIRURGICA DE TUMOR;146803;340610;NN;ALTA;20000
340621;TERMOGRAFIA MAMARIA UNI O BILATERAL;146803;340621;NN;ALTA;20000
340622;ANGIOTERMOGRAFIA MAMARIA;146803;340622;NN;ALTA;20000
340664;TELETERMOGRAFIA MAMARIA;146803;340664;NN;ALTA;20000
340665;XEROMAMOGRAFIA;146803;340665;NN;ALTA;20000
340666;XEROMAMOGRAFIA C/PROYECCION AXILAR;146803;340666;NN;ALTA;20000
340701;SINUSOGRAF.P/CATET-MIN 6 PLAC-P/ESTUD. D;146803;340701;NN;ALTA;20000
340702;VENTRICULOG.P/INY.MED.CONTR.LIQ.O GASEOS;146803;340702;NN;ALTA;20000
340703;ARTERIOG.CEREB.P/CATET-MIN.6PL-P/ESTUD.D;146803;340703;NN;ALTA;20000
340704;ARTERIOG.CAROT.O VERTEB-P/PUNC.DIR-M.4PL;146803;340704;NN;ALTA;20000
340705;NEUMOENCEFALOV.FRACC,CISTERN,MIN.8PL.P/E;146803;340705;NN;ALTA;20000
340706;MIELOGRAFIA ASCEND.O DESC.CISTERN.RADIC.;146803;340706;NN;ALTA;20000
340707;DISCOGRAFIA.NEUROG.EPIDUR.MIN.2PL.P/EST.;146803;340707;NN;ALTA;20000
340801;CONTROL RADIOSC.P/COL.MARC.TRANS.C/ELECT;146803;340801;NN;ALTA;20000
