Practica Centro;Valor;COD NBU;Descripcion NBU;Similitud;Estado
"Hepatitis ""E""";103910,71;665993;HEPATITIS DELTA, Ac. IgM Anti-;0.5182;Encontrado
"Hepatitis ""E""";103910,71;665914;HEPATITIS B, Carga viral;0.5146;Encontrado
Herpes tipo I Ac. Anti (igm);34215,30;666050;HERPES SIMPLEX 1, Ac. IgM Anti-;0.6015;Encontrado
Herpes tipo I Ac. Anti (igm);34215,30;666076;HERPES SIMPLEX 2, Ac. IgM Anti-;0.6015;Encontrado
Herpes tipo I Ac. Anti (igm);34215,30;666113;HERPES VIRUS 7, Ac. IgM Anti- HHV;0.5085;Encontrado
Herpes tipo I Ac. Anti (igm);34215,30;666118;HERPES VIRUS 8 - Ac. IgM Anti- HHV;0.5085;Encontrado
Herpes tipo I Ac.anti (igg);32510,57;666042;HERPES SIMPLEX 1, Ac. IgG ó Totales Anti-;0.5256;Encontrado
Herpes tipo I Ac.anti (igg);32510,57;666067;HERPES SIMPLEX 2, Ac. IgG ó Totales Anti-;0.5256;Encontrado
Herpes tipo I Ac.anti (igg);32510,57;666110;HERPES VIRUS 7, Ac. IgG Anti- HHV;0.506;Encontrado
Herpes tipo I Ac.anti (igg);32510,57;666117;HERPES VIRUS 8 - Ac. IgG Anti- HHV;0.506;Encontrado
Herpes tipo I antígeno;35029,17;;;;No Encontrado
Herpes tipo II Ac. Anti (igg);32698,30;;;;No Encontrado
Herpes tipo II Ac. Anti (igm);34185,75;668144;PARAINFLUENZA II, Ac. IgM Anti-;0.5529;Encontrado
Herpes tipo II Ac. Anti (igm);34185,75;666050;HERPES SIMPLEX 1, Ac. IgM Anti-;0.5185;Encontrado
Herpes tipo II Ac. Anti (igm);34185,75;666076;HERPES SIMPLEX 2, Ac. IgM Anti-;0.5185;Encontrado
Herpes tipo II antígeno;41563,33;;;;No Encontrado
Herpes VI igg;102016,64;;;;No Encontrado
Herpes VI igm;102179,88;;;;No Encontrado
Herpes virus (lcr) - pcr;308489,84;666120;HERPES VIRUS 8 - PCR;0.861;Encontrado
