codigo_c;PRESTACIONES ;valor;codigo;Nomenclador;Clasificación;Coseguro
660164;"CITOLOGIA EXFOLIATIVA - VAGINAL HORMONAL (POR
CADA MUESTRA)";4570;660164;NBU;BAJA;10000
660167;CITRICO, ACIDO - LIQUIDO SEMINAL (ESTUDIO DEL SEMEN);9140;660167;NBU;BAJA;10000
660168;CLORO (CL) - SERICO;1828;660168;NBU;BAJA;10000
660169;COAGULACION, TIEMPO DE;914;660169;NBU;BAJA;10000
660170;COAGULO, RETRACCION DEL -COAGULOGRAMA BASICO.  ;5484;660170;NBU;BAJA;10000
660171;COAGULOGRAMA;7312;660171;NBU;BAJA;10000
660172;COBRE (CU) - SERICO;18280;660172;NBU;BAJA;10000
660173;COCAINA (INMUNOCROMATOGRAFIA/CROMATOGRAFICO);15995;660173;NBU;BAJA;10000
660174;COLESTEROL TOTAL;1371;660174;NBU;BAJA;10000
660176;COLONIAS, RECUENTO DE;1828;660176;NBU;BAJA;10000
660177;COMPATIBILIDAD - SANGRE MATERNA;5484;660177;NBU;BAJA;10000
660178;"COMPATIBILIDAD MATRIMONIAL - SANGUINEA EN
CONYUGES";4570;660178;NBU;BAJA;10000
660179;COMPLEMENTO, ACTIVIDAD TOTAL.- COMPLEMENTO 50% LISIS (CH-50);45700;660179;NBU;BAJA;10000
660181;CONCENTRACION DE LIQUIDOS BIOLOGICOS;25592;660181;NBU;BAJA;10000
660183;COOMBS DIRECTA MONOESPECIFICA, PRUEBA DE (C/U);1828;660183;NBU;BAJA;10000
660184;COOMBS DIRECTA POLIESPECIFICA, PRUEBA DE;1828;660184;NBU;BAJA;10000
660186;COOMBS INDIRECTA;10968;660186;NBU;BAJA;10000
660187;COPROCULTIVO;9140;660187;NBU;BAJA;10000
660188;COPROPORFIRINAS O PORFIRINAS - MATERIA FECAL;13710;660188;NBU;BAJA;10000
660189;CORTISOL;9140;660189;NBU;BAJA;10000
660190;CREATINQUINASA - CPK;2742;660190;NBU;BAJA;10000
660191;CREATININA - EN ORINA;2742;660191;NBU;BAJA;10000
660192;CREATININA - EN SANGRE;2742;660192;NBU;BAJA;10000
660193;CREATININA, CLEARENCE DE DEPURACION;4570;660193;NBU;BAJA;10000
660194;CRIOAGLUTININA;914;660194;NBU;BAJA;10000
660195;CRIOGLOBULINAS;914;660195;NBU;BAJA;10000
660241;CHAGAS (AD);2742;660241;NBU;BAJA;10000
660242;CHAGAS (HAI);2742;660242;NBU;BAJA;10000
660243;CHAGAS, AC. TOTALES / IGG (IFI / ELISA / QL);7312;660243;NBU;BAJA;10000
