codigo_c;PRESTACIONES ;valor;codigo;Nomenclador;Clasificación;Coseguro
305021;TEST DE LANCASTER (BILATERAL);27446,82;305016;N OSMISS;MEDIA;15000,00
305026;ESTUDIO RETINA PERIFERICA EN PREMATUROS;100100,78;305034;N OSMISS;ALTA;20000,00
305027;OFTALMOSCOPIA BINOCULAR INDIRECTA;68174,10;300119;NN;BAJA;10000,00
305034;TEST DE CONTRASTE;19054,12;305032;N OSMISS;MEDIA;15000,00
305045;HRT II BILATERAL (TOMOGRAFIA NERVIO OPTICO);136848,04;305019;N OSMISS;ALTA;20000,00
305046;TEST DE OJO SECO;19457,41;305011;N OSMISS;MEDIA;15000,00
305048;MICROSCOPIA  ESPECULAR BILATERAL;107359,68;305030;N OSMISS;MEDIA;15000,00
305049;OTC UNILATERAL (TAC COHERENCIA OPTICA);114711,14;305018;N OSMISS;ALTA;20000,00
305050;OTC BILATERAL (TAC COHERENCIA OPTICA);180247,83;305036;N OSMISS;ALTA;20000,00
310102;AUDIOMETRIA;9436,28;310102;NN;BAJA;10000,00
310103;LOGOAUDIOMETRIA;8054,16;310103;NN;BAJA;10000,00
310105;SELECCION DE OTOAMPLIFONOS;40572,32;310105;NN;BAJA;10000,00
310109;IMPEDANCIOMETRIA;12481,96;310109;NN;BAJA;10000,00
315002;VIDEOLARINGORINOSCOPIA;148894,21;315020;N OSMISS;ALTA;20000,00
315003;TIMPANOMETRIA;12827,68;315006;N OSMISS;MEDIA;15000,00
315004;OTOEMISIONES ACUSTICAS;48053,79;315013;N OSMISS;MEDIA;15000,00
405033;TRATAMIENTO DE LAS HEMORROIDES CON LIGADURA ELASTICA EN CONSULTORIOS;203451,32;080609;NN;MEDIA;15000,00
420101;CONSULTA;24034,51;420101;NN;BAJA;20000,00
420110;NUTRICIONISTA CONSULTA;22177,35;425040;N OSMISS;BAJA;20000,00
