Código;Nomenclador;Práctica;Valor;Servicio
265037;N OSMISS;TRATAMIENTO PALIATIVO DEL DOLOR OSEO C/SAMARIO 153 DE IMP;943110,56;MEDICINA NUCLEAR
260507;NN;VENTRICULOGRAFIA ISOTOPICA. EXCLUIDO HONORARIO DEL CIRUJANO.;78808,71;MEDICINA NUCLEAR
285001;N OSMISS;ADAPTACION AL TRATAMIENTO CPAP O BiPAP / VNI;63953,24;NEUMONOLOGIA
285009;N OSMISS;CAPACIDAD PULMONAR TOTAL Y VOLUMEN RESIDUAL;49243,78;NEUMONOLOGIA
285005;N OSMISS;DIFUSION DE MONOXIDO DE CARBONO;49243,78;NEUMONOLOGIA
285029;N OSMISS;EVALUACION OXIGENOTERAPIA CRONICA DOMICILIARIA;124858,70;NEUMONOLOGIA
285010;N OSMISS;MAXIMA VENTILACION VOLUNTARIA - MVV -;19649,25;NEUMONOLOGIA
285030;N OSMISS;MONITOREO DE OXIMETRIA NOCTURNA (12 HS) (EVALUACION OXIGENOTERAPIA C;62430,65;NEUMONOLOGIA
285011;N OSMISS;MONITOREO DE OXIMETRIA PROLONGADA (24 HS);124858,70;NEUMONOLOGIA
285012;N OSMISS;OXIMETRIA DE PULSO - NEUMONOLOGIA - SATUROMETRIA;20808,51;NEUMONOLOGIA
285013;N OSMISS;PRESIONES INSPIRATORIAS Y ESPIRATORIAS MAXIMAS;27977,55;NEUMONOLOGIA
285006;N OSMISS;PRUEBA DE MARCHA DE LOS 6 MINUTOS  CON CONTROL OXIMETRICO (LAB. FUNCI;66110,58;NEUMONOLOGIA
285006;N OSMISS;PRUEBA DE MARCHA DE LOS 6 MINUTOS CON CONTROL OXIMETRICO;66110,58;NEUMONOLOGIA
285004;N OSMISS;RESISTENCIA Y CONDUCTANCIA DE LAS VIAS AEREAS;67143,46;NEUMONOLOGIA
285014;N OSMISS;VOLUMEN Y CAPACIDAD DE CIERRE;41958,60;NEUMONOLOGIA
285015;N OSMISS;VOLUMENES PULMONARES POR ESPIROMETRIA;25668,40;NEUMONOLOGIA
285016;N OSMISS;VOLUMENES PULMONARES POR PLETISMOGRAFIA;49243,78;NEUMONOLOGIA
90203;346222;ARTICULACION TEMPORO MANDIBULAR (6 TOMAS).;20484,19;ODONTOLOGIA
91102;;BITE-WING;5472,89;ODONTOLOGIA
90202;;EXTRABUCALES. POR EXPOSICION SUBSIGUIENTES.;7176,59;ODONTOLOGIA
90201;;EXTRABUCALES. PRIMERA EXPOSICION.;10100,81;ODONTOLOGIA
590007;;FOTOGRAFIA 3D EXTRAORAL;59284,53;ODONTOLOGIA
590004;;FOTOGRAFIA CLINICA (C/U);6048,27;ODONTOLOGIA
91104;;MEDIA SERIADA DE 7 PELICULAS..TECNICAS DE CILINDRO CORTO O LARGO;28340,17;ODONTOLOGIA
91103;;OCLUSAL 6 X 8 CM;5472,89;ODONTOLOGIA
90204;;PANTOMOGRAFIA O RADIOGRAFIA PANORAMICA;28340,17;ODONTOLOGIA
91101;;PERIAPICAL..TECNICAS DE CONO CORTO O CONO LARGO;5472,89;ODONTOLOGIA
91105;;SERIADAS DE 14 PELICULAS..TECNICAS DE CILINDRO CORTO O  LARGO;40148,58;ODONTOLOGIA
90205;;TELE-RADIOGRAFIA CEFALOMETRICA.;27159,26;ODONTOLOGIA
840901/1;;TOMOGRAFIA DENTASCAN 1 MAXILAR (TC DENTAL P/IMPLANTE);131751,09;ODONTOLOGIA
840902/1;;TOMOGRAFIA DENTASCAN 2 MAXILARES - OD - (TC DENTAL P/IMPLANTE);190088,37;ODONTOLOGIA
540902;;TOMOGRAFIA LINEAL - 2 SECTORES;51569,82;ODONTOLOGIA
540903;;TOMOGRAFIA LINEAL - 3 SECTORES;75785,18;ODONTOLOGIA
340901/34;;TOMOGRAFIA LINEAL, CUALQUIERA SEA LA ZONA O SISTEMA (MINIMO 5 PLACAS) P;44240,94;ODONTOLOGIA
540909;;TOMOGRAFIA TRIDIMENSIONAL  1 MAXILAR;99267,60;ODONTOLOGIA
540912;;TOMOGRAFIA TRIDIMENSIONAL 1 PIEZA;22671,94;ODONTOLOGIA
540907;;TOMOGRAFIA TRIDIMENSIONAL 1º AREA/SECTOR;57051,07;ODONTOLOGIA
540910;;TOMOGRAFIA TRIDIMENSIONAL 2 MAXILARES;104459,89;ODONTOLOGIA
540911;;TOMOGRAFIA TRIDIMENSIONAL HEMIMAXILAR;32529,48;ODONTOLOGIA
590005;;TRAZADO CEFALOMETRICO (C/U);40148,58;ODONTOLOGIA
346310;N OSMISS;PET - CT - CON GA68 - PSMA;3623647,50;PET - CT
346311;N OSMISS;PET - CT CON  F18 - PSMA;1566878,07;PET - CT
346312;N OSMISS;PET - CT CON F18- COLINA;1244776,07;PET - CT
346313;N OSMISS;PET - CT CORPORAL TOTAL;1003199,57;PET - CT
346314;N OSMISS;PET - CT DE CEREBRO;647436,45;PET - CT
340204;NN;ARTICULACION TEMPOROMANDIBULAR, TRES POSICIONES, COMPARATIVAS. B;13400,08;RADIOLOGIA
340216;NN;ARTROGRAFIA (SIN HONORARIO DE ESPECIALISTA) PRIMERA EXPOSICION. A;12968,63;RADIOLOGIA
340303;NN;BRONCOGRAFIA (SIN ENDOSCOPIA, SIN ANESTESIA GENERAL) CADA PULMON, MINI;20984,24;RADIOLOGIA
340508;NN;CISTORETROGRAFIA POR ESTUDIO DE INCONTINENCIA PARA DETECTAR REFLUJO, E;48753,24;RADIOLOGIA
340507;NN;CISTOURETROGRAFIA MICCIONAL. CISTOURETROGRAFIA ASCENDENTE (MINIMO 2;34722,46;RADIOLOGIA
340415;NN;COLANGIOGRAFIA ENDOVENOSA (MINIMO 5 PLACAS) POR ESTUDIO. B;96209,04;RADIOLOGIA
340416;NN;COLANGIOGRAFIA OPERATORIA (PRIMERA PLACA). A *;30222,81;RADIOLOGIA
340413;NN;COLECISTOGRAFIA ORAL, INCLUYE PRUEBA DE EVACUACION (MINIMO 3 PLACAS) P;43225,35;RADIOLOGIA
340412;NN;COLON POR ENEMA, EVACUADO Y DOBLE CONTRASTE (MINIMO 8 PLACAS) TECNIC;113242,66;RADIOLOGIA
340407;NN;COLON POR INGESTA;48753,24;RADIOLOGIA
340904;NN;DACRIOCISTOGRAFIA (MINIMO 3 PLACAS) POR ESTUDIO, SIN HONORARIOS DE ESPE;24847,43;RADIOLOGIA
346005;N OSMISS;DEFECATOGRAFIA;168762,10;RADIOLOGIA
340402;NN;ESOFAGO, ESTUDIO RADIOLOGICO SERIADO (COMO MINIMO 2 PLACAS CUATRO EX;35750,91;RADIOLOGIA
346002;N OSMISS;ESPINOGRAMA (1ERA.EXPOSICION);32006,47;RADIOLOGIA
340403;NN;ESTOMAGO Y DUODENO, ESTUDIO SERIADO (MINIMO 10 EXPOSICIONES) POR ESTU;71501,35;RADIOLOGIA
340408;NN;ESTUDIO RADIOLOGICO SERIADO ILEOCECOAPENDICULAR (MINIMO 2 PLACAS) POR;19497,96;RADIOLOGIA
340405;NN;ESTUDIO SERIADO ESOFAGOGASTRODUODENAL (MINIMO DOCE EXPOSICIONES) PO;95222,97;RADIOLOGIA
340418;NN;FISTULOCOLANGIOGRAFIA, COLANGIOGRAFIA POSTOPERATORIA, (MINIMO 3 PLAC;43225,35;RADIOLOGIA
340903;NN;FISTULOGRAFIA, ESTUDIO COMPLETO (MINIMO 2 PLACAS) POR ESTUDIO A;72600,79;RADIOLOGIA
340604;NN;HISTEROSALPINGOGRAFIA CON PRUEBA DE COTTE (SIN HONORARIOS DEL ESPECIAL;42251,98;RADIOLOGIA
340203;NN;HUESO TEMPORAL O AGUJEROS OPTICOS, COMPARATIVOS, POR INCIDENCIA Y POR;17934,41;RADIOLOGIA
340214;NN;MEDICION COMPARATIVA DE MIEMBROS INFERIORES (ORTORRADIOGRAFIA) POR E;24847,43;RADIOLOGIA
340607;NN;PELVIMETRIA RADIOLOGICA (MINIMO 2 PLACAS) POR ESTUDIO. B;22906,57;RADIOLOGIA
340202;NN;POR EXPOSICION SUBISGUIENTE. B;12968,63;RADIOLOGIA
340302;NN;POR EXPOSICION SUBSIGUIENTE. A;14910,12;RADIOLOGIA
340217;NN;POR EXPOSICION SUBSIGUIENTE. A;9937,15;RADIOLOGIA
340422;NN;POR EXPOSICION SUBSIGUIENTE. A *;14910,12;RADIOLOGIA
340212;NN;POR EXPOSICION SUBSIGUIENTE. A.;12968,63;RADIOLOGIA
340210;NN;POR EXPOSICION SUBSIGUIENTE. B.;12968,63;RADIOLOGIA
346001;N OSMISS;RADIOGRAFIA CON TECNICA O PLACA MAMOGRAFICA;18257,26;RADIOLOGIA
340213;NN;RADIOGRAFIA DE CODO, ANTEBRAZO, MUÑECA, MANO, DEDOS, RODILLA, PIERNA,;17934,41;RADIOLOGIA
340211;NN;RADIOGRAFIA DE HOMBRO, HUMERO, PELVIS, CADERA Y FEMUR PRIMERA EXPOSIC;17934,41;RADIOLOGIA
340209;NN;RADIOGRAFIA DE RAQUIS (COLUMNA) PRIMERA EXPOSICION. B.;18075,62;RADIOLOGIA
340201;NN;RADIOGRAFIA DEL CRANEO,CARA,SENOS PARANASALES O CAVUM, PRIMERA EXP. B;17934,41;RADIOLOGIA
346326;N OSMISS;RADIOGRAFIA M.INFERIORES (EXPOSICION SUBSIGUIENTE);14263,52;RADIOLOGIA
346325;N OSMISS;RADIOGRAFIA MIEMBROS INFERIORES (PRIMERA EXPOSICION);38274,56;RADIOLOGIA
340301;NN;RADIOGRAFIA O TELERRADIOGRAFIA DE TORAX: CON O SIN TRAZADO DE DIAMETR;21359,75;RADIOLOGIA
340421;NN;RADIOGRAFIA SIMPLE DE ABDOMEN, PRIMERA EXPOSICION. A *;19880,86;RADIOLOGIA
340501;NN;RADIOGRAFIA SIMPLE DE ARBOL URINARIO. B;19880,86;RADIOLOGIA
340103;NN;RADIOSCOPIA CON CIRCUITO CERRADO DE TELEVISION (AGREGAR AL CODIGO COR;41213,81;RADIOLOGIA
340401;NN;SIALOGRAFIA, ESTUDIO COMPLETO - INCLUYE CONTRASTE-;35750,91;RADIOLOGIA
346327;N OSMISS;TRANSITO COLONICO CON MARCADORES RADIO OPACOS;132222,68;RADIOLOGIA
340407;NN;TRANSITO DE INTESTINO DELGADO O DE COLON (MINIMO 3 PLACAS) POR ESTUDIO;48753,24;RADIOLOGIA
346328;N OSMISS;TRANSITO DE INTESTINO DELGADO POR DOBLE CONTRASTE;192531,14;RADIOLOGIA
340503;NN;UROGRAMA EXCRETOR CON ESTUDIO VESICAL, PRE Y POST MICCIONAL (MINIMO S;80165,27;RADIOLOGIA
340504;NN;UROGRAMA MINUTADO O POR GOTEO, PIELOGRAFIA POR PERFUSION (MINIMO SI;80165,27;RADIOLOGIA
346004;N OSMISS;VIDEO DE LA DEGLUCION EN 4 TIEMPOS O FRACCIONADA RADIOLOGIA;140459,03;RADIOLOGIA
346003;N OSMISS;VIDEODEGLUCION / VIDEO DEGLUCION CON FLUOROSCOPIA RADIOLOGIA;172538,32;RADIOLOGIA
346285;N OSMISS;ANGIO RESONANCIA AORTA ABDOMINAL;236594,70;RESONANCIA MAGNETICA
346283;N OSMISS;ANGIO RESONANCIA CARDIACA;332750,41;RESONANCIA MAGNETICA
346284;N OSMISS;ANGIO RESONANCIA DE ABDOMEN;236594,70;RESONANCIA MAGNETICA
346293;N OSMISS;ANGIO RESONANCIA DE ARTICULACIONES;236594,70;RESONANCIA MAGNETICA
346282;N OSMISS;ANGIO RESONANCIA DE CEREBRO;236594,70;RESONANCIA MAGNETICA
346287;N OSMISS;ANGIO RESONANCIA DE COLUMNA CERVICAL/CUELLO;236594,70;RESONANCIA MAGNETICA
346281;N OSMISS;ANGIO RESONANCIA DE COLUMNA DORSAL;236594,70;RESONANCIA MAGNETICA
346281;N OSMISS;ANGIO RESONANCIA DE COLUMNA LUMBOSACRA;236594,70;RESONANCIA MAGNETICA
346288;N OSMISS;ANGIO RESONANCIA DE HOMBRO;236594,70;RESONANCIA MAGNETICA
346292;N OSMISS;ANGIO RESONANCIA DE MIEMBROS INFERIORES;341412,79;RESONANCIA MAGNETICA
346290;N OSMISS;ANGIO RESONANCIA DE MIEMBROS SUPERIORES;341412,79;RESONANCIA MAGNETICA
346286;N OSMISS;ANGIO RESONANCIA DE OTROS TERRITORIOS VASCULARES;236594,70;RESONANCIA MAGNETICA
346289;N OSMISS;ANGIO RESONANCIA DE PELVIS-CADERAS;236594,70;RESONANCIA MAGNETICA
346291;N OSMISS;ANGIO RESONANCIA DE RODILLA;236594,70;RESONANCIA MAGNETICA
346284;N OSMISS;ANGIO RESONANCIA DE TORAX;236594,70;RESONANCIA MAGNETICA
346307;N OSMISS;ARTRO RESONANCIA;288800,41;RESONANCIA MAGNETICA
346308;N OSMISS;COLANGIO RESONANCIA;327060,32;RESONANCIA MAGNETICA
346211;N OSMISS;DIFUSION MAS PERFUSION POR RESONANCIA DE CEREBRO;267658,07;RESONANCIA MAGNETICA
346210;N OSMISS;DIFUSION POR RESONANCIA DE CEREBRO;190144,55;RESONANCIA MAGNETICA
346261;N OSMISS;DIFUSION/ESPECTRO/TRACTO POR RESONANCIA OTROS ORGANOS (NO CEREBRO);190144,55;RESONANCIA MAGNETICA
346309;N OSMISS;ESPECTROSCOPIA POR RESONANCIA;266052,03;RESONANCIA MAGNETICA
AAARBA;AAARBA;HONORARIOS PEDIATRICOS ANESTESIOLOGIA RNM SIN CONTRASTE (0 a 14 AÑOS) E;1159293,13;RESONANCIA MAGNETICA
AAARBA;AAARBA;HONORARIOS PEDIATRICOS ANESTESIOLOGIA RNM SUBSIGUIENTE-ED;579646,56;RESONANCIA MAGNETICA
346264;N OSMISS;NEUROGRAFIA POR RESONANCIA;295858,90;RESONANCIA MAGNETICA
346206;N OSMISS;RESONANCA DE OTRAS REGIONES - ANTEPIE;236594,70;RESONANCIA MAGNETICA
346227;N OSMISS;RESONANCIA CARDIACA;426349,44;RESONANCIA MAGNETICA
346217;N OSMISS;RESONANCIA CEREBRO + HIPOFISIS;236594,70;RESONANCIA MAGNETICA
346248;N OSMISS;RESONANCIA COLUMNA CERVICAL FLEX/EXTENSION;236594,70;RESONANCIA MAGNETICA
346263;N OSMISS;RESONANCIA CON SONDA ENDORECTAL;203320,33;RESONANCIA MAGNETICA
346252;N OSMISS;RESONANCIA CUERPO ENTERO (SOLO PARA TURNOS);638912,91;RESONANCIA MAGNETICA
346202;N OSMISS;RESONANCIA DE ABDOMEN;236594,70;RESONANCIA MAGNETICA
346310;N OSMISS;RESONANCIA DE ABDOMEN POR CUANTIFICACION DE HIERRO;236594,70;RESONANCIA MAGNETICA
346234;N OSMISS;RESONANCIA DE ABDOMEN Y PELVIS (SOLO PARA TURNOS);382662,74;RESONANCIA MAGNETICA
346206;N OSMISS;RESONANCIA DE AQUILES;236594,70;RESONANCIA MAGNETICA
346222;N OSMISS;RESONANCIA DE ARTICULACION TEMPORO MANDIBULAR (ATM);212243,36;RESONANCIA MAGNETICA
346206;N OSMISS;RESONANCIA DE BRAZO;236594,70;RESONANCIA MAGNETICA
346200;N OSMISS;RESONANCIA DE CEREBRO;236594,70;RESONANCIA MAGNETICA
346267;N OSMISS;RESONANCIA DE CEREBRO - MCF;236594,70;RESONANCIA MAGNETICA
346206;N OSMISS;RESONANCIA DE CEREBRO - OIDO;236594,70;RESONANCIA MAGNETICA
346267;N OSMISS;RESONANCIA DE CEREBRO - SPN;236594,70;RESONANCIA MAGNETICA
346267;N OSMISS;RESONANCIA DE CEREBRO + LCR;236594,70;RESONANCIA MAGNETICA
346272;N OSMISS;RESONANCIA DE CEREBRO + OIDOS (C.A.I);236594,70;RESONANCIA MAGNETICA
346212;N OSMISS;RESONANCIA DE CEREBRO + PROT EPILEPSIA;236594,70;RESONANCIA MAGNETICA
346214;N OSMISS;RESONANCIA DE CEREBRO + VOLUMETRIA;236594,70;RESONANCIA MAGNETICA
346215;N OSMISS;RESONANCIA DE CEREBRO CON TENSOR DE DIFUSION;180720,97;RESONANCIA MAGNETICA
346221;N OSMISS;RESONANCIA DE COCLEAS;236594,70;RESONANCIA MAGNETICA
346243;N OSMISS;RESONANCIA DE CODO;201808,78;RESONANCIA MAGNETICA
346248;N OSMISS;RESONANCIA DE COLUMNA CERVICAL;236594,70;RESONANCIA MAGNETICA
346248;N OSMISS;RESONANCIA DE COLUMNA DORSAL;236594,70;RESONANCIA MAGNETICA
346248;N OSMISS;RESONANCIA DE COLUMNA LUMBOSACRA;236594,70;RESONANCIA MAGNETICA
346207;N OSMISS;RESONANCIA DE COLUMNA TOTAL (SOLO PARA TURNOS);573995,04;RESONANCIA MAGNETICA
346252;N OSMISS;RESONANCIA DE CUERPO ENTERO;638912,91;RESONANCIA MAGNETICA
346217;N OSMISS;RESONANCIA DE HIPOFISIS;236594,70;RESONANCIA MAGNETICA
346238;N OSMISS;RESONANCIA DE HOMBRO;201808,78;RESONANCIA MAGNETICA
346225;N OSMISS;RESONANCIA DE MAMAS;212759,84;RESONANCIA MAGNETICA
346237;N OSMISS;RESONANCIA DE MUÑECA;201808,78;RESONANCIA MAGNETICA
346206;N OSMISS;RESONANCIA DE ORBITAS;236594,70;RESONANCIA MAGNETICA
346206;N OSMISS;RESONANCIA DE OTRAS REGIONES;236594,70;RESONANCIA MAGNETICA
346206;N OSMISS;RESONANCIA DE OTRAS REGIONES - ANTEBRAZO;236594,70;RESONANCIA MAGNETICA
346239;N OSMISS;RESONANCIA DE OTRAS REGIONES - CADERAS;236594,70;RESONANCIA MAGNETICA
346206;N OSMISS;RESONANCIA DE OTRAS REGIONES - CLAVICULA;236594,70;RESONANCIA MAGNETICA
346206;N OSMISS;RESONANCIA DE OTRAS REGIONES - CUELLO;236594,70;RESONANCIA MAGNETICA
346206;N OSMISS;RESONANCIA DE OTRAS REGIONES - ESTERNON;236594,70;RESONANCIA MAGNETICA
346206;N OSMISS;RESONANCIA DE OTRAS REGIONES - GLUTEOS;236594,70;RESONANCIA MAGNETICA
346206;N OSMISS;RESONANCIA DE OTRAS REGIONES - GLUTEOS + PROTESIS;236594,70;RESONANCIA MAGNETICA
346206;N OSMISS;RESONANCIA DE OTRAS REGIONES - MANO;236594,70;RESONANCIA MAGNETICA
346206;N OSMISS;RESONANCIA DE OTRAS REGIONES - MUSLO;236594,70;RESONANCIA MAGNETICA
346206;N OSMISS;RESONANCIA DE OTRAS REGIONES - PENE;236594,70;RESONANCIA MAGNETICA
346206;N OSMISS;RESONANCIA DE OTRAS REGIONES - PIE;236594,70;RESONANCIA MAGNETICA
346206;N OSMISS;RESONANCIA DE OTRAS REGIONES - PIERNA;236594,70;RESONANCIA MAGNETICA
346206;N OSMISS;RESONANCIA DE OTRAS REGIONES - SACROILIACAS;236594,70;RESONANCIA MAGNETICA
346206;N OSMISS;RESONANCIA DE OTRAS REGIONES - TESTICULOS;236594,70;RESONANCIA MAGNETICA
346231;N OSMISS;RESONANCIA DE PARED ABDOMINAL;236594,70;RESONANCIA MAGNETICA
346235;N OSMISS;RESONANCIA DE PELVIS GINECOLOGICA;236594,70;RESONANCIA MAGNETICA
346235;N OSMISS;RESONANCIA DE PELVIS OSEA;236594,70;RESONANCIA MAGNETICA
346237;N OSMISS;RESONANCIA DE RODILLA;201808,78;RESONANCIA MAGNETICA
346246;N OSMISS;RESONANCIA DE TOBILLO;201808,78;RESONANCIA MAGNETICA
346204;N OSMISS;RESONANCIA DE TORAX;236594,70;RESONANCIA MAGNETICA
346216;N OSMISS;RESONANCIA ENCEFALO FETAL;286998,62;RESONANCIA MAGNETICA
346220;N OSMISS;RESONANCIA FUNCIONAL DE CEREBRO;354892,54;RESONANCIA MAGNETICA
346306;N OSMISS;RESONANCIA MULTIPARAMETRICA DE PROSTATA;380338,42;RESONANCIA MAGNETICA
346204;N OSMISS;RESONANCIA OTRAS REGIONES - PARRILLA COSTAL;236594,70;RESONANCIA MAGNETICA
346235;N OSMISS;RESONANCIA PELVIS + PROSTATA;236594,70;RESONANCIA MAGNETICA
346235;N OSMISS;RESONANCIA PELVIS + RECTO;236594,70;RESONANCIA MAGNETICA
346242;N OSMISS;RESONANCIA RODILLA + DINAMICA DE ROTULA;201808,78;RESONANCIA MAGNETICA
346242;N OSMISS;RESONANCIA RODILLA + SEC CARTILADO;201808,78;RESONANCIA MAGNETICA
346303;N OSMISS;RESONANCIA TRIDIMENSIONAL DE CEREBRO;169532,81;RESONANCIA MAGNETICA
346236;N OSMISS;RNM DE PELVIS OSEA CON CTE - PRIV, HOSPITALARIO, ETC;146940,44;RESONANCIA MAGNETICA
346301;N OSMISS;SIALOGRAFIA POR RESONANCIA;195457,41;RESONANCIA MAGNETICA
346302;N OSMISS;TRACTOGRAFIA POR RESONANCIA;190169,22;RESONANCIA MAGNETICA
346265;N OSMISS;URO RESONANCIA;327060,32;RESONANCIA MAGNETICA
346153;N OSMISS;ANGIO CORONARIA NO INVASIVA;605330,15;TOMOGRAFIA COMPUTADA
346172;N OSMISS;ANGIO TOMOGRAFIA MULTISLICE DE OTRAS REGIONES CON RECONSTRUCCION 3D;259304,78;TOMOGRAFIA COMPUTADA
346160;N OSMISS;ANGIOTOMOGRAFIA MULTISCLICE AORTA, TORAXICA, ABDOMINAL, RENAL;259303,75;TOMOGRAFIA COMPUTADA
346169;N OSMISS;ANGIOTOMOGRAFIA MULTISCLICE ARTERIAS MMSS O MMII;311161,03;TOMOGRAFIA COMPUTADA
346157;N OSMISS;ANGIOTOMOGRAFIA MULTISCLICE CAVOGRAFIA O FLEBOLO.MMII;259303,75;TOMOGRAFIA COMPUTADA
346149;N OSMISS;ANGIOTOMOGRAFIA MULTISCLICE CEREBRAL, POLIGONO DE WILLIS O CAROTIDAS;259303,75;TOMOGRAFIA COMPUTADA
346149;N OSMISS;ANGIOTOMOGRAFIA MULTISCLICE CEREBRAL, POLIGONO DE WILLIS O CAROTIDAS;259303,75;TOMOGRAFIA COMPUTADA
346152;N OSMISS;ANGIOTOMOGRAFIA MULTISCLICE DE ARTERIA PULMONAR (TROMBOEMBOLISMO;259303,75;TOMOGRAFIA COMPUTADA
346166;N OSMISS;ANGIOTOMOGRAFIA MULTISCLICE DE CUERPO ENTERO;632535,31;TOMOGRAFIA COMPUTADA
346158;N OSMISS;ANGIOTOMOGRAFIA MULTISCLICE TRIPLE RULE OUT (DOLOR DE PECHO) DESCARTA;596393,37;TOMOGRAFIA COMPUTADA
346174;N OSMISS;ARTROTOMOGRAFIA;392169,18;TOMOGRAFIA COMPUTADA
346181;N OSMISS;BLOQUEO RADICULAR SELECTIVO BAJO TAC;496978,17;TOMOGRAFIA COMPUTADA
346177;N OSMISS;BRONCOSCOPIA VIRTUAL POR TAC MULTISLICE;295463,08;TOMOGRAFIA COMPUTADA
346178;N OSMISS;COLONOSCOPIA POR TAC MULTISCLICE O ENDOSCOPIA O COLONOSCOPIA VIRTUAL;295463,08;TOMOGRAFIA COMPUTADA
346109;N OSMISS;ENTERO TOMOGRAFIA COMPUTADA;529122,10;TOMOGRAFIA COMPUTADA
346176;N OSMISS;PUNCION BAJO CONTROL TOMOGRAFICO - (INC AP, MEDIC, DESC);837948,35;TOMOGRAFIA COMPUTADA
346175;N OSMISS;PUNCION OSEA BAJO TOMOGRAFÍA;913948,32;TOMOGRAFIA COMPUTADA
346111;N OSMISS;SCORING DE CALCIO PREVENTIVA;186703,84;TOMOGRAFIA COMPUTADA
346112;N OSMISS;TOMOGRAFIA CEREBRAL MULTISCLICE;134842,68;TOMOGRAFIA COMPUTADA
346113;N OSMISS;TOMOGRAFIA CEREBRAL MULTISCLICE CON CONTRASTE;168545,49;TOMOGRAFIA COMPUTADA
346119;N OSMISS;TOMOGRAFIA DE ABDOMEN MULTISCLICE;234053,72;TOMOGRAFIA COMPUTADA
346120;N OSMISS;TOMOGRAFIA DE ABDOMEN Y PELVIS MULTISCLICE;234053,72;TOMOGRAFIA COMPUTADA
346128;N OSMISS;TOMOGRAFIA DE COLUMNA MULTISCLICE;159686,81;TOMOGRAFIA COMPUTADA
346130;N OSMISS;TOMOGRAFIA DE OTROS ORGANOS MULTISCLICE - ATM;159686,81;TOMOGRAFIA COMPUTADA
346130;N OSMISS;TOMOGRAFIA DE OTROS ORGANOS MULTISCLICE - CADERAS;159686,81;TOMOGRAFIA COMPUTADA
346130;N OSMISS;TOMOGRAFIA DE OTROS ORGANOS MULTISCLICE - CLAVICULA;159686,81;TOMOGRAFIA COMPUTADA
346130;N OSMISS;TOMOGRAFIA DE OTROS ORGANOS MULTISCLICE - CODO;159686,81;TOMOGRAFIA COMPUTADA
346130;N OSMISS;TOMOGRAFIA DE OTROS ORGANOS MULTISCLICE - CUELLO;159686,81;TOMOGRAFIA COMPUTADA
346130;N OSMISS;TOMOGRAFIA DE OTROS ORGANOS MULTISCLICE - FALANGES;159686,81;TOMOGRAFIA COMPUTADA
346130;N OSMISS;TOMOGRAFIA DE OTROS ORGANOS MULTISCLICE - HOMBRO;159686,81;TOMOGRAFIA COMPUTADA
346130;N OSMISS;TOMOGRAFIA DE OTROS ORGANOS MULTISCLICE - MANO;159686,81;TOMOGRAFIA COMPUTADA
346130;N OSMISS;TOMOGRAFIA DE OTROS ORGANOS MULTISCLICE - MAXILARES;159686,81;TOMOGRAFIA COMPUTADA
346130;N OSMISS;TOMOGRAFIA DE OTROS ORGANOS MULTISCLICE - MCF;159686,81;TOMOGRAFIA COMPUTADA
346130;N OSMISS;TOMOGRAFIA DE OTROS ORGANOS MULTISCLICE - MUÑECA;159686,81;TOMOGRAFIA COMPUTADA
346130;N OSMISS;TOMOGRAFIA DE OTROS ORGANOS MULTISCLICE - MUSLO;159686,81;TOMOGRAFIA COMPUTADA
346130;N OSMISS;TOMOGRAFIA DE OTROS ORGANOS MULTISCLICE - OIDO;159686,81;TOMOGRAFIA COMPUTADA
346130;N OSMISS;TOMOGRAFIA DE OTROS ORGANOS MULTISCLICE - OTRAS REGIONES;159686,81;TOMOGRAFIA COMPUTADA
346130;N OSMISS;TOMOGRAFIA DE OTROS ORGANOS MULTISCLICE - SPN;159686,81;TOMOGRAFIA COMPUTADA
346130;N OSMISS;TOMOGRAFIA DE OTROS ORGANOS MULTISCLICE - TOBILLO;159686,81;TOMOGRAFIA COMPUTADA
346127;N OSMISS;TOMOGRAFIA DE PELVIS MULTISCLICE;188864,14;TOMOGRAFIA COMPUTADA
346142;N OSMISS;TOMOGRAFIA DE VEJIGA Y PROSTATA MULTISCLICE;174161,44;TOMOGRAFIA COMPUTADA
346183;N OSMISS;TOMOGRAFIA DENTASCAN 1 MAXILAR (TC DENTAL P/IMPLANTE);131751,09;TOMOGRAFIA COMPUTADA
346184;N OSMISS;TOMOGRAFIA DENTASCAN 2 MAXILARES (TC DENTAL P/IMPLANTE);190088,37;TOMOGRAFIA COMPUTADA
346140;N OSMISS;TOMOGRAFIA HEPATOBILIAR, ESPLENICA, PANCREATICA MULTISCLICE;188860,58;TOMOGRAFIA COMPUTADA
346120;N OSMISS;TOMOGRAFIA MULTISCLICE 3D DE ABDOMEN Y PELVIS;246500,60;TOMOGRAFIA COMPUTADA
346132;N OSMISS;TOMOGRAFIA MULTISCLICE 3D DE CEREBRO;159686,81;TOMOGRAFIA COMPUTADA
346133;N OSMISS;TOMOGRAFIA MULTISCLICE 3D DE CEREBRO CON CONTRASTE;159686,81;TOMOGRAFIA COMPUTADA
346145;N OSMISS;TOMOGRAFIA MULTISCLICE 3D DE COLUMNA;188864,14;TOMOGRAFIA COMPUTADA
346146;N OSMISS;TOMOGRAFIA MULTISCLICE 3D DE OTROS ORGANOS CON O SIN SUPRESION METAL;174161,44;TOMOGRAFIA COMPUTADA
346137;N OSMISS;TOMOGRAFIA MULTISCLICE 3D DE TORAX;203339,13;TOMOGRAFIA COMPUTADA
