CODIGO;Descripción
030408;RINOP.INJER.CUTAN.PEDIC.C
030409;SEPTUMP.X IMPLAN.CARTIL.A
030410;SEPTUMP.X PERF.O IMPL.ACR
030411;RESEC.TABIQ.NASAL-OP KILL
030412;TURBI.PARC.O COMPL.SIMP.R
030413;SUTURA DE NARIZ BIOP.DE N
030501;CIER.FIST.MENIN.X VIA TRA
030502;SINUS.COMB.FRONT.ETMOI.ES
030503;SINUS.COMB.FRONT.ETMOI.Y
030504;SINUS.RADIC.FRONT.X VIA E
030505;SINUSOTOMIA FRONTAL EXT.S
030506;SINUSOTOMIA ESFENOIDAL
030507;PUNCION SENO ESFENOIDAL
030508;ETMOIDECTOMIA INTERNA
030509;CIRUG.TUMORES ETMOIDALES
030510;ANTROTOMIA MAXILAR RAD.UN
030511;ANTROT. MAXILAR RAD.BILAT
030512;SINUSOTOMIA MAXIL.SIMPLE
030513;SINUSOTOMIA MAXIL.SIM.BIL
030514;CIERR.FIST.ORAL DE SENO M
030515;PUNC.SENO C/S INSERC.SOND
030516;CIRUG.FOSA PTERIGOMAXILAR
030601;LARING.RAD.C/VAC.DE CUELL
030602;LARINGOFARINGETOMIA
030603;LARINGECTOMIA TOTAL
030604;LARINGETOMIA PARCIAL
030605;LARINGOPLASTIA CORDO.ARIT
030606;LARINGOTOMIA MEDI.E INFER
030607;INCISION Y DRENAJE DE LAR
030608;MICROCIRUGIA DE LARINGUE
030701;INC.Y DREN.DE LESION ORIG
030702;EXTIRP.GERMEN DENTARIO AM
030703;GINGIVECTOMIA PARCIAL TUM
030704;GINGIVECTOMIA TOTAL AMPLI
030705;OPER.COMAN.ENCIA TRIGONO
030706;BIOPSIA DE ENCIA SUTURA D
030801;PAROTIDECTOMIA TOTAL
030802;OPER.COMANDO PAROTIDA
030803;PAROTIDECTOMIA LOBULO SUP
030804;ESC.RADICAL GLANDULA SUBM
030805;OPER.COMAN.GLANDULA SUBMA
030806;INCIS.DREN. GLAND.PAROTID
030807;BIOPS.GLANDULA SALIVAL EX
030808;EXTIRPACION DE RANULA
030901;OPER.COM.PISO DE BOCA ESC
030902;ESC.AMPL.MUCOSA YUGAL Y R
030903;ESTOMATOPLASTIA C/INJERTO
030904;INC.Y DRENAJE DE PISO BOC
030905;CIERRE DE FISTULA EXT.DE
031001;QUEILOPLASTIA LABIO LEPOR
031002;QUEILOPLASTIA LABIO LEP.B
031003;QUEILOPLAS.UNI O BIL C/PA
031004;RESEC.DE LABIO
031005;QUEILOPLASTIA DE BERNARD
031006;QUEILOPLASTIA C/VACIA.GAN
031007;ESCISION LOCAL DE LESION
031008;INCIS.Y DRENAJE DE LABIO
031101;OPER.COMANDO DE LENGUA
031102;GLOSECTOMIA SUBTOTAL
031103;ESCIS.LOCAL DE LESION LEN
031104;GLOSOPLASTIA
031105;GLOSOTOMIA C/DRENAJE ABSC
031201;PALATOPLASTIA PALA.BLANDO
031202;RESECCION PARCIAL DE PALA
031203;RESECION PARCIAL DE PALAD
031204;RESEC.TOTAL DE PALADAR Y
031205;OPER.COMAN. DE PALADAR BL
031206;INCIS. Y DRENAJE DE PALAD
031301;AMIGDALETOMIA ADENOIDET.O
031302;ESCIS.ELECTROCOAGULACION
031303;INCIS.DRENAJE DE AMIGD.O
031304;OPER.COMAN.DE FARINGE
031305;FARINGOPLASTIA
031306;FARINGUECTOMIA PARCIAL
031307;ESC.DIVERTICULO FARINGOES
031308;FARINGOTOMIA
031309;CIERRE DE FARINGOSTOMA
031310;SUTURA DE FARINGE
031311;BIOPSIA DE FARINGE
031312;ESCIS.RADICAL DE LESION N
031313;BIOPSIA LESION NASOFARING
040101;TIROIDECTOMIA TOTAL C/VAC
040102;TIROIDECTOMIA TOTAL C/VAC
040103;TIROIDECTOMIA TOTAL
040104;TIROIDECTOMIA SUB-TOTAL-H
040105;EXTIRP. DE QUISTE TIROGLO
040106;PUNCION BIOPSIA DE TIROID
040107;INCISION Y DRENAJE DE QUI
