CODIGO;Descripción
121503;TENOPLASTIA C/ALARGAM.O A
121504;REP.Y SUT.TENORRAF.E/TEND
121505;TENOPLAS.C/ALARG.O ACORT.
121506;REP.Y SUT.TENORRAFIA D/TR
121507;TENOP.C/ALARG.O ACORT.O I
121508;TRAT. D/L/SECUELA P/PARAL
121509;ESCISION GANGLION
121601;INTERESCAPULOTORACICA
121602;HOMBRO
121603;BRAZO CODO ANTEB.MU#ECA M
121604;INTERILEOABDOMINAL
121605;CADERA
121606;MUSLO O RODILLA
121607;PIE O PIERNA
121608;DEDO D/L/MANO
121609;DEDO D/PIE
121701;DISCECTOMIA CERV.DORSAL O
121702;DISCECTOMIA CERV.DORSAL L
121703;TRAT.QUIR.D/L/ELEV.CONG.D
121704;TENOTOMIAS Y/O FASCIOTOMI
121705;OPERAC.E/E/HUECO SUPRA-CL
121706;TRAT.QUIR.D/L/LUXAC.INVER
121707;APONEUROTIMIA-FASCIOTOMIA
121708;APONEURECTOMIA PARCIAL O
121709;APONEURECTOMIA PARCIAL E
121710;D/UN ESPACIO DIGIT.S/INJE
121711;DE UN ESPACIO DIGITAL CON
121712;RECONSTRUCCION TOTAL DEL
121713;RECONSTRUCCION PARCIAL DE
121714;LUXACION CONGENITA DE CAD
121715;LUXACION CONGENITA DE CAD
121716;DISPLASIA DE CADERA SIN L
121717;EPIFIOLISIS DE CADERA COX
121718;TRAT. QUIR. DE LA LUXACIO
121719;CUADRICEPSPLASTIA JUDET E
121720;LUXACION RECIDIVANTE DE R
121721;PIE ZAMBO VARO EQUINO SUP
121722;PIE EQUINO TRAT. QUIR.
121723;PIE PLANO O PIE CAVO TRAT
121724;SEUDOEXOTOSIS DE HAGLUND
121725;TRAT. QUIR. DEL PIE UNHEN
121726;TRAT. QUIR. COMPLETO DEL
121727;TRAT. QUIR. DEL DEDO DE G
121728;EXERESIS DEL NEUROMA DE M
121801;MUSCULARES PERIARTICULARE
121802;MIVILIZACION FORZADA DE A
121901;FRONDA ARTICULADA PARA MA
121902;YESO PARA NARIZ
121903;MINERVA
121904;COLLAR DE SHANZ ENYESADO
121905;VENDAJE DE SHANZ
121906;CORSET
121907;CORSELETE
121908;CORSET DE RISSER O SIMILA
121909;LECHO DE LORENZ HASTA CAD
121910;LECHO DE LORENZ HASTA PIE
121911;VENDAJE DE CINGULO PARA C
121912;VENDAJE EN OCHO ENYESADO
121913;VENDAJE DE ROBERTS JONES
121914;VELPEAU DE YESO
121915;VENDAJE DE VALPEU
121916;YESO TORACO-BRAQUIAL
121917;YESO BRAQUIPALMAR
121918;YESO COLGANTE
121919;YESO ANTEBRANQUIPALMAR
121920;MANO DE YESO
121921;VALVA LARGA DE MIEMBRO SU
121922;VALVA CORTA DSE MIEMBRO S
121923;YESO PELVIPEDICO
121924;DUCROQUET
121925;CALZA DE YESO-YESO CRURO-
121926;BOTA LARGA DE YESO
121927;BOTA CORTA DE YESO
121928;BOTIN DE YESO
121929;VALVA LARGA DE MIEMBRO IN
121930;VALVA CORTA DE MIEMBRO IN
121931;PASTA DE UNNA
121932;TRACCION CONTINUA CUTANEA
121933;TRACCION CONTINUA TIPO CO
121934;TRACCION CONTINUA ESQUELE
121935;TRACCION CONTINUA ESQU. C
121936;TRACCION CONTINUA ESQU. M
130101;ESCISION DE QUISTE DERMOI
130102;ESCISION AMPLIA DE LESION
130103;ESCISION RADICAL DE ANGIO
130104;ESCISION LOCAL DE LESION
130105;INCISION Y DRENAJE DE ABS
130106;DESTRUCCION DE LESION PIE
130107;DESTRUCCION DE PIEL VERRU
130108;BIOPSIA DE PIEL Y/O TEJID
130109;ESCISION DE U#A LECHO O R
130110;SUTURAS DE HERIDAS
130112;ESCISION DE TUMOR DE TEJI
130113;ESCISION DE LIPOMA GIGANT
130114;INCISION Y DRENAJE DE ABS
130115;IMPLANTACION DE *PELLETS*
130201;INJERTO LIBRE DE GRASA DE
130202;PREPARACION DE COLGAJO TU
130203;ADELGAZAMIENTO DE PIEL Y
130204;CIERRE PLASTICO DE HERIDA
130205;TRANSPORTE DE TUBO POR TI
130206;OPERACION RELAJANTE EN *Z
130207;TOMA Y CLOCACION DE INJER
130208;DERMABRASION EN CASO DEBI
130209;INJERTO PINCH POR SESION
130210;DIFERIDO DEL COLGAJO SEPA
130211;PREP. DEL COLGAJO Y CIERR
130301;ATENCION CON QUEMADURAS S
130302;AT. QUEM. SEG. TER. GRA.
130303;AT. QUEM. SEG.Y TER. G. Q
130304;ESCICION DE ESCARAS POSTQ
140101;TESTIFICACION TOTAL
140102;TESTIFICACION PARCIAL HAS
140103;TESTIFICACION POR DROGAS
140104;TRAT, DESENSIBILIZANTE IN
150101;BIOPSIA POR INCISION O PO
150102;ESTUDIO MACRO Y MICROSCOP
150103;ESTUDIO MACRO Y MICROSCOP
150104;BIOPSIA POR CONGELACION Y
150105;EST. BIOPSICO SERIADO Y S
150106;CITOLOGIA EXFOLIATIVA ONC
150107;CITOLOGIA EXOFOLOGICA HOR
150108;NECROPSIA DE NEONATO O LA
150109;NECROPSIA DEL JOVEN Y DEL
150110;CITOLOGIA EXOFOLIATIVA ON
150111;CITOLOGIA EXFOLIATIVA ONC
160101;ANESTESIA MINIMA PARA PRO
160102;ANALGESIA REGIONAL CONTIN
160103;ANALGESIA REG. POR BLOQUE
160104;HIPOTERMIA CONTROLADA Y/O
160105;INTUBACION ENDOTRAQUEAL F
170101;ELECTROC EN CONSULTORIO
170102;ELECTROCARDIOGRAMA A DOMI
170103;ELECTROGRAMA DEL HAZ DE H
170104;ELECTROCARDIOGRAMA DE HOL
170105;SOBREESTIMULACION CARDIAC
170106;ELECTROCARDIOGRAMA CON DE
170107;VECTOCARDIOGRAMA
170108;FONOMECANOCARDIOGRAMA DER
170109;MONITOREO OPERATORIO
170110;CARDIOVERSION EN PACIENTE
170111;ERGOMETRIA
170112;CURVAS DE DILUCION CON CO
170115;FLUXOMETRIA POR EFECTO DO
170116;TERMODILUCION
170117;REHABILITACION DE CARDIOP
170118;ELECTROCARDIOGRAMA DE HOL
180101;ECOCARDIOGRAMA COMPLETO I
180102;ECOCARDIOGRAMA COMPLETO O VIDEO MODO AYM NORMA INCLUYE 180101
180103;ECOCARDIOGRAMA COMP. CON
180104;ECOGRAFIA TOCOGINECOLOGIC
180106;ECOGRAFIA MAMA UNI O BILA
180107;ECOGRAFIA CEREBRAL
180109;ECOGRAFIA OFTALMOL. UNI O
180110;ECOGRAFIA TIROIDEA
180111;ECOGRAFIA DE TESTICULOS
180112;ECOGRAFIA COMPLETA DE ABD
180113;ECOGRAFIA HEPAT.BILIAR ES
180114;ECOGRAFIA DE VEJIGA O PRO
180116;ECOGRAFIA RENAL BILATERAL
180117;ECOGRAFIA DE AORTA ABD.DI
180118;ECOGRAFIA PANCREAT.O SUPR
180121;ECOGRAFIA P/L/AMNIOCENTES
190101;METABOLISMO BASAL
190102;REG.INDIVI.C/PREP.D/MENU
200101;TEST D/BERNSTEIN
200102;SONDEO GAST.FRAC.P/TEST S
200103;SONDEO GAST.E/AYUNA P/DET
200104;SONDEO C/ELECT.INTRAG.P/D
200105;SONDEO GAST.P/TEST SECRET
200106;SONDEO DUODE.DIAG.C/CON.R
200107;SONDEO DUODE.C/SONDA D/DO
200108;CLEARENCE D/BROMOSULFTALE
200109;TEST D/RETENC.D/BSF 45 MI
200110;TEST RETENC.D/BROMOSULF.A
200111;MOTIL.ESOFAGICA OBTENC.RE
200112;DETER.D/REFLUJO GASTROE.P
200113;LAVADO GASTRICO O ESOFAGI
200114;EXTRAC.D/MATER.D/ESOF.O E
200115;COLOC.D/SONDA BALON D/SEN
200116;BIOPSIA PERORAL ESOF.O GA
200117;BIOPSIA PERORAL D/INTES.D
200118;BIOP.PERORAL D/INTEST.DEL
200119;ESOFAGASCOPIA C/INST.RIGD
200120;ESOFAGOFIBROSCOPIA
200121;GASTROSCOPIA C/INSTRUM.RI
200122;ESOFAGOGASTRODUODENOFIBRO
200123;CANUL.ENDOS.D/PAPILA D/VA
200124;COLONOSCOPIA
200125;RECTOSIGMOIDOSCOPIA C/INS
200126;RECTOSIGMOIDOFIBROSCOPIA
200127;ANOSCOPIA
200128;DILAT.ESOF.C/CONTROL ENDO
200129;DILATAC.ESOF.C/SONDA D/ME
200130;REDUC.NOQUIRUR.D/L/INVAG.
200131;REDUC.MANUAL D/RECTO DIL.
200132;GASTROFIBROSCOPIA
200134;POLIPECTOMIA ENDOSC. GAST
200135;POLIPECTOMIA ENDOSC.COLON
200136;HASTA 3 FOTOG.REAL.DURAN.
210101;EST.GENETICO
210102;DERMATOGLIFOS
210103;CROMATINA SEXUAL
210104;ANAL.CROMOSOMICO D/CARIOT
210105;ANAL.CROMOS.D/CARIOT.C/BA
210106;ANAL.CROMOS.D/CARIOT.C/BA
210107;ANAL.CROMOS.D/CARIOT.C/BA
210201;EST.COMPLET.D/HISTOCOMP.P
210202;EST.COMPLET.D/HISTOCOMP.P
210203;CROSS-MATCH(ANTI ANTI-HLA
210204;CROSS-MATCH(ANTI ANTI HLA
210205;CROSS-MATCH(ANTI ANTI HLA
210206;DETERM. ANTIGENOS DR-DQ
210207;CULTIVO MIXTO LINFOCITOS
220101;COLPOSCOPIA TRAQUELOSCOPI
220102;COLPOCIT.OBTENC. D/MATER.
220103;TEST D/SIMS-HUNFER
220104;EST.DEL MOCO CERVICAL
220105;PERSUFLACION C/REGIST.QUI
220106;PERSUF.HIDROT.P/C/SECCION
220107;INSTILACION D/SUST. RADIO
220201;AMNIOSCOPIA
220202;MONITOREO FETAL
220203;METODO PSICOPROFILACTICO
220204;CONTROL OBSTETRICO DEL TRABAJO DE PARTO
230101;ADHES.PLAQUET.IN VIVO O I
230102;AGREG.PLAQUET.MIN.3 SUST.
230103;ADENOGRAMA
230104;INVEST.D/AGLUTINITIS
230105;AGLUTINITIS D/SIST.ABO
230106;ANTICOAG.CIRCUL.DETERM DE
230107;ANTICUERPO ELUCION
230108;ANTICUERPOS INMUNES
230109;ANTICUERPOS INMUNES
230110;INTIGLOBULINA HUMANA C/SU
230111;ANTITROMBINA TITULACION
230112;AUTOHEMOLISIS PRUEBA
230113;BENCE JONES PROTEINA
230114;BILIRRUBINEMIA TOTAL
230115;CELULAS FALCIFORMES O DRE
230116;CELULAS L E
230117;CELULAS L E  SANGRE
230118;COAGULACION Y SANGRIA TIE
230119;COAGULO RETRACCION
230120;COOMBS DIRECTA PRUEBA
230121;COOMBS INDIRECTA PRUEBA D
230122;COOMBS INDIRECTA PRUEBA C
230123;CRIOAGLUTININAS
230124;CRIOGLOBULINAS
230125;CROMATINA SEXUAL
230126;DACIE PRUEBA
230127;DAVIDSHON DIFERENCIADA PR
230128;DONATH-LANDSTEINNER CUANT
230129;ELECTROFORESIS S/PAPEL
230130;ELECTROFORESIS POLIACRILA
230131;ELECTROFORESIS POLIACRIL.
230132;EOSINOFOLIS RECUENTO
230133;ERITROSEDIMENTACION
230134;ESPECTROFOTOMETRIA D/LIQ.
230135;ESPLENOGRAMA
230136;ESTADO SECRETOR
230137;ETANOL PRUEBA D/GELIFICAC
230138;EXTON ROSSE PRUEBA DE
230139;FACTOR D/COAGULACION II
230140;FACTOR D/COAGULACION V
230141;FACTOR D/COAGULACION VII
230142;FACT.DE COAG.COMPLE.VII-X
230143;FACTOR DE COAGULAC.VIII
230144;FACTOR DE COAGULACION IX
230145;FACOTR DE COAGULACION X
230146;FACTOR DE COAGULACION XI
230147;FACTOR DE COAGULACION XII
230148;FACTOR DE COAGULACIO XIII
230149;FACTOR DE COAGULAC. XIII
230150;FERREMIA.SIDEREMIA
230151;FIBRONOGENO-SANGRE-
230152;FIBRONILISINA-LISIS DE EU
230153;FILOCO ACIDO-MICROBIOLOGI
230154;FORMULA LEUCOCITARIA
230155;FOSFATASA ALCALINA LEUCOC
230156;GLOBULINA GAMMA-SUERO-
230157;GLOBULINA GAMMA-LATEX-
230158;GLOBULOS BLANCOS,RECUENTO
230159;GLOBULOS ROJOS,RECUENTO
230160;GLUCOGENO -CITOQUIMICO-
230161;GLUCOGENO PREVIA DEIGESTI
230162;GOTYA GRUESA
230163;GRUPO SANGUINEO ABO
230164;HAM,PRUEBA DE
230165;HEINZ,CUERPOS DE
230166;HEMATIES,RESISTENCIA GLOB
230167;HEMATIES,TRIPSINACION DE
230168;HEMATOCRITO
230169;HEMOAGLUTINACION PASIVA,P
230170;HEMOAGLUTININAS-WTUGHAN-
230171;HEMOADLUTINOGENOS-SUBTIPO
230172;HEMOAGLUTINOGENOS DU
230173;HEMOGLOBULINA,DOSAJE
230174;HEMOGLOBULINA,ELECTROFORE
230175;HEMOGLOBINA EN PLASMA
230176;HEMOGLOBINA,SOLUDIBILIDAD
230177;HEMOGLOBINA ALCALIRRESIST
230178;HEMOGRAMA HEMATIES LEUCOC
230179;HEMOSILINAS EN CALIENTE T
230180;HEMOSIDERINA,INVESTIGACIO
230181;HEPARINA,RESISTENCIA IN V
230182;HEPARINA RESISTENCIA UN V
230183;HIPERHEPARINEMIA
230184;IBC-IRON BINDING CAPACITY
230185;IDENTIFICACION ANTICUERPO
230186;INDICE OPSONOCITOFACIGO
230187;INMUNOELECTROFORESIS
230188;LATEX GLOBULINA GAMMA
230189;LATEX L E.
230190;LAZO ,PRUEBA DEL
230191;LEUCINOAMINOPEPTIDASA TES
230192;LEUCOAGLUTINACION,INHIBIC
230193;LEUCOAGLUTININAS,METODO D
230194;LEUCOCITOS,RESISTENCIA DE
230195;LEUCOPRECIPITINAS
230196;MAGNESIO-SANGRE-
230197;MEDULOGRAMA. MIELOGRAMA
230198;MONONEUCLOSIS INFECCIOSA,
230199;PARASITOS HEMATICOS
230201;PAUL BUNELL,REACCION DE
230202;PEROXIDASAS
230203;PLAQUETAS,RECUENTO DE
230204;PLASMA RECALCIFICADO,TIEM
230205;PORFIRINAS -ORINA-
230206;PRODUCTO DE DEGRADACION F
230207;PROACTIVADOR PLASMIGENO
230208;PROTROMBINA-WARE,SEEGERS-
230209;PROTOMBINA CONSUMO
230210;PROTROMBINA TIEMPO DE QUI
230211;RECUENTO Y FORMULA
230212;REFFHUS CURVA DE
230213;RH
230214;RH FACTOR C MAYUSCULA
230215;RH FACTOR C MINUSCULA
230216;RH FACTOR D MAYUSCULA
230217;RH FACTOR E MAYUSCULA
230218;RH FACTOR E MINUSCULA
230219;RETICULOCITOS
230220;SIA TEST DE
230221;SICKLE CELLS INDUCCION QU
230222;SIDEROFILINA CAPACIDAD DE
230223;SULFATO DE PROTAMINA PRUE
230224;TROMBINA PRUEBA DE LA GEN
230225;TROMBINA TIEMPO DE
230226;TROMBOPLASTINA PRUEBA D/L
230227;TROMBOPLASTINA GENERAC BI
230228;TROMBOPLASTINA HICKS PITN
230229;TROMBOPLASTINA TIEMPO PAR
230230;TROMVO TEST DE OWEWN
230231;TROMBOELASTOGRAMA
230232;XENODIAGNOSTICO EST COMPL
240101;TRANSF.SANGRE TOTAL HASTA
240102;TRANSF.PLASMA HASTA 300CC
240103;TRANSF. DE HEMATIES SEDIM
240104;TRANSF GLOBULOS ROJOS LAV
240105;PLASMAFERESIS O ERITROFER
240106;TRANSF DE SANGRE S/LEUCOC
240107;TRANSF PLAQUETAS Y O LEUC
240108;EXANGUINEO TRANF HASTA 50
240109;EXAGUINEO TRANSF HASTA 50
240110;TRANSF FETAL INTRA UTERO
240111;SANGRIA POR RECOLECCION C
240112;TRANSF INTRAAMNIOTICA
240113;TRANSF CRIOPRECIP.G A H P
240114;V.D.R.L. EN DADOR
240115;HUDDLESSON DE DADOR
240116;CHAGAS LATEX EN DADOR
240117;CHAGAS FIJACION COMPLET.D
240118;CHAGAS HEMOAGLUTINACION D
240119;ANTIGENO HEPAT B EN DADOR
240120;ANTICUERPOS ANTI VIH(ELIS
240121;ANTI ANTI VIH(AGL.PART.GE
250101;AGENTES FISICOS FISIOT.HO
250102;TERAP.FISICA O KINESITERA
250103;TERAPIA OCUPACIONAL
250104;REHABILITAC.LENGUAJE
250105;PILONES PARA AMPUTADOS
250106;KINESITERAPIA O FISIATRIA
260101;CURVA DE CAPTAC.TIROIDEA
260102;EST.COMPLETO DE LA FUNC.T
260103;EXCRESION URINARIA DE I13
260104;PRUEBA DE INHIBICION
260105;PRUEBAS DE ESTIMULACION
260106;VIDA MEDICA EFECTIVA
260107;DOSIS TERAPEUTICA EN TIRO
260108;TRAT.DE CARCINOMA DE TIRO
260109;DETTECCION DE TROMBOSIS C
260110;DETECCON DE SUPURAC.ABDOM
260111;RADIORRENOGRAMA ISOTOPICO
260112;RADIORRENOGRAMA C CLEAREN
260113;FILTRADO GLOMERULAR
260114;FLUJO PLASMATICO RENAL EF
260115;FLUJO SANGUINEO TOTAL REN
260116;VOLUMEN MINUTO CARDIACO
260117;CLEARENCE TISULAR Y O MUS
260118;FLUJO CEREBRAL
260119;DETERM. DE AGUA CORPORAL
260120;DETERM. DE AGUA EXTRACELU
260121;DETER.DE SODIO TOTAL INTE
260122;DETER.DE POTASIO TOTAL IN
260123;DETER.VOLUMEN SANG.TOTAL
260124;VIDA MEDIA HEMATIES
260125;VIDA MEDIA HEMATIES
260126;VIDA MEDIA LEUCOCITOS
260127;TIEMPO MEDIO PLASMATICO D
260128;CURVA DE UTILIZACION D F
260129;TIEMPO MEDIO PLASM.Y CURV
260130;DIAG.DE ANEMIA PERNICIOSA
260131;DOS.TERAP.P/TRAT.D/POLICI
260132;ABSORC.C/GRASAS MARCADAS
260133;EST.ABSORCION Y EXCRESION
260134;RELACION PERF.VENTILAC.C/
260135;TRAT.INTRAARTIC.C/ P32 AU
260136;TRAT.PALIAT. C/P32 METAST
260137;TRAT.C/P32 AU198 P/DISEMI
260201;CENTELLOGRAMA DE CEREBRO
260202;POR C/ POSICION SIGUIENTE
260203;CENTOLLAGRAFIA DE MEDULA
260204;MIELOGRAFIA ISOTOPICA
260205;CISTERNOGRAFIA ISOTOPICA
260206;FISTULOGRAFIA ISOTOPICA D
260207;VENTRICULOGRAFIA ISOTOPIC
260208;CENTOLLOGRAMA OSEO
260209;AREAS SUBSIGUIENTES
260210;CENTOLLOGRAFIA DE ARTICUL
260211;CENTELLOGRAMA E TIROIDES
260212;CENTELLOG.DE TIROIDES Y M
260213;BARRIDO TOTAL
260214;CENTELLOGRAMA DE PARATIRO
260215;CENTOLLOG.DE GLANDULAS SA
260216;CENTOLLOG.DE PULMON
260217;CENTOLLOGRAMA HEPATICO
260218;CENTOLLOG. DE POOL VASCUL
260219;CENTELLOGRAMEA DE PANCREA
260220;CENTELLOGRAMA DE BAZO
260221;CENTELLOGRAMA RENAL
260222;CENTELLOGRAFIA DEL POOL V
260223;CENTELLOG. DE PLACENTAS
260224;CENTOLLOG. DE VIAS LINFAT
260225;POR POSICIONES ADICIONALE
260301;A C T H.
260302;ALDOSTERONA
260303;ALFAFETOPROTEINAS
260304;ANTICUERPOS ANTINUCLEARES
260305;ANGIOTENSINA I O II
260306;ANTIGENO DE LA HEPATITIS
260307;AMP-CICLICO
260308;CALCITONINA
260309;CEA CARCINOMA EMBRIOGENIC
260310;CORTISOL
260311;DIGITOXINA
260312;DIGOXINA
260313;ESTRADIOL
260314;ESTROGENOS TOTALES
260315;ESTRIOL PLASMATICO
260316;ESTRONA
260317;FERRITINA PLASMATICA
260318;F S H
260319;CLUCAGON PLASMATICO
260320;LACTOGENO PLACENTARIO
260321;L H
260322;INMUNOGLOBULINA
260323;INSULINA
260324;PARATHORMONA
260325;POLIPEPTIDO INHIBIDOR GAS
260326;POLIPEPTIDO INTESTINAL VA
260327;POLIPEPTIDO PANCREATICO
260328;PROINSULINA
260329;PROGESTERONA
260330;PROLACTINA
260331;PROSTAGLANDINA E O F O PG
260332;RENINA
260333;SOMATOTROFINA STH
260334;TESTOSTERONA
260335;TIROXINA PLASMATICA TOTAL
260336;TIROXINA EFECTIVA ERT
260337;TRI IODOTIRONINA T3
260338;TIROTROFINA TSH
260401;ESTIMULO SECREC.DE SOMATO
260402;FRENO DE LA SECREC. DE SO
260403;ESTIMULO HIPOTALANO FSH
260404;ESTIMULO HIPOTALANO LH
260405;PRUEBA ESTIMULO GONADAL C
260406;PRUEBA DE ESTIMULO GONADA
260407;PRUEBA DE ESTIMULO TRH
260408;PRUEBA DE ESTIMULO CON TR
260409;ESTIMULO HIPOTALAMICO HIP
260410;INHIBICION HIPOTALAMICA H
260411;INHIBICION DE MUQUET O SI
260412;RITMO CIRCADIANO DE CORTI
260413;ESTIMULO HIPOTALAMICA HIP
260414;INHIBICION HIPOTALAMICA H
260501;CENTELLOGRAMA DE CEREBRO
260502;POSICION SUBSIGUIENTE}
260503;CENTELLOGRAFIA DE MEDULA
260504;MIELOGRAFIA ISOTOPICA
260505;CISTERNOGRAFIA ISOTOPICA
260506;FISTULOGRAFIA ISOTOPICA D
260507;VENTRICULOGRAFIA ISOTOPIC
260508;CENTELLOGRAMA OSEO
260509;AREAS SUBSIGUIENTES
260510;CENTELLOGRAFIA DE ARTICUL
260511;CENTELLOGRAMA DE TIROIDES
260512;CENTELLOG.D/TIROIDES Y ME
260513;BARRIDO TOTAL
260514;CENTELLOGRAMA DE PARATIRO
260515;CENTELLOGRAMA DE GLANDULA
260516;CENTELLOG. DE PULMON
260517;CENTELLOG.HEPATICO
260518;CENTELLOGRAMA DEL POOL VA
260519;CENTELLOG. DE PANCREAS
260520;CENTELLOGRAMA DE BAZO.
260521;CENTELLOGRAMA RENAL
260522;CENTELLOGRAMA DE POOL VAS
260523;CENTELLOGRAMA DE PLACENTA
260524;CENTELLOGRAMA DE VIAS LIN
260525;ANGIOGRAFIA RADIOSOTOPICA
260526;ESTUDIO DINAMICO RENAL
260527;RADIOCARDIOGRAMA
260528;PERF SANG MIOC.REPOSO P/E
260529;FLEBOGRAFIA RADIOISOTOPIC
260530;POR AREA ADICIONAL
260531;DINAMICA DEL TRANSITO ESO
260532;DINAMICA TRANSITO INTESTI
270101;HEMODIALISIS CON RI#ON AR
270102;HEMODIALISIS CON RI#ON AR
270103;DIALISIS PERITONEAL
280101;ESPIROMETRIA COMPRENDE CA
280102;ESPIROMETRIA ANTES Y DESP
280103;BRONCOESPIROMETRIA
280104;TRAQUEOSCOPIA
280105;BRONCOSCOPIA CON INSTRUME
280106;BRONCOFRIBROSCOPIA
280107;CURVA DE FLUJO VOLUMEN
280108;DETERM.DE VOLUMENES PULMO
280109;MECANICA PULMONAR
280110;ANALISIS DE GASES EN AIRE ESPIRADO
290101;ELECTROENCEFALOGRAFIA ACT
290102;ELECTROENCEFALOGRAFIA ACT
290103;NISTAGMOGRAFIA ELECTRORRE
290104;ELECTROMIGRAFIA MIEMBROS
290105;ELECTROMIOGRAFIA CUATRO M
290106;ELECTROMIOGRAFIA DE VELOC
290107;REFLEXOGRAMA PATELAR Y O
290108;CRONAXIMETRIA
290109;ELECTRODIAGNOSTICO
290110;REOGRAFIA CEREBRAL CAR/CE
300101;OFTALMODINAMOMETRIA
300102;CAMPO VISUAL
300104;FONDO DE OJO Y O ESQUIASC
300105;TONOMETRIA
300106;TONOMETRIA DE NI#OS ANEST
300107;EJERCICIOS ORTOPTICOS
300108;GONIOSCOPIA
300109;CURVA TENSIONAL
300110;TONOGRAFIA!
300111;RETINOGRAFIA CON TRES PLA
300112;RETINOGRAFIA CON TRE PLAC
300113;RETINOFLUORESCEINOGRAFIA
300114;EXOFTALMOMETRIA
300115;EXTRACCION DE CUERPOS EXT
300116;EXTRAC.DE CUERPO EXTRA#O
300117;DEPILAC ELECTRICA DEL PAR
300118;DILATACION DEL CONDUCTO L
300119;OFTALMOSCOPIA INDIRECTA B
300120;FIJACION EN EL ESTRABISMO
300121;CATERIZACION DE CONDUCTO
300122;EXOFTALMOLOGIA
310101;EXAMEN FUNCIONAL LABERINT
310102;AUDIOMETRIA
310103;LAGOAUDIOMETRIA
310104;SUPRALIMINARES CADA UNA
310105;SELECION DE OTOAMPLIFONOS
310107;TECNICA DE PROESTZ 10 SEC
310108;INSUFLACION DE LAS TROMPA
310109;IMPEDANCIOM O TIMPANOMET
310110;EXAMEN FUNCIONAL DE NARIZ
310111;EXTRAC.DE CUERPO EXTRA#O
310112;TAPONAMIENTO NASAL ANTERI
310113;TAPONAMIENTO NASAL ANTERO
310114;EXTRAC DE CUERPO EXTRA#O
310115;CAUTERIZACION DE NARIZ
310116;LAVAJE DE SENO PARANASAL
310117;LARINGOSCOPIA INDIRECTA D
310118;LARINGOSCOPIA DIRECTA
310119;EXPRESION DE ADENOIDES LA
310120;EXTRAC VCALCULO SALIVAL
310121;INY.SUST.RADIOPACA P/BRON
310122;OTOMICROSCOPIA
310202;AUDIOM TONAL X JUEGO
310220;PRUEBA FUNCIONAL TUBARICA
320104;AT.RECIEN NACIDO SALA D/P
330101;PSICOTERAPIAS INDIVIDUAL
330102;PSICOTERAPIAS GRUPALES
330103;PSICOTERAPIAS DE PAREJA
330104;SESION FAMILIAR
330107;GOTEO C/PSICOFARMACOS
330109;SUE#O PROLONGADO POR DIA
330110;REFLEJOS CONDICIONADOS
330111;PRUEBAS PSICOSOMETRICAS
330112;PRUEBAS PROYECTIVAS
340101;RADIOSCOPIA SIMPLE
340102;RADIOSCOPIA C/INTENSIFICA
340103;RADIOSCOPIA C/CIRCUITO CE
340201;RADIOGRAFIA DEL CRANEO CA
340202;POR EXPOSICION SUBSIGUIEN
340203;HUESOS TEMPOR.O AGUJ. OPT
340204;ARTICULACION TEMPOROMANDI
340205;ORTOPANTOMOGRAFIA
340206;POR EXPOSICION SUBSIGUIEN
340207;TELERRADIOGRAFIA DE CRANE
340208;POR EXPOSICION SUBSIGUIEN
340209;RADIOGRAFIA DE RAQUIS
340210;POR EXPOSICION SUBSIGUIEN
340211;RADIOGRAFIA DE HOMBRO HUM
340212;POR EXPOSICION SUBSIGUIEN
340213;RAD.CODO ANTEB.MU#.MANO D
340214;MED.COMP. MIEMBROS INFERI
340215;RADIOGRAFIA AMPLIADA O MA
340216;ARTROGRAFIA
340217;POR EXPOSICION SUBSIGUIEN
340218;UNA PLACA A
340219;UNA PLACA OCLUSAL A
340220;SEMISEREADA HASTA 7 PLACA
340221;SERIADA DE 7 A 14 PLACAS
340301;RADIOGRAF.O TELERRADIOGRA
340302;POR EXPOSICION SUBSIG A
340303;BRONCOGRAFIA
340304;NEUMOMEDIASTINO FRENTE Y
340401;SIALOGRAFIA POR GLANDULA
340402;ESOFAGO ESTUDIO RADIOL SE
340403;ESTOMAGO Y DUODENO
340404;ESTOMAGO Y DUODENO C/TEC
340405;ESTUDIO SERIADO ESOFAGOGA
340406;DUODENOGRAFIA HIPOTONICA
340407;TRANSITO DE INTESTINO DEL
340408;ESTUDIO RADIOLOGICO SERIA
340409;COLON POR ENEMA Y EVACUAD
340410;COLON POR ENEMA Y EVACUAD
340411;COLON POR ENEMA EVACUADO
340412;COLON POR ENEMA EVACUADO
340413;COLECISTOGRAFIA ORAL
340414;COLECISTOGRAFIA ENDOVENOS
340415;COLANGIOG.ENDOVENOSA 5 PL
340416;COLANG. OPERATORIA 1 PLAC
340417;COLAG. OPERATORIA X C/PLA
340418;FISTULOCOLANGIOGRAFIA
340419;COLANGIOGRAFIA RETROGADA
340420;NEUMOPERITONEOGRAFIA
340421;RADIOGRAFIA SIMPLE DE ABD
340422;POR EXPOSICION SUBSIGUIEN
340501;RADIOGRAFIA SIMPLE DE ARB
340502;UROGRAMA EXCRETOR PIELOGR
340503;UROGRAMA EXCRETOR C/ESTUD
340504;UROGRAMA MINUTADO POR GOT
340505;PIELOGRAFIA ASCENDENTE
340506;POR EXPOSIC. SUBSIG. B
340507;CISTOURETROGRAFIA MICCION
340508;CISTOURETROGRAFIA POR EST
340601;MAMOGRAFIA
340602;MAMOGRAFIA PROYECCION AUX
