Código Nomenclador;Descripción;Q GAL;Q GAL AY;ANEST;Gto;Q Ay;Norma;Unidad Arancelaria;Forma de Facturación
50413;TORACOVIDEOSCOPIA TERAPEUTICA. PARA RESECCIONES;;;;;;;;
50501;COLOCACION DE STENT ENDOBRONQUIAL;;;;;;;;
60101;Mastectomía radial (resección del pectoral mayor, pectoral menor y vaciamiento axilar). Incluye la eventual toma biopsia para congelación. (X);372,75;74,25;132,75;323;1;;A;
60102;Mastectomía subradical (con conservación del pectoral mayor y vaciamiento axilar ). Incluye la eventual toma biopsia para congelación. (X);303;61,5;127,5;271;2;;A;
60103;Mastectomía simple.;104,25;30;80,25;217;1;;A;
60104;Masectomía subcutánea (adenomastectomía).;178,5;34,5;87;279;1;;A;
60105;Mastoplastia unilateral(con autorización previa);178,5;34,5;87;220;1;;A;
60106;Mastoplastia bilateral(con autorización previa).;228;45;104,25;313;1;;A;
60107;Mamiloplastia en uno o dos tiempos.;80,25;30;80,25;217;1;;A;
60108;Escisión local de lesión de mama (quiste, fibroadenoma o tejido mamario aberrante) de lesión de conducto de pezón. Escisión de lesión de mama o pezón para biopsia. (X);61,5;30;80,25;122;1;;A;
60109;Escisión de cuadrante mamario (biopsia sectorial o cuadrantectomía). (X);80,25;30;80,25;122;1;;A;
60110;Drenaje de absceso mamario. (X);21,75;0;0;45;0;;A;
60111;Punción quiste mamario. Punción biopsia de mama. (X);9;0;0;26;0;;A;
60112;CUADRANTECTOMIA CON VACIAMIENTO AXILAR;;;;;;;;
70101;Septostomía interauricular (Blalock Halon) Cardiotomía (con exploración , con extracción de cuerpo extra?o.) Valvulotomía cardiaca, pulmonar, mitral, aórtica, comisurotomía. Pericardiectomía.;637,5;127,5;239,25;366;2;;A;
70102;Septosotomía con balón de Rashbind. (terapéutica) Incluye el cateterismo cardíaco.;252,75;51;104,25;270;1;;A;
70103;Colocación de marcapaso definitivo con electrodo endocavitario. (X);201,75;39,75;104,25;270;1;;A;
70104;Colocación de marcapaso definitivo con electrodo epicárdico.;372,75;74,25;159,75;351;2;;A;
70105;Cambio de generador de marcapaso definitivo. Recolocación de marcapaso. Plástica de bolsillo de marcapaso.;119,25;30;80,25;270;1;;A;
70106;Implantación de circulación asistida externa prolongada por contrapulsación hasta cinco días.;252,75;51;104,25;550;1;;A;
70107;Mantenimiento de circulación asistida externa por contrapulsación por días subsiguientes.;39,75;0;0;0;0;;A;
70108;Cardiorrafia: Sutura de corazón (herida,traumatismo).;303;61,5;153,75;273;2;;A;
70109;Pericadiotomía con exploración, con drenaje con extracción de cuerpo extra?o, con descompresión, para evacuación de hematoma.;303;61,5;127,5;267;2;;A;
70110;Biopsia de pericardio.;228;45;104,25;222;2;;A;
70111;Pericardiocentesis (diagnóstica o terapéutica).;39,75;0;0;7;0;;A;
70112;Cateterismo de corazón para colocación de marcapaso transitorio (incluído cirujano y cardiólogo, excluído el radiólogo).;119,25;30;0;220;1;;A;
70113;BIOPSIA DE ENDOCARDIO POR CATETERISMO CARDIACO;;;;;;;;
70114;BIOPSIA DE MIOCARDIO POR CATETERISMO CARDIACO;;;;;;;;
70115;COLOCACION DE DESFIBRILADOR IMPLANTABLE;;;;;;;;
70201;Tratamiento quirúrgico de las cardiopatías congénitas complejas - Tetralogía de Fallot, transposición de los grandes vasos arterioventriculares comunes, ventrículo único, atresia tricuspídea, enfermedad de Ebstein, etc.;1806,75;361,5;399;1273;3;;A;
70202;Tratamiento quirúrgico de las cardiopatías congenitas complejas con hipotermia profunda. Operación de Rastelli.;1913,25;382,5;558;1642;3;;A;
70203;Reemplazo de válvula cardíaca por prótesis o injerto.;1594,5;318,75;451,5;1273;3;;A;
70204;Doble reemplazo valvular cardíaco.;1913,25;382,5;558;1273;3;;A;
70205;Reemplazo de una válvula cardíaca y plástica de la otra.;1860;372,75;451,5;1273;3;;A;
70206;Cierre defectos septales (auriculares y/o ventriculares). Plásticas valvulares únicas o múltiples. Anomalías parciales del retorno venoso pulmonar. Estenosis no valvulares de la vía de salida de los ventrículos derecho e izquierdo, ventana aorto pulmonar;1381,5;276;399;1233;3;;A;
70207;Tratamiento quirúrgico de los aneurismas del cayado aórtico. Aneurisma disecante de aorta.;1913,25;382,5;558;1273;3;;A;
70208;Tratamiento quirúrgico de los aneurismas de la aorta ascendente o descendente.;1594,5;318,75;451,5;1273;3;;A;
70209;Derivación (By-Pass) aorto coronaria única, doble o triple. (Incluye toma del injerto venoso).;1594,5;318,75;451,5;1273;3;El presente código dev;A;
70210;Derivación (By-Pass) mamario coronaria.;1860;372,75;451,5;1273;3;Dictámenes del I.N.O.S.;A;
70211;Resección de aneurisma ventricular como única intervención.;1329;266,25;399;1142;3;;A;
70212;Resección de aneurisma ventricular como complemento de la cirugía de revascularización miocárdica. Se adicionará.;531,75;106,5;186;422;3;;A;
70301;Cirugía de los grandes troncos arteriovenosos de la cavidad torácica anastomosis, injertos, embolectomías, cerclajes, suturas (estenosis, coartación, ductus, embolias, heridas).;797,25;159,75;266,25;323;3;;A;
70302;Tratamiento quirúrgico del aneurisma de aorta tóraco abdominal.;797,25;159,75;266,25;350;3;;A;
70401;Tratamiento quirúrgico del aneurisma de la aorta abdominal.;637,5;127,5;239,25;366;2;;A;
70402;"Cirugía de las ramas viscerales de la aorta abdominal y troncos iliacos: Anastomosis directas; injertos; tromboendarterectomía; embolectomía; arteriorrafia (aneurismas, fístulas arteriovenoca, estenosis, anomalías, trombosis, embolias, heridas).";531,75;106,5;186;318;2;;A;
70403;Derivación aorto o ilíaco-femoral unilateral (con o sin simpatectomía).;425,25;84,75;159,75;323;2;;A;
70404;Derivación aorto bifemoral (con o sin simpatectomía).;637,5;127,5;239,25;323;2;;A;
70405;Derivación aorto ilíaco, uni o bilateral (con o sin simpatectomía).;531,75;106,5;186;366;2;;A;
70406;Otras derivaciones arteriales en cavidad abdominal.;425,25;84,75;159,75;323;2;;A;
70407;Anastomosis porto-cava o espleno-renal o mesentérica cava.;531,75;106,5;186;323;2;;A;
70408;"Cirugía de la vena cava: Ligadura, cerclaje; clips sutura; trombectomía.";252,75;51;104,25;267;2;;A;
70409;Colocación de filtro (Mobin-Uddin o similar) en vena cava por vía endovenosa.;119,25;0;0;142;0;;A;
70501;"Cirugía de la arteria carótida o de la vertebral: Tromboendarterectomía; embolectomía; anastomosis; injertos (trombosis, embolias, aneurismas, fístula arteriovenosa) incluye eventual toma de vena para plástica o injerto.";425,25;84,75;159,75;361;2;Este código se rrefiere;A;
70502;Sutura o ligadura de los vasos profundos del cuello (carótidas, vertebral, yugular interna).;119,25;30;80,25;267;1;;A;
70503;Glomectomía-tumor de glomus carotídeo.;303;61,5;127,5;225;1;;A;
70601;Embolectomía en arterias periféricas.;119,25;30;80,25;223;1;;A;
70602;Tromboendarterectomía de vasos periféricos con o sin arterioplastia (incluye eventual toma de parche venoso).;252,75;51;104,25;220;2;;A;
70603;Derivación (By-Pass) de vasos periféricos con injerto venoso (incluye toma del injerto).;425,25;84,75;159,75;268;2;Cuando se realiza una;A;
70604;Derivación (By-Pass) de vasos periféricos con injerto sintético.;372,75;74,25;159,75;271;2;Cuando se realiza una;A;
70605;Tratamiento del aneurisma o de las fístulas arterio-venosas.;303;61,5;127,5;223;2;;A;
70606;Anastomosis arterial. Arteriorrafía.;178,5;34,5;87;179;1;;A;
70607;Shunt o fístula arteriovenosa periférica para hemodiálisis. (X);178,5;34,5;87;120;1;;A;
70608;Disección de arterias para perfusión regional. Exploración quirúrgica de arteria periférica.;39,75;30;80,25;73;1;;A;
70609;Punción arterial para inyección medicamentosa.;9;0;0;7;0;;A;
70610;Ligadura unilateral de troncos venosos profundos (como único tratamiento).;61,5;30;80,25;120;1;;A;
70611;Trombectomía venosa profunda.;119,25;30;80,25;223;1;;A;
70612;Safenectomía interna y/o externa de miembro inferior con ligadura y/o resecciones escalonadas, unilateral.;101,25;30;80,25;120;1;;A;
70613;Safenectomía interna y/o externa de miembro inferior con ligaduras y/o resecciones escalonadas, bilateral.;228;45;104,25;225;1;;A;
70614;Operación de Linton, Gockett o similares (ligaduras subaponeuroticas de las comunicantes con el sistema venoso profudo de la pierna).;119,25;30;80,25;179;1;;A;
70615;Flebotomía con colocación de catéter. Disección de venas para perfusión (canalización venosa con catéter). (X);12,75;0;0;26;0;;A;
70616;Flebectomía segmentaria por várises residuales.;39,75;30;80,25;120;1;;A;
70701;Cateterismo de corazón para diagnóstico (comprende toma de presiones y obtención de muestra de sangre para oximetría incluye monitoreo cardíaco). Y código 34.08.03;106,5;30;0;220;1;Cuando se realiza el ca;A;
70702;Cardiografía-Angiocardiografía (incluye cateterismo de corazón toma de presiones, y obtención de sangre para oximetría. Incluye monitoreo cardíaco). (X);212,25;42,75;0;284;1;Esta prestación está incluída en la del código 07.07.03.;A;NO FACTURABLE CON OTROS CODIGOS
70703;Coronariografía selectiva de coronaria izquierda y/o derecha incluye cateterismo cardíaco, toma de presiones, obtención de muestra de sangre para oximetría y ventriculograma, incluye monitoreo cardíaco.? (X);212,25;42,75;0;300;1;Incluye cardiografía (Código 07.07.02).;A;NO FACTURABLE CON OTROS CODIGOS
70704;Aortografía por punción lumbar. Y código 34.08.08 y .09;54;0;0;26;0;;A;
70705;Aortografía por cateterismo femoral. Y código 34.08.08 y .09;66;30;0;45;1;;A;
70706;Aortografía abdominal y estudio selectivo de las arterias del cayado aórtico y del cuello, por cateterismo. Y código 34.08.08 y .09;93,75;30;0;220;1;;A;
70707;Aortografía torácica y/o estudio selectivo de las arterias del cayado aórtico y del cuello, por cateterismo. Y código 34.08.11;106,5;30;0;220;1;;A;
70708;Aortografía abdominal y estudio selectivo de tronco celíaco, mesentérica superior e inferior, renales y/o sus ramas, por cateterismo humeral o femoral (tiempo arterial, parenquimatoso y venoso). (X);106,5;30;0;220;1;;A;
70709;Cavografía abdominal y/o torácica y/o selectiva de sus afluentes (incluye toma de muestras sanguíneas para determinaciones cateterismo). Y código 34.08.14 y .15;106,5;30;0;89;1;;A;
70710;Acigografía por punción transósea.;26,25;0;0;89;0;;A;
70711;Flebografía del seno petroso (bilateral).;132,75;30;0;89;1;;A;
70712;Arteriografía selectiva de arterias intercostales y lumbares bilateral. Y código 34.08.10;132,75;30;80,25;122;1;;A;
70713;Flebografía suprarenal bilateral con extracción de muestras para dosaje hormonal. Y código 34.08.18 y .19;132,75;30;0;89;1;;A;
70714;Arteriografía periférica por punción. (X);39,75;0;0;7;0;;A;
70715;Embolización selectiva terapéutica y/o inyección de drogas, a continuación de arterio o flebografías, agregar.;26,25;0;0;45;0;;A;
70716;Flebografía de miembros inferior o superior. Y código 34.08.12 y .13;39,75;0;0;26;0;;A;
70717;FLEBOTOMIA TRANSCUTANEA Y COLOCACION DE CATETER DOBLE LUMEN COMO ACCESO VASCULAR PARA DIALISIS;;;;;;;;
70718;FLEBOTOMIA CON COLOCACION DE CATETER IMPLANTABLE CON RESERVORIO;;;;;;;;
70801;ANGIOPLASTIA TRASLUMINAL CORONARIA CON O SIN COLOCACION DE STENT;;;;;;;;
70802;ANGIOPLASTIA CORONARIA CON COLOCACION LA UTILIZACION DE STENTS LIBERADORES DE FARMACOS (RAPAMICINA PACLITAXEL);;;;;;;;
70803;ANGIOPLASTIA TRASLUMINAL CORONARIA CON ROTABLATOR/SIMPSON;;;;;;;;
70804;TRATAMIENTO DESEMBOLIZANTE CON QUINASAS;;;;;;;;
70805;ANGIOPLASTIA PERIFERICA;;;;;;;;
70806;ANGIOPLASTIA PERIFERICA CON COLOCACION DE STENT;;;;;;;;
70901;TRASPLANTE CARDIACO;;;;;;;;
70902;TRASPLANTE CARDIOPULMONAR;;;;;;;;
71001;VALVULOPLASTIA MITRAL;;;;;;;;
71002;VALVULOPLASTIA PULMONAR;;;;;;;;
71003;MATERIALES DESCARTABLES PARA REALIZAR CIRUGIA CARDIOVASCULAR CON BOMBA DE CIRCULACION EXTRACORPOREA;;;;;;;;
80101;Esofaguectomía total y reconstrucción en un tiempo.;797,25;159,75;239,25;375;2;;A;
80102;Esofaguectomía segmentaria y reconstrucción en un tiempo (esofagogastrostomía, esofagoduodenostomía, etc.).;637,5;127,5;212,25;361;2;;A;
80103;"Esofaguectomía total (como único tratamiento o primer tiempo; incluye las ostomías).";303;61,5;204;318;2;;A;
80104;Reemplazo de esófago.;531,75;106,5;186;361;2;;A;
80105;Esofagogastoplastia (esofagocardioplastia - esofagoplastia - Heller ).;372,75;74,25;132,75;366;2;;A;
80106;Operaciones derivativas paliativas (esofagogastro o esófago yeyuno anastomosis sin reesección esofágica).;372,75;74,25;132,75;366;2;;A;
80107;Tratamiento de la atresia esofágica, con o sin fístula en un tiempo.;797,25;159,75;217,5;366;2;;A;
80108;Esofagotomía exploradora por vía torácica o abdominal (con extracción de cuerpo extra?o, etc.). Esofagorrafia por herida, ruptura, etc.;372,75;74,25;132,75;221;2;;A;
80109;Escisión de divertículo esofágico intratorácico.;372,75;74,25;132,75;268;2;;A;
80110;Esofagotomía o esofagorrafía de esófago cervical (exploradora extracción de cuerpo extra?o, herida, ruptura).;252,75;51;104,25;220;2;;A;
80111;Escisión de divertículo de esófago cervical.;252,75;51;104,25;225;2;;A;
80112;Intubación de esófago (por gastrotomía) (Op. de Go?i Moreno).;201,75;39,75;87;221;1;;A;
80113;Colocación de tubo de Soutard.;101,25;30;80,25;78;1;;A;
80201;Dermolipectomía abdominal con o sin reconstrucción del ombligo, con o sin Hernioplastía umbilical (con autorización previa de la obra social).;252,75;51;104,25;228;2;;A;
80202;Hernioplastia diafragmática o isquirrectal.;252,75;51;104,25;270;2;;A;
80203;Hernioplastia inguinal, crural, epigástrica, umbilical, obturatriz, etc.;191,25;36,75;80,25;220;1;;A;
80204;Tratamiento quirúrgico del onfalocele.;252,75;51;104,25;220;1;;A;
80205;Hernioplastia bilateral.;201,75;39,75;87;228;1;;A;
80206;"Eventración; hernia recidivada.";228;45;87;225;1;Corresponde la aplicaió;A;
80207;Cierre de pared abdominal por evisceración. (X);119,25;30;80,25;124;1;Dictámenes del I.N.O.S.;A;
80208;Laparatomía exploradora-evacuadora-extracción cuerpo extracción con o sin toma de biopsia. (X);119,25;30;80,25;218;1;;A;
80209;Enterolisis (debridamiento intestinal) como única operación. (X);201,75;39,75;87;218;1;;A;UNICO CODIGO
80210;Laparascopía con luz fría (incluye biopsia). (X);66;0;0;100;0;;A;
80211;Laparascopía convencional (incluye biopsias dirigidas).;39,75;0;0;45;0;;A;
80212;Peritoneocentesis evacuadora, diagnóstica o para neumoperitoneo retroneumoperitoneo (por sesión). (X);0;0;0;7;0;;A;INCLUIDO EN CONSULTA
80213;Escisión de tumor retroperitoneal (excluídos de ri?on y suprarrenal).;252,75;61,5;127,5;266;2;;A;
80214;Drenaje de absceso subfrénico (como única operación).;201,75;39,75;87;223;2;;A;
80216;HERNIOPLASTIA DIAFRAGMATICA CON FUNDOPLICATURA VIDEOLAPAROSCOPICA;;;;;;;;
80217;VIDEOLAPAROSCOPIA CON BIOPSIA O DIAGNOSTICA;;;;;;;;
80301;Gastrectomía total.;531,75;106,5;186;361;2;;A;
80302;Gastrectomía subtotal o regastrectomía (con o sin vagotomía). (X);303;61,5;104,25;271;2;;A;
80303;Gastrotomía (exploración-extracción de cuerpo extra?o). Escisión local de úlcera o tumor benigno de estómago.;201,75;39,75;87;220;1;;A;
80304;Gastrostomía (como única operación).;178,5;34,5;80,25;220;1;;A;
80305;Gastrorrafía (úlcera gástrica perforada, herida, traumatismo).;201,75;39,75;87;223;1;;A;
80306;Gastroduodenostomía-gastroyeyunostomía (como única operación).;252,75;51;104,25;223;2;;A;
80307;Vagotomía con píloroplastia o con gastroenteroanastomosis.;252,75;51;127,5;271;2;;A;
80308;Piloromiotomía-píloroplastia.;228;45;104,25;223;2;;A;
80309;Cierre o eliminación de gastroenteroanastomosis.;252,75;51;104,25;271;2;;A;
80310;Cierre de fístula gastrocólica o gastroyeyunocólica.;425,25;84,75;159,75;276;2;;A;
80311;Cierre de gastrostomía u otra fístula externa de estómago.;228;45;104,25;223;2;;A;
80401;Enterectomía de yeyuno o ileon. (X);228;45;104,25;268;2;;A;
80402;Escisión divertículo de Meckel.;178,5;34,5;87;223;1;;A;
80403;Enterostomía. Esterostomía temporaria o definitiva. Enterorrafía.? Cierre de enterostomias. Cierre de fístulas enterocutáneas. Devolvulación y desinvaginación intestinal (como únicas operaciones). (X);228;45;104,25;223;2;;A;
80404;Derivaciones intestinales internas como única operación (entero entéricas en general, yeyuno ileal, íleo-transversa, íleo rectal, etc.).;252,75;51;104,25;223;2;;A;
80405;Operación plástica en ileostomía (como única operación).;61,5;30;80,25;125;1;;A;UNICO CODIGO
80406;Plicatura de intestino delgado (Operación de Noble, Operación de Child).;252,75;51;104,25;263;2;;A;
80407;GASTROSTOMIA POR FIBROSCOPIA;;;;;;;;
80408;VAGOTOMIA CON O SIN PILOROPLASTIA POR VIDEOSCOPIA;;;;;;;;
80409;CIRUGIA GASTRICA DE PROCESOS BENIGNOS POR VIDEOSCOPIA;;;;;;;;
80410;CIRUGIA GASTRICA DE PROCESOS MALIGNOS POR VIDEOSCOPIA;;;;;;;;
80501;Colectomía total (sin recto) con restitución del tránsito en un tiempo.;531,75;106,5;186;361;2;;A;
80502;Colectomía total (sin recto) con ileostomía temporaria o definitiva.;425,25;84,75;159,75;361;2;;A;
80503;Hemicolectomía (derecha o izquierda). (X);372,75;74,25;132,75;233;2;;A;
80504;Colectomía segmentaria (resección segmentaria de colon, colectomía transversa - operación de Hartman). (X);252,75;51;104,25;225;2;;A;
80505;Resección anterior (Operación de Dixon o de Maunsen).;303;61,5;127,5;266;2;;A;
80506;Operaciones radicales para el megacolon (sigmoideorectal) - tipo Duhamenl o Swenson o similares. Vía abdóminoperineal,efectuada por dos equipos quirúrgicos.;531,75;106,5;186;372;2;;A;
80507;Operaciones radicales para el megacolon (sigmoideorectal) tipo Duhamenl o Swenson o similares.;345;69;0;0;2;;A;
80508;Colon protectomía total (incluye iteostomía).;797,25;159,75;239,25;266;2;;A;
80509;Protosigmoidectomía abdóminoperineal (Operación de Miles).;637,5;127,5;207,75;372;2;;A;
80510;Proctosigmoidectomía abdóminoperineal efectuada por dos equipos quirúrgicos.;372,75;74,25;0;0;1;;A;
80511;Protectomía.;252,75;51;104,25;268;1;;A;
80512;Protectomía con prostatectomía o colpectomía.;303;61,5;127,5;318;2;;A;
80513;Rectotomía, sigmoidotomía (por vía abdominal) con o sin colonoscopía.;201,75;39,75;87;225;1;;A;
80514;Proctotomía con descompresión (ano imperforado).;101,25;30;80,25;179;1;;A;
80515;Descenso transanal (atresia ano rectal) por vía perineal.;252,75;51;127,5;266;1;;A;
80516;Operación plástica en malformaciones congénitas anorectales. Vía abdóminoperineal.;531,75;106,5;239,25;366;2;;A;
80517;CIRUJANO VIA PERINEAL;425,25;84,75;0;0;1;;A;
80518;Proctorrafia;201,75;39,75;87;220;2;;A;
80519;Proctopexia. Prolapso de recto via abdominal (op de Lahauthorr o similares).;252,75;51;104,25;225;2;;A;
80520;Confección o cierre de fístula rectovesical, rectouretral, Rectovaginal.;252,75;51;104,25;225;2;;A;
80521;Colostomía temporaria o definitiva (como única intervención). (X);228;45;104,25;178;1;;A;UNICO CODIGO
80522;Operación plástica en colostomía (como única intervención).;61,5;30;80,25;125;1;;A;
80523;Drenaje de absceso perirrectal o de absceso de Douglas.;39,75;0;0;89;0;;A;
80524;Apendicectomía. (X);168;34,5;80,25;179;1;;A;
80525;Extracción instrumental de fecalomas inaccesibles, con anestesia general o regional.;119,25;0;80,25;49;0;;A;
80526;Extracción manual de fecaloma. (X);39,75;0;0;7;0;;A;
80599;APENDICETOMIA POR VIDEOLAPAROSCOPIA;;;;;;;;
80601;Anoplastia (estenosis)con o sin esfinterotomía o esfinterctomía.;80,25;30;80,25;120;1;;A;
80602;Anoplastia por estenosis con deslizamientos de colgajos pediculados.;201,75;39,75;87;120;1;;A;
80603;Esfinteroplastia tipo Pikrel o similar incluye evntual colostomía.;372,75;74,25;132,75;222;2;;A;
80604;Esfinteroplastia tipo plicatura o similar. Esfinterorrafia (esfinter externo).;119,25;30;80,25;120;1;;A;
80605;Cerclaje de ano.;39,75;30;80,25;55;1;;A;
80606;Hemorroidectomía (con o sin fisura anal).;80,25;30;80,25;120;1;Cuando se realiza el có;A;
80607;Trombectomía, infartectomía (trombosis hemorrodaria). (X);21,75;0;0;26;0;;A;
80608;Tratamiento quirúrgico del prolapso mucoso (Op. de Witehead o Buie. Plástica de ano húmedo (con o sin deslizamiento de colgajo).;101,25;30;80,25;120;1;;A;
80609;Tratamiento de las hemorroides con ligadura elástica.;39,75;0;0;26;0;Dictámenes del I.N.O.S.;A;
80610;Tratamiento esclerosante en hemorroides (por sesión). Máximo tres sesiónes.;12,75;0;0;7;0;Por extensión se? pued;A;
80611;Fistulectomía o fistulotomía (fístula del canal anal o fistulete). (X);101,25;30;80,25;120;1;;A;
80612;Fisurectomía, criptectomía o papilectomía con o sin esfinterotomía o esfinterectomía.;39,75;30;80,25;57;1;;A;
80613;Esfinterotomía o esfinterectomía (como única operación).;39,75;30;80,25;57;1;;A;UNICO CODIGO
80614;Escisión de lesión de piel perianal (cuerpos cutáneos, papilomas, plicomas). Biopsia de ano.Fulguración.;21,75;0;0;26;0;;A;
80615;Fulguración radical de condilomas acuminados voluminosos.;26,25;0;0;45;0;;A;
80616;Incisión y drenaje de absceso perianal. (X);30;0;0;45;0;Los gastos de curacion;A;
80617;Tratamiento radical del absceso perianal con resección de la cripta de origen.;61,5;30;80,25;120;1;;A;
80618;TRATAMIENTO DE LAS LESIONES RECTOANALES CON ULTRASONIDO (LEEP O SIMILARES);;;;;;;;
80701;Lobectomía hepática.;797,25;159;239,25;366;2;;A;
80702;Segmentectomía hepática.;478,5;95,25;186;318;2;;A;
80703;Hepatectomía parcial. Escisión radical de lesión de hígado (quiste hidatidico, amebiano, absceso, tumor, etc.).;303;61,5;127,5;268;2;;A;
80704;Hepatosotomía (marsupialización de quistes:hidatidicos, abscesos, etc.).;252,75;51;104,25;225;2;;A;
80705;Sutura de hígado (por traumatismo, herida, desgarro, etc.).;201,75;39,75;87;223;2;;A;
80706;Biopsia de hígado por laparatomía.;178,5;34,5;80,25;220;1;;A;
80707;Punción de hígado (percutánea).;39,75;0;0;45;0;;A;
80708;Colecistostomía.;201,75;39,75;87;220;2;;A;
80709;Colecistectomía (con o sin coledocotomía). (X);279;55,5;127,5;271;2;;A;
80710;Sección de ampolla Vater, transduodenal. Papilotomía : con o sin colecistectomía o coledocotomía. (X);372,75;74,25;132,75;356;2;;A;
80711;Coledocotomía (como único tratamiento).;279;55,5;127,5;271;2;;A;
80712;Anastomosis biliodigestivas simples( colecistoyeyunostomía, coledocoduodenostomía). (X);372,75;74,25;132,75;356;2;;A;
80713;Anastomosis biliodigestivas complejas ( hepatoyeyunostomía, derivación al conducto del segmento III o similares).;531,75;106,5;186;367;2;;A;
80714;Operaciones reparadoras de la vía biliar por lesión quirúrgica. Reoperación sobre vía biliar.;478,5;95,25;186;366;2;;A;
80715;Extracción instrumental completa de cálculos coledocianos (percutáneas).;201,75;0;0;26;0;;A;
80716;COLECISTECTOMIA CON O SIN COLEDOCOTOMIA;;;;;;;;
80717;COLEDOCOTOMIA UNICO TRATAMIENTO POR LAPAROSCOPIA;;;;;;;;
80718;BIOPSIA DE HIGADO POR VIDEOLAPAROSCOPIA;;;;;;;;
80720;DILATACION DE VIA BILIAR PERCUTANEA;;;;;;;;
80722;COLANGIOPANCREATECTOGRAFIA RETROGRADA ENDOSCOPICA;;;;;;;;
80723;PAPILOTOMIA Y ESFINTEROTOMIA ENDOSCOPICA CON EXTRACCION DE LITOS Y/O BIOPSIA;;;;;;;;
80801;Duodenopancreatectomía.;797,25;159,75;239,25;366;2;;A;
80802;Anastomosis pancreáticodigestivas ( pancreaticogastrotomía, pancreaticoyeyunostomía, cistogastrostomía y cistoyeyunostomía.).;425,25;84,75;159,75;273;2;;A;
80803;Escisión local de lesión de páncreas ( adenoma-secuestrectomía). Drenaje de seudo quiste.;303;61,5;127,5;271;2;;A;
80804;Escisión córporocaudal. Esplenopancreatectomía córporocaudal.;425,25;84,75;159,75;271;2;;A;
80805;Sutura de páncreas (herida-traumatismo). Biopsia de páncreas.;201,75;39,75;87;223;2;;A;
80901;Esplenectomía (como única intervención).;303;61,5;127,5;228;2;;A;
80902;Punción esplénica percutánea, espleno-portografía.;39,75;0;0;45;0;;A;
81001;TRASPLANTE HEPATICO (PARCIAL) DE DONANTE VIVO;;;;;;;;
81002;TRASPLANTE HEPATICO (PARCIAL) DE DONANTE CADAVERICO;;;;;;;;
81003;TRASPLANTE HEPATICO TOTAL;;;;;;;;
90101;Linfadenectomía cervical, axilar o inguinal radical, unilateral (como única operación).;228;45;104,25;223;2;;A;UNICO CODIGO
90102;Linfadenectomía cervical, axilar o inguinal radical, bilateral (como única operación).;372,75;74,25;132,75;228;2;;A;UNICO CODIGO
90103;Escisión de lesión de conductos linfáticos (linfangioma, higroma).;303;61,5;127,5;220;2;;A;
90104;Drenaje de seno linfático-derivación.;252,75;51;104,25;223;2;;A;
90105;Linfadenectomía-Biopsia de ganglio linfático. (X);39,75;30;0;45;1;;A;
90106;Linfadenectomía.;12,75;0;0;45;0;;A;
90107;Biopsia de ganglio linfático por punción.;0;0;0;26;0;;A;INCLUIDO EN CONSULTA
90108;Disección quirúrgica para linfoadenografía (Linfoclisis).;61,5;30;0;89;1;;A;
100101;Nefrectomía total, cualquiera fuera la vía utilizada.;303;61,5;127,5;271;2;;A;
100102;Nefrectomía parcial.;372,75;74,25;132,75;271;2;;A;
100103;Nefroureterectomía total con cistectomía parcial.;425,25;84,75;159,75;356;2;;A;
100104;Nefrotomía, nefrostomía, nefropexia.;201,75;39,75;87;226;2;;A;
100105;Cirugía vásculorrenal (aneurisma, fístula, by-pass, estenosis, etc.).;425,25;84,75;159,75;276;2;;A;
100106;Transplante renal.(con autorización especial de la obra social).;23912,25;0;0;4500;0;TRANSPLANTE RENA;A;
100107;Lumbotomías (exploradora, drenaje perirrenal, biopsia a cielo abierto, fístula lumbar postnefrectomía).;201,75;39,75;87;179;1;;A;
100108;Tratmiento quirúrgico de la fístula lumbar con ri?ón funcionante.;303;61,5;127,5;179;2;;A;
100109;Biopsia renal percutánea. Pielografía percutánea.;39,75;0;0;50;0;;A;
100110;Plastia de la unión ureteropiélica. Pieloplastia. Plastias del uréter. Plastia de la unión urétero-vesical (ureterocistostomía) y tratamiento del ureterocele con técnica antirreflujo (Boari, Cassatti o similar).;303;61,5;127,5;312;2;;A;
100111;"Derivaciones ureterales a: Intestino in situ (urétero sigmoideostomía); a piel (ureterostomía cutánea).";252,75;51;104,25;312;2;;A;
100112;Derivaciones ureterales a: porciones intestinales aisladas de la circulación entérica. Reemplazo de uréter por intestino aislado.;425,25;84,75;159,75;362;2;;A;
100113;Ureterectomía parcial.;228;45;104,25;222;2;;A;
100114;Pielotomía. Pielolitotomía. Ureterotomía. Ureterostomía. Ureterolitotomía. (X);201,75;39,75;87;225;2;;A;
100115;Extracción de cálculos ureterales o cuerpo extra?o por instrumentación (dormía o similares). Incluye citoscopía.;119,25;0;80,25;118;0;;A;
100116;Tratamiento quirúrgico de la fístula ureterointestinal con o sin resección intestinal, ureterovaginal, ureterocutánea.;303;61,5;127,5;225;2;;A;
100117;NEFROSTOMIA PERCUTANEA CON O SIN NEFROSCOPIA;;;;;;;;
100118;COLOCACION DE PIGTAIL O DOBLE J ENDOSCOPICO;;;;;;;;
100119;RETIRO DE PIGTAIL O DOBLE J ENDOSCOPICO;;;;;;;;
100120;RETROPERITONEOSCOPIA;;;;;;;;
100121;PLASTIA UNION URETEROPIELICA LAPAROSCOPICA;;;;;;;;
