practica;nomenclador;valor
ANTIESTREPTOLISINA O;NBU;7165,63
INMUNOGLOBULINA G;NBU;31543,37
INMUNOGLOBULINA A;NBU;31543,37
INMUNOGLOBULINA M;NBU;31543,37
COMPLEMENTO SERICO C3;NBU;19272,13
COMPLEMENTO SERICO C4;NBU;18917,74
FOSFATASA ALCALINA FRACCION OSEA;NBU;31464,97
CO-OXIMETRIA;NBU;7008,03
ESTUDIO DE TROMBOCITOPENIA INDUCIDA POR HEP;NBU;36743,3
HEPARINEMIA P0R ANTI XA;NBU;42479,31
PROTEINA S INMUNOLOGICA FRACCIONLIBRE;NBU;27807,48
ACIDO LACTICO EN LIQUIDO CEFALORRAQUIDEO;NBU;2941,86
CITRATURIA;NBU;27532,83
MICROALBUMINURIA CUANTITATIVA;NBU;46018,04
DENSIDAD URINARIA;NBU;4774,78
OLIGOSACARIDOS;NBU;943987,56
ACIDOS GRASOS ESCENCIALES;NBU;288315,93
AMINOACIDOS EN ORINA;NBU;707988,6
MERCURIO EN ORINA;NBU;46458,86
POFOBILINOGENO EN ORINA (PBG);NBU;25565,91
PIRUVATO QUINASA INTRAERITROCITARIA;NBU;94397,53
ALFA 2 ANTIPLASMINA;NBU;71639,61
ANTICUERPOS ANTI PLAQUETAS;NBU;353990,74
PAI FUNCIONAL O BIOLOGICO;NBU;259406,46
PLAMINOGENO CROMOGENICO;NBU;78664,61
PROTEINA S FUNCIONAL;NBU;81811,31
ACIDOS GRASOS (NEFA);NBU;62931,36
ADENOSINDEAMINASA EN LIQUIDOS PUNCION;NBU;94397,53
AMINOACIDOS EN LIQUIDO          CEFALORRAQUIDEO;NBU;865319,4
AMONIO EN LCR;NBU;237467,24
AMONIO EN SUERO(ROCHE);NBU;19665,48
CALCIO EN ORINA;NBU;3625,36
COBRE EN ORINA POR ABSORCION ATOMICA;NBU;19665,48
CREATINA EN ORINA;NBU;8510,36
CREATINA EN SANGRE;NBU;8510,36
ELASTASA;NBU;63843,71
GANGLIOSIDOS PANEL ANTICUERPOS;NBU;566392,53
GLUCEMIA CURVA 5 TIEMPOS;NBU;7040,1
ISOENZIMOGRAMA DE FOSFATASA ALCALINA;NBU;47198,08
LDL COLESTEROL;NBU;8180,16
MUCOPROTEINAS;NBU;9446,34
PORFIRINAS EN ORINA;NBU;43265,97
PROTEINAS EN LIQUIDO PERITONEAL;NBU;3932,26
QUIMOTRIPSINA;NBU;63843,71
RELACION ALBUMINA CREATININA;NBU;22780,26
SPOT PROTEINURIA;NBU;7865,89
TALIO EN SANGRE;NBU;27532,83
TEST DE ADECUACION PERITONEAL;NBU;3932,26
TIOSULFATO EN ORINA;NBU;286168,99
TRIPTOFANO SANGRE;NBU;157330,8
ZINC EN ORINA;NBU;26171,28
ACILCARNITINAS EN ORINA;NBU;566392,53
ACILCARNITINAS EN GOTAS DE SANGRE;NBU;314661,6
AC.HOMOVAINILLICO EN ORINA;NBU;47198,08
ALFA 1 ANTITRIPSINA EN SANGRE;NBU;25565,91
ALUMINIO EN SANGRE;NBU;33911,71
CADMIO EN SANGRE;NBU;19665,48
CROMO EN SANGRE;NBU;19665,48
MANGANESO EN SANGRE;NBU;19665,48
NIQUEL EN SANGRE;NBU;19665,48
PLOMO EN SANGRE;NBU;35398,56
SELENIO EN SANGRE;NBU;35398,56
BETA CAROTENOS SANGRE;NBU;119814,25
CERULOPLASMINA;NBU;8628,91
DOSAJE CARNITINA TOTAL Y LIBRE;NBU;589990,5
ACIDO SIALICO EN SANGRE;NBU;32204,34
ARSENICO EN ORINA;NBU;55387,56
CLEARENCE DE ALFA 1 ANTITRIPSINA;NBU;27532,83
TALIO;NBU;33911,71
SUCCINIL PURINA EN ORINA;NBU;562553,65
SUPEROXIDO DISMUTASA;NBU;110548,24
GLUTATION PEROXIDASA;NBU;101854,93
BETA HIDROXIBUTIRATO EN SANGRE;NBU;185003,71
ESTUDIO FISICO QUIMICO Y FUNCIONAL DE M. FECAL;NBU;27775,47
FENOLES EN ORINA;NBU;35524,08
DOSAJE DE HEXOSAMINIDASA A EN SUERO Y LINFOCITOS;NBU;745158
ARISULFATASA A;NBU;375651,98
GALACTOCEREBROSIDASA;NBU;549879,01
AC.GRASOS DE CADENAS MUY LARGAS;NBU;707988,6
ACIDO PIRUVICO;NBU;67494
TEST DE AUTOHEMOLISIS;NBU;45907,9
ISOENZIMAS DE AMILASA;NBU;157330,8
ACIDO OROTICO URINARIO;NBU;157330,8
FLUOR;NBU;11893,02
FOSFATASA ALCALINA LEUCOCITARIA;NBU;9439,33
LACTOFERRINA;NBU;47961,1
LISOZIMA;NBU;71585,51
DOSAJE DE GLUCOSA 6P DESHIDROGENASA;NBU;58997,6
TEST DE BREWER;NBU;27232,89
CARBOXIHEMOGLOBINA;NBU;28224,65
ELECTROLITOS EN MATERIA FECAL;NBU;22780,26
BIOTINIDASA EN SUERO;NBU;432659,7
POTASIO EN MATERIAL FECAL;NBU;14159,77
CLORO EN MATERIA FECAL;NBU;14159,77
PERFIL DE PORFIRINAS EN SANGRE;NBU;37837
PROSTAGLANDINA;NBU;191786,8
MUCOPOLISACARIDOS EN ORINA;NBU;707988,6
ELECTROFORESIS DE HEMOGLOBINA ENACETATO;NBU;27736,37
CUERPOS REDUCTORES EN MATERIA FECAL;NBU;19665,48
OSMOLARIDAD EN MAT.FECAL;NBU;23599,04
DELTA AMINOLEVULINICO;NBU;55065,66
ACIDO SALICILICO;NBU;27532,83
ACIDO LACTICO EN MATERIA FECAL;NBU;37452,02
PH EN MATERIA FECAL;NBU;18997,22
COBALTO;NBU;71348,26
AMINOACIDOS PLASMATICOS;NBU;707988,6
CREATININA L.PERITONEAL;NBU;8510,36
COLINESTERASA ERITROCITARIA;NBU;71710,76
PLASMINOGENO;NBU;72339,97
PAI INMUNOLOGICO;NBU;102263,64
PORFIRINAS EN SANGRE;NBU;37837
GALACTOSA TOTAL;NBU;275329,7
GALACTOSA 1 FOSFATO URIDIL-TRANSFERASA;NBU;589990,5
GLOBULOS ROJOS DISMORFICOS;NBU;23780,49
FACTOR PLAQUETARIO 4-HEPARINA(ELISA);NBU;314661,6
ARSENICO EN SANGRE;NBU;55387,56
ACIDOS ORGANICOS EN ORINA;NBU;1227180,24
FOSFOHEXOSAISOMERASA SERICA;NBU;19665,48
PLOMO EN ORINA;NBU;39332,3
CISTINA EN ORINA;NBU;31464,97
FRAGILIDAD OSMOTICA ERITROCITARIA;NBU;11799,52
MACROAMILASEMIA;NBU;62931,36
SALICILATOS;NBU;3932,26
SODIO EN MATERIA FECAL;NBU;11799,52
VAN DE KAMER;NBU;14402,44
ZINC SERICO;NBU;26219,8
FENOTIPO ALFA 1 ANTRIPSINA;NBU;19656,14
MIOGLOBINA EN ORINA;NBU;41952,87
ALBUMINA EN LCR;NBU;46148,65
GLUCOSA 6 TIEMPOS PRUEBA DE TOLERANCIA;NBU;5631,19
LITIASIS RENAL ESTUDIO METABOLICO;NBU;104883,3
MERCURIO EN SANGRE;NBU;20976,43
DEHIDRATASA DEL ACIDO DELTA AMINOLEVULINICO;NBU;37456,62
CLEARENCE DE AMILASA SUERO Y ORINA;NBU;5806,86
ACIDO FITANICO;NBU;208728,83
EMBARAZO CURVA DE TOLERANCIA 3 PUNTOS;NBU;4900,19
FOSFATASA LACALINA PLACENTARIA LIKE;NBU;71975,46
PREALBUMINA;NBU;40503,08
CRIOHEMOLISIS TEST DE;NBU;8636,92
P50;NBU;16855,39
EMA;NBU;28789,74
FLT 3 (ITD);NBU;238171,99
CAL PROTECTINA;NBU;120915,6
TALASEMIA GEN BETAGLOBINA;NBU;302289
VOLUMEN DE MATERIA FECAL;NBU;10795,85
NUCLEOFOSMINA;NBU;151141,97
CISTATINA C;NBU;35986
EXCRECION FRACCIONADA DE SODIO;NBU;12895,34
EXCRECION TUBULAR DE FOSFATOS;NBU;12895,34
CEBPA;NBU;239898,28
CALCIO/CREATININA EN SPOT URINARIO;NBU;4654,02
EOSINOFILOS EN ORINA;NBU;4115,22
TALASEMIA GEN ALFA GLOBINA GRANDES REARREGLOS;NBU;342935,5
TALASEMIA GEN ALFA GLOBINA DELECION PUNTUAL;NBU;137174,2
CORONAVIRUS-COVID 19;NBU;108990,9
DOSAJE DE APIXABAN;NBU;93033,85
SARS-COV-2 ANTIGENO;NBU;72492,9
COBRE EN SUERO;NBU;19665,48
PCR MONKEYPOX (VIRUELA SIMICA);NBU;60915,6
NS1 DENGUE ANTIGENO NS 1;NBU;34685
CHAGAS-HEM-;NBU;9519,05
FTA-ABS;NBU;8886,7
REACCION DE HUDDLESSON;NBU;2461,62
VDRL CUANTITATIVA;NBU;8107,56
REACCION WIDAL;NBU;3116,55
HEPATITIS B ANTIGENO HBE;NBU;33875,62
EPSTEIN BAAR - PCR;NBU;157330,8
CMV IGG-ANTICUERPO ANTICITOMEGALOVIRUS;NBU;23599,04
RUBEOLA IGG-ANTICUERPOS ANTIRUBEOLA;NBU;15731,78
ANTI CENTROMERO;NBU;23599,04
HEPATITIS A-ANTI HAV IGG;NBU;23599,04
HEPATITIS A-ANTI HAV IGM;NBU;36185,37
HEPATITIS B-ANTI CORE IGS TOTALE;NBU;35398,89
HEPATITIS B-ANTI HBE (ANTICUERPO;NBU;23599,04
HEPATITIS B-ANTI HBS(ANTICUERPO);NBU;33824,79
HEPATITIS B-ANTIGENO HBS;NBU;40902,62
CHAGAS IGG-ANTI CRUZI;NBU;19665,48
CHAGAS IGM-ANTI.CRUZI;NBU;19665,48
CRIOGLOBULINAS;NBU;11799,52
ANTI DNA DESNATURALIZADO;NBU;23599,04
ANTI MUSCULO ESTRIADO(FAMI);NBU;31464,97
HIV 1 Y 2-ANTICUERPO;NBU;30843,49
INFLUENZA A IGG ANTICUERPO ANTI INFLUENZA;NBU;39332,3
INFLUENZA B IGG ANTICUERPOS ANTI INFLUENZA;NBU;27532,83
ANTI JO I;NBU;78664,61
ANTI SSB/LA;NBU;31464,97
LIQUIDO SINOVIAL;NBU;23599,04
ANTI MYCOPLASMA P.IGG;NBU;74730,99
ANTI MYCOPLASMA P.IGM;NBU;51131,82
ANTI RNP 70 KDA ELISA;NBU;31464,97
PROTEINOGRAMA ELECTROFORETICO;NBU;18407,7
ANTI SM ELISA;NBU;31464,97
TOXOPLASMOSIS IGG-ANTI T.GONDII IGG;NBU;32724,3
TOXOPLASMOSIS IGM-ANTI T. GONDIIIGM;NBU;46018,12
CMV IGM-ANTICUERPOS ANTICITOMEGALOVIRUS;NBU;35398,56
CHLAMYDIA TRACHOMATIS IGM;NBU;39332,3
EPSTEIN BAAR-ANTI VCA IGG;NBU;43265,97
EPSTEIN BAAR-ANTI VCA IGM;NBU;35398,56
ADENOVIRUS ANTI IGG;NBU;27532,83
HERPES SIMPLEX II IGM ANTICUERPO;NBU;35398,56
HERPES SIMPLEX II IGG ANTICUERPO;NBU;43265,97
HERPES SIMPLEX I IGM ANTICUERPO;NBU;35398,56
HERPES SIMPLEX I IGG ANTICUERPO;NBU;43265,97
CHLAMYDIA TRACHOMATIS IGG;NBU;29891,54
HEPATITIS B-ANTICORE IGM;NBU;47198,08
PAROTIDITIS IGG-ANTICUERPO ANTI PAROTIDITIS;NBU;27532,83
PAROTIDITIS IGM-ANTICUERPO ANTI PAROTIDITIS;NBU;31464,97
SARAMPION IGG-ANTICUERPO ANTISARAMPION;NBU;31464,97
SARAMPION IGM-ANTICUERPOS ANTISARAMPION;NBU;39332,3
VARICELA IGG-ANTICUERPO ANTI VARICELA;NBU;35398,56
VARICELA IGM-ANTICUERPO ANTI VARICELA;NBU;47198,08
HEPATITIS C-ANTI HCV(ANTICUERPO);NBU;44248,2
FACTOR REUMATOIDEO IGM(FRELISA);NBU;23599,04
RUBEOLA IGM(ANTICUERPO ANTI RUBEOLA);NBU;36185,37
ADENOVIRUS AG;NBU;23599,04
DOSAJE DE IGA (OTRAS MUESTRAS);NBU;39332,3
VIRUS SINCICIAL RESPIRAT.IGG;NBU;27532,83
VIRUS SINCICIAL RESPIRAT.IGM;NBU;55104,55
ASPERGILLUS ANTICUERPOS;NBU;62931,36
HISTOPLASMA CAPSULATUM ANTIGENO URINARIO;NBU;62931,36
HEPATITIS DELTA ANTICUERPOS;NBU;40692,23
CHLAMYDIAS PSITACCI IGG;NBU;36185,37
CHLAMYDIAS PSITACCI IGM;NBU;36185,37
CHAGAS-ANTICUERPOS ANTI T.CRUZI;NBU;9439,33
PARVOVIRUS B19 IGG;NBU;235995,69
HTLV 1 Y 2 ANTICUERPOS ANTI HTLV1 Y 2-ANTICUERPOS ANTI HTLV1;NBU;14159,77
HEPATITIS C (PCR);NBU;157330,8
PARVOVIRUS B.19(IGM);NBU;235995,69
ISLOTES DE LANGERGANS(PANCREAS);NBU;57425,74
HERPES SIMPLEX-(PCR);NBU;157330,8
BRUCELLOSIS IGM;NBU;20892,97
BRUCELLOSIS IGG ANTICUERPOS;NBU;16101,42
INMUNOFIJACION EN ORINA (PARAPROTEINAS);NBU;117996,91
GENOTIPO DE HEPATITIS C;NBU;173063,88
PCR PARA ENTEROVIRUS;NBU;157330,8
PCR PARA HIV-1-DETECCION DE GENOMA PROVIRAL;NBU;157330,8
FIEBRE HEMORRAG.ARGENTINA IGM   VIRUS JUNI;NBU;55756,75
ADENOVIRUS ANTI IGM;NBU;35398,56
CHLAMYDIA PNEUMONIAE IGG;NBU;31637,98
CHLAMYDIA PNEUMONIAE IGM;NBU;33604,71
PARVOVIRUS B19-PCR;NBU;190810,38
TIROIDES IMF-ANTI FRACCION MICROSOMAL;NBU;33454,38
ANTI NUCLEO TOTAL (FAN EN HEP2);NBU;13797,03
ANTI JO 1;NBU;78664,61
ANTI SCL 70;NBU;94397,53
ANTI RO/SSA;NBU;48362,83
HELYCOBACTER PYLORI TOTALES IF;NBU;47198,08
HELYCOBATER PYLORI IGA;NBU;47198,08
HELYCOBACTER PYLORI IG6;NBU;47198,08
CMV-PCR CITOMEGALOVIRUS;NBU;157330,8
ANTI GLIADINA IGA;NBU;19665,48
ANTI GLIADINA IGG.;NBU;19665,48
HEPATITIS B-CARGA VIRAL;NBU;275329,7
ADENOVIRUS PCR;NBU;157330,8
CITRULINA ANTICUERPOS IGG;NBU;70798,86
HIV 1 GENOTIPO TEST DE RESISTENCIA;NBU;589990,5
METAPNEUMOVIRUS PCR;NBU;141597,72
COXIELLA BURNETTI IGM ANTICUERPOS;NBU;65300,14
HELYCOBACTER PYLORI IGM IF;NBU;47198,08
LEGIONELLA IGM ANTICUERPO;NBU;65300,14
ANTI CARDIOLIPINA.;NBU;47198,08
ANTI CARDIOLIPINA IGA.;NBU;35398,56
ANTI CITOPLASMA DE NEUTROFILOS  TITULADO ANCA;NBU;117996,91
ANTI DNA NATIVO TITULADO;NBU;51131,82
ANTI ENDOMISIO IGA;NBU;47198,08
ANTI ENDOMISIO IGG;NBU;47198,08
ANTI HISTONA;NBU;71946,65
ANTI LKM;NBU;39332,3
ANTI MICROSOMAL TITULADO CELULA PARIETAL GASTRICA;NBU;39332,3
ANTI MICROSOMAL (AMA)TITULADO;NBU;39332,3
ANTI MUSCULO LISO (ML) TITULADO;NBU;39332,3
ANTI NUCELO TOTAL(FAN EN HEP2)  TITULADO;NBU;53491,93
ANTI NUICLEO TOTAL (FAN EN TEJIDOS)TITULADO;NBU;35398,56
ANTI OVARIO;NBU;115117,79
ANTI RRNP(ANTI P)ELISA;NBU;70798,86
ANTICUERPO ANTI FACTOR INTRISICOELISA;NBU;107928,69
BARTONELLA HENSELAE IGG ANTICUERPOS;NBU;55065,66
BARTONELLA HENSELAE IGM ANTICUERPOS;NBU;55065,66
BETA 2GLICOPROTEINA IGA ANTICUERPOS;NBU;157330,8
BORDETELLA PERTUSIS IGG ANTICUERPOS;NBU;41243,24
BORDETELLA PERTUSIS IGM ANTICUERPOS;NBU;57142,54
BORRELLA BURGDORFERI IGG;NBU;41243,24
COMPLEMENTO SERICO C1;NBU;14553,14
COXIELLA BURNETTI IGG ANTICUERPOS;NBU;65300,14
FOSFOLIPIDOS IGG ANTIC;NBU;43170,98
FOSFOLIPIDOS IGM ANTIC;NBU;43170,98
FTA-ABS EN LCR;NBU;35398,56
IGA EN LAS LAGRIMAS (AMBOS OJOS);NBU;84595,63
IGG EN LCR;NBU;70798,86
INMUNOFIJACION EN SUERO (PARAPROTEINAS);NBU;102263,64
ISOELECTROFOCALIZACION DE LAS   IGG EN LCR;NBU;550659,41
LATEX FII TITULADO;NBU;18091,97
LEGIONELLA IGG ANTICUERPOS;NBU;65300,14
LEPTOSPIRA ANTICUERPO;NBU;55065,66
LISTERIA IGG ANTICUERPO;NBU;26132,24
LISTERIA IGM ANTICUERPOS;NBU;26132,24
MPO MIELOPEROXIDASA ANTICUERPO;NBU;94397,53
PR3 PROTEINASA 3 ANTICUERPOS;NBU;94397,53
PROTEINA BASICA DE LA MIELINA;NBU;339071,47
SACCHAROMYCES IGG ANTICUERPOS;NBU;93556,76
TEST DE AVIDEX PARA TOXOPLASMOSI;NBU;62782
TOXO IGG POR INMUNOFLUORESCENCIA;NBU;37758,81
TOXO IGM POR INMUNOFLUORESCENCIA;NBU;67950,25
TOXOCARA CANIS IGG ANTICUERPOS;NBU;62577,09
TOXOCARA CANIS IGM ANTICUERPOS;NBU;89378,72
TOXOPLASMOSIS POR PCR;NBU;204528,29
TRICHINELLA SPIRALIS IGG ELISA;NBU;71514,1
V.D.R.L.EN LCR CUANTITATIVA;NBU;7865,89
ADENOVIRUS CARGA VIRAL EN ORINA;NBU;275329,7
ADENOVIRUS CARGA VIRAL EN PLASMA;NBU;275329,7
COXACKIE POOL IGG ANTICUERPO;NBU;55065,66
COXACKIE POOL IGM ANTICUERPO;NBU;62931,36
EPSTEIN BAAR CARGA VIRAL;NBU;275329,7
HANTAAN VIRUS IGG-IGM;NBU;141597,72
HEPATITIS B-PCR;NBU;157330,8
HERPES VIRUS 6 POR PCR;NBU;157330,8
HERPES ZOSTER-PCR;NBU;157330,8
HIV1 Y 2-INNO LIA HIV 1-2;NBU;235995,69
HTLV 1 PCR;NBU;157330,8
INFLUENZA A IGM ANTICUERPOS;NBU;35398,56
INFLUENZA B IGM ANTICUERPOS;NBU;35398,56
PARAINFLUENZA IGG ANTICUERPOS;NBU;27532,83
PARAINFLUENZA IGM ANTICUERPOS;NBU;35398,56
PCR PARA DENGUE;NBU;72750
VARICELA-PCR PARA VARICELA ZOSTER;NBU;157330,8
VIRUS BK CARGA VIRAL EN ORINA;NBU;275329,7
VIRUS BK CARGA VIRAL EN PLASMA;NBU;275329,7
VIRUS BK JC-PCR ORINA;NBU;157330,8
VIRUS BK JC-PCR SANGRE;NBU;157330,8
VIRUS JC-PCR EN LCR;NBU;157330,8
HEPATITIS C CARGA VIRAL RT;NBU;275329,7
HIV CARGA VIRAL RT;NBU;275329,7
CMV CITOMEGALOVIRUS IGG TEST DE AVIDEZ;NBU;74730,99
ARCO 5 EN SUERO;NBU;22890,39
CH 50 COMPLEM.ACTIV.TOTAL;NBU;23599,04
ANTI MAG;NBU;251729,28
DOSAJE DE SUBCLASES DE IGG 1-4;NBU;272850,93
ROTAVIRUS ANTIGENO;NBU;27532,83
C 1 Q;NBU;9493,76
ANTI RETICULINA;NBU;74715,39
PROTEINOGRAMA EN ORINA;NBU;27532,83
VIRUS DENGUE SEROTIPOS 1,2,3,Y4 IGG;NBU;31464,97
VIRUS DENGUE SEROTIPOS 1,2,3 Y 4IGM;NBU;31464,97
ANTITRANSGLUTAMINASA TISURAL IGA;NBU;35398,56
HEPATITIS E IGG;NBU;35783,61
PROTEINOGRAMA ELECTROFORETICO ENLCR;NBU;43532,28
C1Q INHIBIDOR;NBU;9493,76
INMUNOGLOBULINA D;NBU;18651,31
ANTICUERPOS ANTICOCLEAR;NBU;273417,33
ARBOVIRUS IGG ANTIC.;NBU;117831,09
ARBOVIRUS IGM ANTIC.;NBU;117831,09
WESTERN BLOT PARA HTLV I Y II;NBU;235995,69
STROUT PARA CHAGAS;NBU;23599,04
BETA 2 GLICOPROTEINA ANT IGG-IGM;NBU;98048,55
RUBEOLA IGG - TEST DE AVIDEZ;NBU;133729,83
CHAGAS SANGRE DE CORDON;NBU;7865,81
CIFILIS SANGRE DE CORDON;NBU;7865,81
ANTIMITOCONDRIAL M2 (AMA 2) ANTICUERPO;NBU;15731,63
CIFILIS ELISA;NBU;20976,43
CMV CARGA VIRAL;NBU;183545,39
CISTICERCOSIS ANTICUERPOS;NBU;78661,77
INFLUENZA A HUMANA PCR REALTIME;NBU;104883,3
INFLUENZA A H1 N1;NBU;131104,42
ICA 512 - IA2;NBU;78661,77
HIV CARGA VIRAL EN PLASMA SEMINAL;NBU;262208,85
HIV PCR EN ESPERMATOZOIDE;NBU;262208,85
ANTI HU (AMMA-1);NBU;176990,97
ANTICUERPOS ANTI MNO;NBU;996393,63
ANTI MEMBRANA BASAL GLOMERULAR;NBU;44067,1
AMA M2;NBU;50382,82
SP 100;NBU;50382,82
LKM 1;NBU;50382,82
GP 210;NBU;50382,82
LC 1;NBU;50382,82
SLA;NBU;50382,82
ANCA C;NBU;53981,59
ANCA P;NBU;53981,59
ANTI RNA POL I/III;NBU;35987,73
FLC (FREE LIGHT CHAIN);NBU;308641,95
RINOVIRUS POR PCR;NBU;100763
DOSAJE DE POSACONAZOL;NBU;113358,37
MYOSITYS PANEL;NBU;259100,52
VSR - VIRUS SINCICIAL RESPIRATORIO PCR;NBU;80968,5
INTELEUQUINA 6 (IL6);NBU;48817,23
FACTRO DE NECROSIS TUMORAL (TNF);NBU;48817,23
ANTI PLA 2 R;NBU;141848,74
CHIKUNGUNYA VIRUS;NBU;68899,28
ZIKA VIRUS;NBU;51674,46
HEPATITIS E IGM;NBU;59425,62
HEPATITIS E PCR;NBU;94736,51
PANEL DE ANTICUERPOS ONCONEURONALES;NBU;226337,43
TEST DE RESISTENCIA VIRAL PARA HEP C;NBU;548696,8
ANTICUERPOS ANTI NEUMOCOCO IGG;NBU;88031,1
FLAVIVIRUS PCR;NBU;134998,5
FLAVIVIRUS SEROLOGIA;NBU;134998,5
SARAMPION PCR;NBU;93451,4
RAS HCV;NBU;373805,6
PANEL DE ESCLERODERMIA;NBU;204069,45
INFLUENZA B VIRUS POR PCR;NBU;78414,24
SARS-COV-2 IGG;NBU;53162,2
PARAINFLUENZA 1-4 PCR;NBU;39868,2
PANEL MOLECULAR DE VIRUS RESPIRATORIO;NBU;148863,6
FLT3-TKD (MUTACION EN EL DOMINIO KINASA);NBU;146196,05
SARS-COV-2 IGM;NBU;39871,65
CORONA VIRUS - COVID 19 EN SALIVA;NBU;159486,6
HLA-CW POR PCR;OSMISS;397202,99
CD16/CD56 SUBPOBLACIONES LINFOCITARIAS NK;OSMISS;105810,91
CRIOAGLUTININAS;OSMISS;9485,38
HLA-DR POR PCR;OSMISS;196663,5
CROSS MATCH T Y B AUTOLOGO;OSMISS;314661,6
HLA-A,B POR ENFERMEDAD;OSMISS;154183,85
CROSS MATCH T Y B MATRIMONIAL;OSMISS;314661,6
HLA-DQ POR PCR;OSMISS;196663,5
HLA-B 27;OSMISS;157330,8
FACTOR II PROTROMBINA MUTACION  20210;OSMISS;157330,8
HLA-A,B,C POR PCR-SSP;OSMISS;361860,84
FIBROSIS QUISTICA PANEL 50 MUTACIONES;OSMISS;448394,09
BRCA 1/2 PANEL ASHKENAZI CASO INDICE;OSMISS;129740,13
BRCA 1/2 PANEL ASHKENAZI FAMILIAR;OSMISS;230094,39
ADENOPOLIPOSIS COLONICA FAMILIAR CASO INDICE;OSMISS;1107228,55
PROTOONCOGEN RET CASO INDICE;OSMISS;328690,03
HEMOCROMATOSIS HERED. CASO INDICE;OSMISS;129748,1
MEN I CASO INDICE;OSMISS;1266732,43
FACTOR V LEIDEN;OSMISS;157330,8
CROSS MATCH-CONTRA PANEL-;OSMISS;235990,41
MUTACION 4G 5G DEL PAI (POR PCR);OSMISS;94397,53
5-10 METILENTETRAHIDROFOLATOREDUCTASA;OSMISS;157330,8
GRUPO SANGUINEO;OSMISS;24543
RH;OSMISS;21239,13
INESTABILIDAD DE MICOSATELITES;OSMISS;157391,31
HLA-B*5701 HIPERSENSIBILIDAD AL ABACAVIR;OSMISS;183545,39
GRANDES DELECIONES DE BRCA1;OSMISS;147038,89
SEC. EXONES 4-9 GEN TP53 SIND. LI FRAUMENI;OSMISS;328702,24
GRANDES REARREGLOS EN MLH1-MSH2;OSMISS;204136,8
GRANDES REARREGLOS DE APC;OSMISS;204136,8
PMS2 SECUENCIA TOTAL X NGS;OSMISS;1327674,24
LYNCH, PANEL NGS MSH2-MLH1-MSH6-PMS2-CASO INDICE;OSMISS;1107215,93
GRANDES REARREGLOS DE BRCA2;OSMISS;147043,26
GRANDES REARREGLOS DE BRCA 1 Y 2;OSMISS;181631,91
C1Q DETECCION DE LUMINEX;OSMISS;585806,76
GRANDES REARREGLOS MSH6;OSMISS;204088,85
SECUENCIACION COMPLETA CDH1;OSMISS;328613,74
SECUENCIACION COMPLETA NGS DEL GEN PTEN CASO INDICE;OSMISS;328500,8
CDH1 GRANDES REARREGLOS;OSMISS;204096,1
HLA - DP;OSMISS;205761,3
PALB2 SECUENCIACION COMPLETA;OSMISS;328572,5
PANEL DE GENES EN CANCER HEREDITARIO;OSMISS;1106946,2
MUTACION FAMILIAR SECUENCIACION;OSMISS;112443
FIBROSIS QUISTICA SECUENCIACION COMPLETA;OSMISS;1619982
GRANDES REARREGLOS MYH;OSMISS;204096,1
PANEL DE 8 GENES;OSMISS;1107161,72
PANEL DE 5 GENES ESTUDIO ADICIONAL;OSMISS;257037,14
ESTUDIO ESPECIAL GENES COMPLEJOS SECUENCIACION SANGER;OSMISS;276640,32
SECUENCIACION COMPLETA EN TACO DE BIOPSIA;OSMISS;1375223,4
EXOMA CON FILTRADO PERSONALIZADO DE GENES;OSMISS;1185273,5
VHL SEC. EXONICA - SINDROME VON HIPPEL-LINDAU;OSMISS;250567,7
DETECCION DE VARIANTE GENETICA EN CULTIVO DE FIBROBLASTOS;OSMISS;541384,78
